% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/06 15:46:48
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0241575898875, 143.464140169
1008016.032084168, 0.0240262415369, 143.10145631
1016032.064168337, 0.023903884836, 142.758482076
1024048.096252505, 0.0237738249864, 142.415186602
1032064.128336673, 0.0236445881712, 142.073224867
1040080.160420842, 0.0235158864474, 141.718904678
1048096.19250501, 0.0233942429587, 141.370589573
1056112.224589178, 0.0232602212891, 141.020601914
1064128.256673347, 0.0231274602337, 140.682894236
1072144.288757515, 0.0229971222634, 140.321793603
1080160.320841683, 0.0228656996311, 139.976938816
1088176.352925852, 0.0227285463257, 139.626960244
1096192.38501002, 0.022591952627, 139.277153253
1104208.417094188, 0.0224550344251, 138.916779163
1112224.449178357, 0.0223145545602, 138.565496318
1120240.481262525, 0.0221751166214, 138.201635567
1128256.513346693, 0.02202992939, 137.853632112
1136272.545430862, 0.0218921845655, 137.496413576
1144288.57751503, 0.0217404445802, 137.142821681
1152304.609599198, 0.0215925707428, 136.769693854
1160320.641683367, 0.0214442615503, 136.414930302
1168336.673767535, 0.021298320214, 136.041429392
1176352.705851703, 0.0211472661191, 135.677030976
1184368.737935872, 0.0209900984691, 135.31042321
1192384.77002004, 0.0208363764337, 134.940077952
1200400.802104208, 0.0206794115686, 134.569996875
1208416.834188377, 0.0205238818544, 134.196844078
1216432.866272545, 0.0203627337316, 133.83409358
1224448.898356713, 0.0202038786528, 133.459537278
1232464.930440882, 0.0200358919592, 133.079060208
1240480.96252505, 0.0198705522609, 132.71185378
1248496.994609218, 0.0196981766028, 132.326799326
1256513.026693387, 0.0195302962654, 131.935648783
1264529.058777555, 0.0193583156392, 131.559456061
1272545.090861723, 0.0191802240213, 131.169529594
1280561.122945892, 0.0190067966586, 130.795390768
1288577.15503006, 0.0188269736433, 130.405687271
1296593.187114228, 0.018641433714, 130.013130636
1304609.219198397, 0.0184544809796, 129.617210363
1312625.251282565, 0.0182591407562, 129.226183168
1320641.283366733, 0.0180642575426, 128.836843241
1328657.315450902, 0.017862455426, 128.4398123
1336673.34753507, 0.017658948163, 128.052997887
1344689.379619238, 0.017439641294, 127.654652391
1352705.411703407, 0.0172147833979, 127.277306781
1360721.443787575, 0.0169802399868, 126.903051266
1368737.475871743, 0.0167288838716, 126.586301992
1376753.507955912, 0.0164583163152, 126.354192042
1384769.54004008, 0.0161725094263, 126.273338903
1392785.572124248, 0.0159214179131, 126.477505311
1400801.604208417, 0.0157896608177, 126.870155142
1408817.636292585, 0.0157770427139, 126.884457283
1416833.668376754, 0.0157147671616, 126.367655709
1424849.700460922, 0.0155374177624, 125.744901295
1432865.73254509, 0.0152916870828, 125.332522696
1440881.764629259, 0.01502882091, 125.291491435
1448897.796713427, 0.0148586920499, 125.575748625
1456913.828797595, 0.014822125867, 125.631183479
1464929.860881764, 0.0147711258359, 125.180330176
1472945.892965932, 0.014640239859, 124.664876366
1480961.9250501, 0.0144798535285, 124.211398905
1488977.957134268, 0.0143278467226, 123.885380976
1496993.989218437, 0.0142055506952, 123.517277289
1505010.021302605, 0.0140948373896, 122.948609651
1513026.053386773, 0.0139500342144, 122.203491082
1521042.085470942, 0.0137554746305, 121.432482496
1529058.11755511, 0.0135332835318, 120.725195544
1537074.149639279, 0.0132887825741, 120.050564028
1545090.181723447, 0.0130388252242, 119.454364458
1553106.213807615, 0.0127831843915, 118.902447607
1561122.245891783, 0.0125206221721, 118.391845689
1569138.277975952, 0.0122575443553, 117.895293153
1577154.31006012, 0.0119923568063, 117.41672148
1585170.342144289, 0.0117197252391, 116.954756736
1593186.374228457, 0.011444364921, 116.532423599
1601202.406312625, 0.0111677032691, 116.092214595
1609218.438396794, 0.0108807699818, 115.719683904
1617234.470480962, 0.0105894298334, 115.363800017
1625250.50256513, 0.0102828442985, 115.00670831
1633266.534649299, 0.00996217053485, 114.731659478
1641282.566733467, 0.00963095646017, 114.54953462
1649298.598817635, 0.00928304885645, 114.4617056
1657314.630901804, 0.00891488664735, 114.602579931
1665330.662985972, 0.00852901283306, 115.087272379
1673346.69507014, 0.00813544060949, 116.182146879
1681362.727154308, 0.00778591302518, 118.233044159
1689378.759238477, 0.00759097605899, 121.292237584
1697394.791322645, 0.00765979965859, 124.263130344
1705410.823406814, 0.00787944501221, 125.653684804
1713426.855490982, 0.00809007619266, 125.545265401
1721442.88757515, 0.00820326217533, 124.16731824
1729458.919659319, 0.00809833993491, 122.293250213
1737474.951743487, 0.00784321497657, 121.183410503
1745490.983827655, 0.0075888815952, 120.993506097
1753507.015911824, 0.00739864983733, 121.199897892
1761523.047995992, 0.00725664475797, 121.525232734
1769539.08008016, 0.00720547555661, 121.638224858
1777555.112164329, 0.00718134450315, 120.524712643
1785571.144248497, 0.00701076230233, 118.527424778
1793587.176332665, 0.00669763480877, 116.901125685
1801603.208416834, 0.00633831893722, 116.018213321
1809619.240501002, 0.00600299360578, 115.894514712
1817635.27258517, 0.00571729707245, 116.021728115
1825651.304669339, 0.00544840232406, 116.099573667
1833667.336753507, 0.00518101446131, 116.403207463
1841683.368837675, 0.00495610552982, 116.83920903
1849699.400921843, 0.0047676452664, 116.667363608
1857715.433006012, 0.00451784626357, 115.755717643
1865731.46509018, 0.00420805209913, 114.87135377
1873747.497174349, 0.00386747844712, 114.399091702
1881763.529258517, 0.00351218168391, 114.377888767
1889779.561342685, 0.00314987799817, 114.803047366
1897795.593426854, 0.00278213173308, 115.893940298
1905811.625511022, 0.00241767096255, 118.046359188
1913827.65759519, 0.00205790347038, 121.501734312
1921843.689679359, 0.00171847785858, 127.140782797
1929859.721763527, 0.00140483374504, 136.289384934
1937875.753847695, 0.00115807090607, 151.524023817
1945891.785931864, 0.00106986151628, 173.4310146
1953907.818016032, 0.00120393572643, -164.213558265
1961923.8501002, 0.00154356319139, -150.369547607
1969939.882184369, 0.00197512674501, -145.543382456
1977955.914268537, 0.00230263197755, -146.491277166
1985971.946352705, 0.00237726312399, -146.055106127
1993987.978436874, 0.00245947464983, -139.981332568
2002004.010521042, 0.00274408788502, -133.006271912
2010020.04260521, 0.00320558640879, -128.868912136
2018036.074689379, 0.00375945063791, -128.144267814
2026052.106773547, 0.00428388044319, -130.629666637
2034068.138857715, 0.00457189702555, -134.432394007
2042084.170941884, 0.00461631315585, -136.359409354
2050100.203026052, 0.00464296741196, -134.874457012
2058116.23511022, 0.00491804778002, -131.979532848
2066132.267194389, 0.00537299787733, -130.935969548
2074148.299278557, 0.0058466407533, -131.417896681
2082164.331362725, 0.00633358575039, -133.252397158
2090180.363446894, 0.00667829577091, -136.9946886
2098196.395531062, 0.00669630604188, -141.029223139
2106212.42761523, 0.0063792659618, -143.601461371
2114228.459699399, 0.00592814078683, -142.250874067
2122244.491783567, 0.00576714570263, -136.728678841
2130260.523867736, 0.00607203328417, -130.960692573
2138276.555951904, 0.00668051325987, -127.615419662
2146292.588036072, 0.00740258491611, -126.59117312
2154308.62012024, 0.00816071369482, -127.448124159
2162324.652204409, 0.00881123951034, -129.910616369
2170340.684288577, 0.00916813624788, -132.603096551
2178356.716372745, 0.00942155248946, -133.932901663
2186372.748456914, 0.00980025779797, -134.943896711
2194388.780541082, 0.0101956966938, -136.237348491
2202404.81262525, 0.0106698716545, -137.555756293
2210420.844709419, 0.0112865581478, -140.094935494
2218436.876793587, 0.0117621286191, -144.695927493
2226452.908877756, 0.0116778754426, -150.426495999
2234468.940961923, 0.0108814847092, -154.871895
