% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/06 13:37:23
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.111454438117, 48.2685275994
1008016.032084168, 0.112322894995, 47.8877501761
1016032.064168337, 0.113160956122, 47.5325753389
1024048.096252505, 0.114005423304, 47.1749164971
1032064.128336673, 0.114828774279, 46.8240202446
1040080.160420842, 0.11566835075, 46.4686164968
1048096.19250501, 0.116483774337, 46.1115328493
1056112.224589178, 0.117305573074, 45.7562199087
1064128.256673347, 0.1181278608, 45.3961645967
1072144.288757515, 0.118946392876, 45.0366839942
1080160.320841683, 0.119769229866, 44.6763385656
1088176.352925852, 0.12057757914, 44.3118792389
1096192.38501002, 0.121388708343, 43.9469663669
1104208.417094188, 0.122187171354, 43.5849027187
1112224.449178357, 0.122987163771, 43.217869354
1120240.481262525, 0.123781332366, 42.8487563655
1128256.513346693, 0.12459531754, 42.4792603936
1136272.545430862, 0.12538147103, 42.1050407938
1144288.57751503, 0.126183713852, 41.734020172
1152304.609599198, 0.126959413201, 41.356304168
1160320.641683367, 0.127735484861, 40.9796245391
1168336.673767535, 0.128523931696, 40.6014694483
1176352.705851703, 0.129299507559, 40.2202318451
1184368.737935872, 0.130087791539, 39.8375848633
1192384.77002004, 0.130853291105, 39.4531604742
1200400.802104208, 0.131623377978, 39.0661747447
1208416.834188377, 0.132383363408, 38.6758765562
1216432.866272545, 0.133150542777, 38.2832019381
1224448.898356713, 0.133907513473, 37.8914276569
1232464.930440882, 0.134661925796, 37.4920423003
1240480.96252505, 0.135422928089, 37.0933137566
1248496.994609218, 0.136172601482, 36.6893429243
1256513.026693387, 0.136918962738, 36.2824689584
1264529.058777555, 0.137657523168, 35.8737396761
1272545.090861723, 0.138408279101, 35.4600430005
1280561.122945892, 0.139129778524, 35.0424779498
1288577.15503006, 0.139869181231, 34.6202755549
1296593.187114228, 0.140595513718, 34.1903895925
1304609.219198397, 0.141326037913, 33.75675885
1312625.251282565, 0.142051156631, 33.3160651324
1320641.283366733, 0.142769843462, 32.8712980884
1328657.315450902, 0.143474570812, 32.4158111282
1336673.34753507, 0.144195630823, 31.9490967768
1344689.379619238, 0.144904969059, 31.4703795682
1352705.411703407, 0.145589509695, 30.9746550303
1360721.443787575, 0.14627983568, 30.4657493951
1368737.475871743, 0.146943109531, 29.9301203759
1376753.507955912, 0.147584485909, 29.3648705459
1384769.54004008, 0.148191115903, 28.7606738625
1392785.572124248, 0.148685543544, 28.1090438018
1400801.604208417, 0.149055585621, 27.3937079708
1408817.636292585, 0.149179921671, 26.6024679154
1416833.668376754, 0.148818483312, 25.7283243883
1424849.700460922, 0.14751101467, 24.8668390254
1432865.73254509, 0.145036829374, 24.4110722899
1440881.764629259, 0.142796085069, 24.8581116502
1448897.796713427, 0.142862090409, 25.6093594684
1456913.828797595, 0.144091406742, 25.8005308211
1464929.860881764, 0.144737607518, 25.6644943227
1472945.892965932, 0.145018072393, 25.7439086263
1480961.9250501, 0.146096581849, 25.9515837435
1488977.957134268, 0.147699705469, 25.8954437653
1496993.989218437, 0.149167662187, 25.6423690503
1505010.021302605, 0.150523911448, 25.3507309567
1513026.053386773, 0.151912724194, 24.9825297967
1521042.085470942, 0.153207095215, 24.5268998238
1529058.11755511, 0.154365183394, 24.0136111488
1537074.149639279, 0.155352735495, 23.4863644464
