% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/12 15:41:56
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0239937537238, 142.500310055
1008016.032064128, 0.023849794543, 142.116458654
1016032.064128257, 0.0237115441373, 141.755419054
1024048.096192385, 0.0235811419733, 141.392694402
1032064.128256513, 0.0234440356731, 141.034503605
1040080.160320641, 0.0233081297194, 140.664301882
1048096.19238477, 0.0231693710548, 140.311293386
1056112.224448898, 0.023032092041, 139.939206831
1064128.256513026, 0.0228912572212, 139.576383034
1072144.288577154, 0.022749565787, 139.201096059
1080160.320641282, 0.0226069680007, 138.84166555
1088176.352705411, 0.0224572286207, 138.473195076
1096192.384769539, 0.0223103557764, 138.095609677
1104208.416833667, 0.0221602180648, 137.733417347
1112224.448897796, 0.0220102329922, 137.354354504
1120240.480961924, 0.021860817873, 136.970418591
1128256.513026052, 0.0217006544757, 136.5973536
1136272.54509018, 0.0215503283816, 136.220990546
1144288.577154309, 0.0213929750699, 135.838067837
1152304.609218437, 0.0212320444905, 135.453058377
1160320.641282565, 0.0210704484472, 135.069897807
1168336.673346693, 0.0209082986421, 134.681624247
1176352.705410822, 0.020738531218, 134.296490837
1184368.73747495, 0.0205698410167, 133.916511729
1192384.769539078, 0.020402139222, 133.522827323
1200400.801603206, 0.0202278875668, 133.133391646
1208416.833667335, 0.020057863303, 132.738025628
1216432.865731463, 0.0198773978307, 132.348612374
1224448.897795591, 0.0196969947865, 131.943016911
1232464.929859719, 0.0195163201298, 131.555074415
1240480.961923848, 0.019335312566, 131.145493373
1248496.993987976, 0.0191467382426, 130.752271121
1256513.026052104, 0.0189599272276, 130.337340017
1264529.058116233, 0.018768152188, 129.936303142
1272545.090180361, 0.018574683906, 129.519830954
1280561.122244489, 0.0183744157111, 129.103192082
1288577.154308617, 0.0181676519169, 128.683612494
1296593.186372746, 0.017958529615, 128.267051704
1304609.218436874, 0.01774801904, 127.840532117
1312625.250501002, 0.0175289585975, 127.428833635
1320641.28256513, 0.0173043389022, 126.991886835
1328657.314629259, 0.0170724639992, 126.567078473
1336673.346693387, 0.0168310613513, 126.141961657
1344689.378757515, 0.0165798628256, 125.733436706
1352705.410821643, 0.0163138740244, 125.312342453
1360721.442885772, 0.0160336124933, 124.908737304
1368737.4749499, 0.0157332819434, 124.522169726
1376753.507014028, 0.0154089690466, 124.20447073
1384769.539078156, 0.0150478632061, 123.962960969
1392785.571142285, 0.014640785616, 123.920684145
1400801.603206413, 0.0141912169473, 124.2255442
1408817.635270541, 0.0137212630207, 125.260299267
1416833.667334669, 0.0133738203438, 127.534278979
1424849.699398798, 0.0135094813972, 130.721749972
1432865.731462926, 0.0142309939167, 132.210379552
1440881.763527054, 0.0148837781575, 130.886362426
