Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.54067710932278e-002,5.88354485741863e-002	1.96918645781354e-002,-1.17670897148373e-003
1.09909909909910e+005	1.61443314650510e-002,6.46361814697918e-002	1.96771133706990e-002,-1.29272362939584e-003
1.19819819819820e+005	1.69512516413945e-002,7.04284730155028e-002	1.96609749671721e-002,-1.40856946031006e-003
1.29729729729730e+005	1.78274554881617e-002,7.62115629486328e-002	1.96434508902368e-002,-1.52423125897266e-003
1.39639639639640e+005	1.87728602593799e-002,8.19846912298468e-002	1.96245427948124e-002,-1.63969382459694e-003
1.49549549549550e+005	1.97873765867016e-002,8.77470980637916e-002	1.96042524682660e-002,-1.75494196127583e-003
1.59459459459459e+005	2.08709084681856e-002,9.34980239202333e-002	1.95825818306363e-002,-1.86996047840467e-003
1.69369369369369e+005	2.20233532563812e-002,9.92367095557346e-002	1.95595329348724e-002,-1.98473419111469e-003
1.79279279279279e+005	2.32446016457452e-002,1.04962396035907e-001	1.95351079670851e-002,-2.09924792071815e-003
1.89189189189189e+005	2.45345376594210e-002,1.10674324758274e-001	1.95093092468116e-002,-2.21348649516548e-003
1.99099099099099e+005	2.58930386354116e-002,1.16371737475772e-001	1.94821392272918e-002,-2.32743474951544e-003
2.09009009009009e+005	2.73199752121806e-002,1.22053876320927e-001	1.94536004957564e-002,-2.44107752641855e-003
2.18918918918919e+005	2.88152113137170e-002,1.27719983830739e-001	1.94236957737257e-002,-2.55439967661479e-003
2.28828828828829e+005	3.03786041341029e-002,1.33369302972292e-001	1.93924279173179e-002,-2.66738605944584e-003
2.38738738738739e+005	3.20100041216228e-002,1.39001077169133e-001	1.93597999175675e-002,-2.78002154338266e-003
2.48648648648649e+005	3.37092549624584e-002,1.44614550328440e-001	1.93258149007508e-002,-2.89229100656880e-003
2.58558558558559e+005	3.54761935640133e-002,1.50208966869004e-001	1.92904761287197e-002,-3.00417933738008e-003
2.68468468468468e+005	3.73106500379131e-002,1.55783571750054e-001	1.92537869992417e-002,-3.11567143500108e-003
2.78378378378378e+005	3.92124476827326e-002,1.61337610500943e-001	1.92157510463453e-002,-3.22675221001886e-003
2.88288288288288e+005	4.11814029664994e-002,1.66870329251724e-001	1.91763719406700e-002,-3.33740658503447e-003
2.98198198198198e+005	4.32173255090290e-002,1.72380974764628e-001	1.91356534898194e-002,-3.44761949529255e-003
3.08108108108108e+005	4.53200180641476e-002,1.77868794466470e-001	1.90935996387170e-002,-3.55737588932940e-003
3.18018018018018e+005	4.74892765018617e-002,1.83333036481997e-001	1.90502144699628e-002,-3.66666072963993e-003
3.27927927927928e+005	4.97248897905357e-002,1.88772949668185e-001	1.90055022041893e-002,-3.77545899336370e-003
3.37837837837838e+005	5.20266399791417e-002,1.94187783649518e-001	1.89594672004172e-002,-3.88375567299036e-003
3.47747747747748e+005	5.43943021796494e-002,1.99576788854237e-001	1.89121139564070e-002,-3.99153577708474e-003
3.57657657657657e+005	5.68276445496247e-002,2.04939216551584e-001	1.88634471090075e-002,-4.09878433103167e-003
3.67567567567567e+005	5.93264282751109e-002,2.10274318890038e-001	1.88134714344978e-002,-4.20548637780076e-003
3.77477477477477e+005	6.18904075538682e-002,2.15581348936558e-001	1.87621918489226e-002,-4.31162697873116e-003
3.87387387387387e+005	6.45193295790502e-002,2.20859560716822e-001	1.87096134084190e-002,-4.41719121433643e-003
3.97297297297297e+005	6.72129345234008e-002,2.26108209256467e-001	1.86557413095320e-002,-4.52216418512934e-003
4.07207207207207e+005	6.99709555240574e-002,2.31326550623336e-001	1.86005808895189e-002,-4.62653101246672e-003
4.17117117117117e+005	7.27931186680499e-002,2.36513841970705e-001	1.85441376266390e-002,-4.73027683941409e-003
4.27027027027027e+005	7.56791429785895e-002,2.41669341581497e-001	1.84864171404282e-002,-4.83338683162995e-003
4.36936936936936e+005	7.86287404022459e-002,2.46792308913473e-001	1.84274251919551e-002,-4.93584617826945e-003
4.46846846846846e+005	8.16416157971139e-002,2.51882004645359e-001	1.83671676840577e-002,-5.03764009290719e-003
4.56756756756756e+005	8.47174669220774e-002,2.56937690723931e-001	1.83056506615585e-002,-5.13875381447862e-003
4.66666666666666e+005	8.78559844272822e-002,2.61958630411987e-001	1.82428803114544e-002,-5.23917260823973e-003
4.76576576576576e+005	9.10568518459356e-002,2.66944088337223e-001	1.81788629630813e-002,-5.33888176674445e-003
4.86486486486486e+005	9.43197455875538e-002,2.71893330541951e-001	1.81136050882489e-002,-5.43786661083902e-003
4.96396396396396e+005	9.76443349327871e-002,2.76805624533638e-001	1.80471133013443e-002,-5.53611249067277e-003
5.06306306306306e+005	1.01030282029959e-001,2.81680239336225e-001	1.79793943594008e-002,-5.63360478672450e-003
5.16216216216216e+005	1.04477241893461e-001,2.86516445542170e-001	1.79104551621308e-002,-5.73032891084340e-003
