Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.80910520699740e-002,1.48134853419632e-001	1.90381789586005e-002,-2.96269706839263e-003
1.09909909909910e+005	5.27942450755648e-002,1.62078165868270e-001	1.89441150984887e-002,-3.24156331736539e-003
1.19819819819820e+005	5.78979282129410e-002,1.75821229947994e-001	1.88420414357412e-002,-3.51642459895988e-003
1.29729729729730e+005	6.33910456871094e-002,1.89349106882939e-001	1.87321790862578e-002,-3.78698213765878e-003
1.39639639639640e+005	6.92618537450374e-002,2.02647624181561e-001	1.86147629250993e-002,-4.05295248363121e-003
1.49549549549550e+005	7.54979838089119e-002,2.15703406325494e-001	1.84900403238218e-002,-4.31406812650988e-003
1.59459459459459e+005	8.20865060318076e-002,2.28503901470870e-001	1.83582698793638e-002,-4.57007802941741e-003
1.69369369369369e+005	8.90139933044392e-002,2.41037403583217e-001	1.82197201339112e-002,-4.82074807166433e-003
1.79279279279279e+005	9.62665854847638e-002,2.53293069704040e-001	1.80746682903047e-002,-5.06586139408079e-003
1.89189189189189e+005	1.03830053504308e-001,2.65260932227042e-001	1.79233989299138e-002,-5.30521864454085e-003
1.99099099099099e+005	1.11689862956800e-001,2.76931906186222e-001	1.77662027408640e-002,-5.53863812372444e-003
2.09009009009009e+005	1.19831236763617e-001,2.88297791648746e-001	1.76033752647277e-002,-5.76595583297492e-003
2.18918918918919e+005	1.28239216520679e-001,2.99351271374380e-001	1.74352156695864e-002,-5.98702542748760e-003
2.28828828828829e+005	1.36898722154262e-001,3.10085903956870e-001	1.72620255569148e-002,-6.20171807913740e-003
2.38738738738739e+005	1.45794609543909e-001,3.20496112704774e-001	1.70841078091218e-002,-6.40992225409549e-003
2.48648648648649e+005	1.54911725806324e-001,3.30577170552050e-001	1.69017654838735e-002,-6.61154341104100e-003
2.58558558558559e+005	1.64234961972706e-001,3.40325181313542e-001	1.67153007605459e-002,-6.80650362627085e-003
2.68468468468468e+005	1.73749302832192e-001,3.49737057618462e-001	1.65250139433562e-002,-6.99474115236924e-003
2.78378378378378e+005	1.83439873754651e-001,3.58810495866599e-001	1.63312025249070e-002,-7.17620991733198e-003
2.88288288288288e+005	1.93291984346325e-001,3.67543948558100e-001	1.61341603130735e-002,-7.35087897116200e-003
2.98198198198198e+005	2.03291168830910e-001,3.75936594348658e-001	1.59341766233818e-002,-7.51873188697315e-003
3.08108108108108e+005	2.13423223086140e-001,3.83988306178468e-001	1.57315355382772e-002,-7.67976612356937e-003
3.18018018018018e+005	2.23674238301305e-001,3.91699617815842e-001	1.55265152339739e-002,-7.83399235631683e-003
3.27927927927928e+005	2.34030631253993e-001,3.99071689145419e-001	1.53193873749201e-002,-7.98143378290838e-003
3.37837837837838e+005	2.44479171234567e-001,4.06106270517069e-001	1.51104165753087e-002,-8.12212541034139e-003
3.47747747747748e+005	2.55007003674084e-001,4.12805666455202e-001	1.48998599265183e-002,-8.25611332910404e-003
3.57657657657657e+005	2.65601670555667e-001,4.19172699009955e-001	1.46879665888867e-002,-8.38345398019910e-003
3.67567567567567e+005	2.76251127710471e-001,4.25210671011908e-001	1.44749774457906e-002,-8.50421342023817e-003
3.77477477477477e+005	2.86943759117556e-001,4.30923329471104e-001	1.42611248176489e-002,-8.61846658942207e-003
3.87387387387387e+005	2.97668388342101e-001,4.36314829339612e-001	1.40466322331580e-002,-8.72629658679224e-003
3.97297297297297e+005	3.08414287258698e-001,4.41389697835025e-001	1.38317142548260e-002,-8.82779395670051e-003
4.07207207207207e+005	3.19171182215974e-001,4.46152799500409e-001	1.36165763556805e-002,-8.92305599000819e-003
4.17117117117117e+005	3.29929257805782e-001,4.50609302154696e-001	1.34014148438844e-002,-9.01218604309392e-003
4.27027027027027e+005	3.40679158404808e-001,4.54764643866514e-001	1.31864168319038e-002,-9.09529287733028e-003
4.36936936936936e+005	3.51411987658828e-001,4.58624501064185e-001	1.29717602468234e-002,-9.17249002128370e-003
4.46846846846846e+005	3.62119306080365e-001,4.62194757875302e-001	1.27576138783927e-002,-9.24389515750604e-003
4.56756756756756e+005	3.72793126929168e-001,4.65481476771045e-001	1.25441374614166e-002,-9.30962953542091e-003
4.66666666666666e+005	3.83425910542177e-001,4.68490870573281e-001	1.23314817891565e-002,-9.36981741146563e-003
4.76576576576576e+005	3.94010557275473e-001,4.71229275866629e-001	1.21197888544905e-002,-9.42458551733258e-003
4.86486486486486e+005	4.04540399215493e-001,4.73703127843087e-001	1.19091920156901e-002,-9.47406255686175e-003
4.96396396396396e+005	4.15009190810660e-001,4.75918936593540e-001	1.16998161837868e-002,-9.51837873187080e-003
5.06306306306306e+005	4.25411098567622e-001,4.77883264848442e-001	1.14917780286476e-002,-9.55766529696885e-003
5.16216216216216e+005	4.35740689948902e-001,4.79602707159316e-001	1.12851862010220e-002,-9.59205414318631e-003
5.26126126126125e+005	4.45992921600820e-001,4.81083870503185e-001	1.10801415679836e-002,-9.62167741006371e-003
5.36036036036035e+005	4.56163127032424e-001,4.82333356283848e-001	1.08767374593515e-002,-9.64666712567695e-003
5.45945945945945e+005	4.66247003857848e-001,4.83357743696725e-001	1.06750599228430e-002,-9.66715487393450e-003
5.55855855855855e+005	4.76240600706145e-001,4.84163574418016e-001	1.04751879858771e-002,-9.68327148836033e-003
5.65765765765765e+005	4.86140303894367e-001,4.84757338573816e-001	1.02771939221127e-002,-9.69514677147632e-003
5.75675675675675e+005	4.95942823951460e-001,4.85145461940763e-001	1.00811435209708e-002,-9.70290923881526e-003
5.85585585585585e+005	5.05645182072607e-001,4.85334294326538e-001	9.88709635854786e-003,-9.70668588653076e-003
5.95495495495495e+005	5.15244696575915e-001,4.85330099076040e-001	9.69510606848169e-003,-9.70660198152080e-003
6.05405405405405e+005	5.24738969425959e-001,4.85139043647338e-001	9.50522061148083e-003,-9.70278087294675e-003
