Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	5.45394304636685e-002,1.60179963168335e-001	1.89092113907266e-002,-3.20359926336670e-003
1.09909909909910e+005	6.00621327154420e-002,1.75121749727415e-001	1.87987573456912e-002,-3.50243499454830e-003
1.19819819819820e+005	6.60478541461965e-002,1.89812861317834e-001	1.86790429170761e-002,-3.79625722635669e-003
1.29729729729730e+005	7.24819174633753e-002,2.04235074999000e-001	1.85503616507325e-002,-4.08470149998000e-003
1.39639639639640e+005	7.93487862659373e-002,2.18371267185932e-001	1.84130242746813e-002,-4.36742534371864e-003
1.49549549549550e+005	8.66321597449611e-002,2.32205444937166e-001	1.82673568051008e-002,-4.64410889874333e-003
1.59459459459459e+005	9.43150672441919e-002,2.45722773015779e-001	1.81136986551162e-002,-4.91445546031558e-003
1.69369369369369e+005	1.02379962687668e-001,2.58909595026636e-001	1.79524007462466e-002,-5.17819190053272e-003
1.79279279279279e+005	1.10808818483606e-001,2.71753447777594e-001	1.77838236303279e-002,-5.43506895555188e-003
1.89189189189189e+005	1.19583218343265e-001,2.84243068506858e-001	1.76083356331347e-002,-5.68486137013716e-003
1.99099099099099e+005	1.28684448394884e-001,2.96368394927882e-001	1.74263110321023e-002,-5.92736789855763e-003
2.09009009009009e+005	1.38093585972977e-001,3.08120558247958e-001	1.72381282805405e-002,-6.16241116495917e-003
2.18918918918919e+005	1.47791585496131e-001,3.19491869458361e-001	1.70441682900774e-002,-6.38983738916723e-003
2.28828828828829e+005	1.57759360898199e-001,3.30475799294617e-001	1.68448127820360e-002,-6.60951598589234e-003
2.38738738738739e+005	1.67977864140552e-001,3.41066952337504e-001	1.66404427171890e-002,-6.82133904675007e-003
2.48648648648649e+005	1.78428159401859e-001,3.51261035775807e-001	1.64314368119628e-002,-7.02522071551615e-003
2.58558558558559e+005	1.89091492613488e-001,3.61054823385231e-001	1.62181701477302e-002,-7.22109646770461e-003
2.68468468468468e+005	1.99949356080556e-001,3.70446115297104e-001	1.60010128783889e-002,-7.40892230594208e-003
2.78378378378378e+005	2.10983547999240e-001,3.79433694137905e-001	1.57803290400152e-002,-7.58867388275811e-003
2.88288288288288e+005	2.22176226748742e-001,3.88017278117820e-001	1.55564754650252e-002,-7.76034556235641e-003
2.98198198198198e+005	2.33509959900191e-001,3.96197471635120e-001	1.53298008019962e-002,-7.92394943270241e-003
3.08108108108108e+005	2.44967767944055e-001,4.03975713944414e-001	1.51006446411189e-002,-8.07951427888827e-003
3.18018018018018e+005	2.56533162791663e-001,4.11354226411997e-001	1.48693367441667e-002,-8.22708452823994e-003
3.27927927927928e+005	2.68190181154804e-001,4.18335958851817e-001	1.46361963769039e-002,-8.36671917703635e-003
3.37837837837838e+005	2.79923412949966e-001,4.24924535401975e-001	1.44015317410007e-002,-8.49849070803951e-003
3.47747747747748e+005	2.91718024910361e-001,4.31124200365274e-001	1.41656395017928e-002,-8.62248400730548e-003
3.57657657657657e+005	3.03559779619700e-001,4.36939764398962e-001	1.39288044076060e-002,-8.73879528797923e-003
3.67567567567567e+005	3.15435050206719e-001,4.42376551399337e-001	1.36912989958656e-002,-8.84753102798674e-003
