Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.66557366514964e-002,6.84650871582693e-002	1.96668852669701e-002,-1.36930174316539e-003
1.09909909909910e+005	1.76511157352035e-002,7.51940435280779e-002	1.96469776852959e-002,-1.50388087056156e-003
1.19819819819820e+005	1.87394158910089e-002,8.19072288773093e-002	1.96252116821798e-002,-1.63814457754619e-003
1.29729729729730e+005	1.99203512213427e-002,8.86032461087701e-002	1.96015929755731e-002,-1.77206492217540e-003
1.39639639639640e+005	2.11936118899857e-002,9.52807045054103e-002	1.95761277622003e-002,-1.90561409010821e-003
1.49549549549550e+005	2.25588643001995e-002,1.01938220233614e-001	1.95488227139960e-002,-2.03876440467227e-003
1.59459459459459e+005	2.40157512861151e-002,1.08574416840774e-001	1.95196849742777e-002,-2.17148833681549e-003
1.69369369369369e+005	2.55638923171827e-002,1.15187925746762e-001	1.94887221536563e-002,-2.30375851493524e-003
1.79279279279279e+005	2.72028837154709e-002,1.21777386728877e-001	1.94559423256906e-002,-2.43554773457753e-003
1.89189189189189e+005	2.89322988855901e-002,1.28341448399918e-001	1.94213540222882e-002,-2.56682896799835e-003
1.99099099099099e+005	3.07516885570065e-002,1.34878768678985e-001	1.93849662288599e-002,-2.69757537357970e-003
2.09009009009009e+005	3.26605810384956e-002,1.41388015254652e-001	1.93467883792301e-002,-2.82776030509303e-003
2.18918918918919e+005	3.46584824844793e-002,1.47867866040149e-001	1.93068303503104e-002,-2.95735732080298e-003
2.28828828828829e+005	3.67448771729747e-002,1.54317009620217e-001	1.92651024565405e-002,-3.08634019240434e-003
2.38738738738739e+005	3.89192277948742e-002,1.60734145689288e-001	1.92216154441025e-002,-3.21468291378575e-003
2.48648648648649e+005	4.11809757542682e-002,1.67117985480670e-001	1.91763804849146e-002,-3.34235970961340e-003
2.58558558558559e+005	4.35295414795088e-002,1.73467252186431e-001	1.91294091704098e-002,-3.46934504372862e-003
2.68468468468468e+005	4.59643247447070e-002,1.79780681367659e-001	1.90807135051059e-002,-3.59561362735318e-003
2.78378378378378e+005	4.84847050013462e-002,1.86057021354828e-001	1.90303058999731e-002,-3.72114042709655e-003
2.88288288288288e+005	5.10900417196859e-002,1.92295033637972e-001	1.89781991656063e-002,-3.84590067275944e-003
2.98198198198198e+005	5.37796747396248e-002,1.98493493246418e-001	1.89244065052075e-002,-3.96986986492836e-003
3.08108108108108e+005	5.65529246306828e-002,2.04651189117801e-001	1.88689415073863e-002,-4.09302378235602e-003
3.18018018018018e+005	5.94090930607563e-002,2.10766924456137e-001	1.88118181387849e-002,-4.21533848912275e-003
3.27927927927928e+005	6.23474631732971e-002,2.16839517078714e-001	1.87530507365341e-002,-4.33679034157429e-003
3.37837837837838e+005	6.53672999725552e-002,2.22867799751583e-001	1.86926540005489e-002,-4.45735599503166e-003
3.47747747747748e+005	6.84678507165280e-002,2.28850620513446e-001	1.86306429856694e-002,-4.57701241026893e-003
3.57657657657657e+005	7.16483453172483e-002,2.34786842987754e-001	1.85670330936550e-002,-4.69573685975508e-003
3.67567567567567e+005	7.49079967480423e-002,2.40675346682821e-001	1.85018400650392e-002,-4.81350693365642e-003
3.77477477477477e+005	7.82460014573882e-002,2.46515027279805e-001	1.84350799708522e-002,-4.93030054559610e-003
3.87387387387387e+005	8.16615397889990e-002,2.52304796908393e-001	1.83667692042200e-002,-5.04609593816786e-003
3.97297297297297e+005	8.51537764077551e-002,2.58043584410047e-001	1.82969244718449e-002,-5.16087168820094e-003
4.07207207207207e+005	8.87218607311098e-002,2.63730335588692e-001	1.82255627853778e-002,-5.27460671177384e-003
4.17117117117117e+005	9.23649273655895e-002,2.69364013448725e-001	1.81527014526882e-002,-5.38728026897449e-003
4.27027027027027e+005	9.60820965480127e-002,2.74943598420239e-001	1.80783580690397e-002,-5.49887196840478e-003
