Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	1.00087019799518e-001,1.25945161631199e-001	1.79982596040096e-002,-2.51890323262398e-003
1.09909909909910e+005	1.03742410695384e-001,1.37910073453817e-001	1.79251517860923e-002,-2.75820146907634e-003
1.19819819819820e+005	1.07715163161377e-001,1.49733041916013e-001	1.78456967367725e-002,-2.99466083832026e-003
1.29729729729730e+005	1.11998121441453e-001,1.61403121203973e-001	1.77600375711709e-002,-3.22806242407947e-003
1.39639639639640e+005	1.16583658444594e-001,1.72909810327253e-001	1.76683268311081e-002,-3.45819620654505e-003
1.49549549549550e+005	1.21463708397937e-001,1.84243076727408e-001	1.75707258320413e-002,-3.68486153454815e-003
1.59459459459459e+005	1.26629800725818e-001,1.95393377126163e-001	1.74674039854836e-002,-3.90786754252326e-003
1.69369369369369e+005	1.32073094898893e-001,2.06351675573855e-001	1.73585381020221e-002,-4.12703351147710e-003
1.79279279279279e+005	1.37784416001301e-001,2.17109458678764e-001	1.72443116799740e-002,-4.34218917357527e-003
1.89189189189189e+005	1.43754290768021e-001,2.27658748019051e-001	1.71249141846396e-002,-4.55317496038103e-003
1.99099099099099e+005	1.49972983850495e-001,2.37992109760460e-001	1.70005403229901e-002,-4.75984219520920e-003
2.09009009009009e+005	1.56430534076395e-001,2.48102661523973e-001	1.68713893184721e-002,-4.96205323047945e-003
2.18918918918919e+005	1.63116790479362e-001,2.57984076567742e-001	1.67376641904128e-002,-5.15968153135484e-003
2.28828828828829e+005	1.70021447886251e-001,2.67630585366308e-001	1.65995710422750e-002,-5.35261170732616e-003
2.38738738738739e+005	1.77134081862889e-001,2.77036974687219e-001	1.64573183627422e-002,-5.54073949374439e-003
2.48648648648649e+005	1.84444182834128e-001,2.86198584280388e-001	1.63111163433174e-002,-5.72397168560775e-003
2.58558558558559e+005	1.91941189209902e-001,2.95111301308763e-001	1.61611762158020e-002,-5.90222602617526e-003
2.68468468468468e+005	1.99614519365740e-001,3.03771552660121e-001	1.60077096126852e-002,-6.07543105320243e-003
2.78378378378378e+005	2.07453602343510e-001,3.12176295288873e-001	1.58509279531298e-002,-6.24352590577745e-003
2.88288288288288e+005	2.15447907155728e-001,3.20323004743872e-001	1.56910418568854e-002,-6.40646009487744e-003
2.98198198198198e+005	2.23586970594477e-001,3.28209662043276e-001	1.55282605881105e-002,-6.56419324086552e-003
3.08108108108108e+005	2.31860423463390e-001,3.35834739060606e-001	1.53627915307322e-002,-6.71669478121212e-003
3.18018018018018e+005	2.40258015168307e-001,3.43197182587483e-001	1.51948396966339e-002,-6.86394365174966e-003
3.27927927927928e+005	2.48769636618721e-001,3.50296397238090e-001	1.50246072676256e-002,-7.00592794476181e-003
3.37837837837838e+005	2.57385341407944e-001,3.57132227358443e-001	1.48522931718411e-002,-7.14264454716886e-003
3.47747747747748e+005	2.66095365254909e-001,3.63704938100137e-001	1.46780926949018e-002,-7.27409876200273e-003
3.57657657657657e+005	2.74890143704527e-001,3.70015195813611e-001	1.45021971259095e-002,-7.40030391627221e-003
3.67567567567567e+005	2.83760328096459e-001,3.76064047910165e-001	1.43247934380708e-002,-7.52128095820330e-003
3.77477477477477e+005	2.92696799824062e-001,3.81852902335298e-001	1.41460640035188e-002,-7.63705804670596e-003
3.87387387387387e+005	3.01690682915920e-001,3.87383506788423e-001	1.39661863416816e-002,-7.74767013576846e-003
3.97297297297297e+005	3.10733354981985e-001,3.92657927815925e-001	1.37853329003603e-002,-7.85315855631850e-003
4.07207207207207e+005	3.19816456574657e-001,3.97678529895913e-001	1.36036708685069e-002,-7.95357059791826e-003
4.17117117117117e+005	3.28931899022400e-001,4.02447954624115e-001	1.34213620195520e-002,-8.04895909248230e-003
