Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.70915909619777e-002,7.15020478387841e-002	1.96581681807605e-002,-1.43004095677568e-003
1.09909909909910e+005	1.81769495849738e-002,7.85231203277272e-002	1.96364610083005e-002,-1.57046240655454e-003
1.19819819819820e+005	1.93634556843791e-002,8.55259367027422e-002	1.96127308863124e-002,-1.71051873405484e-003
1.29729729729730e+005	2.06507512429031e-002,9.25088847872491e-002	1.95869849751419e-002,-1.85017769574498e-003
1.39639639639640e+005	2.20384484172823e-002,9.94703610766364e-002	1.95592310316544e-002,-1.98940722153273e-003
1.49549549549550e+005	2.35261297978391e-002,1.06408771417168e-001	1.95294774040432e-002,-2.12817542834336e-003
1.59459459459459e+005	2.51133486871284e-002,1.13322531675944e-001	1.94977330262574e-002,-2.26645063351888e-003
1.69369369369369e+005	2.67996293973311e-002,1.20210068401295e-001	1.94640074120534e-002,-2.40420136802589e-003
1.79279279279279e+005	2.85844675660317e-002,1.27069819473014e-001	1.94283106486794e-002,-2.54139638946027e-003
1.89189189189189e+005	3.04673304899993e-002,1.33900234741842e-001	1.93906533902000e-002,-2.67800469483685e-003
1.99099099099099e+005	3.24476574765674e-002,1.40699776657637e-001	1.93510468504687e-002,-2.81399553315275e-003
2.09009009009009e+005	3.45248602121918e-002,1.47466920885667e-001	1.93095027957562e-002,-2.94933841771334e-003
2.18918918918919e+005	3.66983231477449e-002,1.54200156910508e-001	1.92660335370451e-002,-3.08400313821016e-003
2.28828828828829e+005	3.89674039000900e-002,1.60897988627025e-001	1.92206519219982e-002,-3.21795977254050e-003
2.38738738738739e+005	4.13314336694589e-002,1.67558934917932e-001	1.91733713266108e-002,-3.35117869835863e-003
2.48648648648649e+005	4.37897176721441e-002,1.74181530217464e-001	1.91242056465571e-002,-3.48363060434928e-003
2.58558558558559e+005	4.63415355879981e-002,1.80764325060706e-001	1.90731692882400e-002,-3.61528650121412e-003
2.68468468468468e+005	4.89861420222231e-002,1.87305886618129e-001	1.90202771595555e-002,-3.74611773236258e-003
2.78378378378378e+005	5.17227669809157e-002,1.93804799214934e-001	1.89655446603817e-002,-3.87609598429868e-003
2.88288288288288e+005	5.45506163598246e-002,2.00259664834804e-001	1.89089876728035e-002,-4.00519329669608e-003
2.98198198198198e+005	5.74688724457657e-002,2.06669103607691e-001	1.88506225510847e-002,-4.13338207215382e-003
3.08108108108108e+005	6.04766944301282e-002,2.13031754281288e-001	1.87904661113974e-002,-4.26063508562577e-003
3.18018018018018e+005	6.35732189338990e-002,2.19346274675871e-001	1.87285356213220e-002,-4.38692549351742e-003
3.27927927927928e+005	6.67575605436229e-002,2.25611342122184e-001	1.86648487891275e-002,-4.51222684244368e-003
3.37837837837838e+005	7.00288123577098e-002,2.31825653882112e-001	1.85994237528458e-002,-4.63651307764224e-003
3.47747747747748e+005	7.33860465424944e-002,2.37987927551863e-001	1.85322790691501e-002,-4.75975855103725e-003
3.57657657657657e+005	7.68283148974491e-002,2.44096901447432e-001	1.84634337020510e-002,-4.88193802894864e-003
3.67567567567567e+005	8.03546494289469e-002,2.50151334972136e-001	1.83929070114211e-002,-5.00302669944273e-003
3.77477477477477e+005	8.39640629319691e-002,2.56150008966026e-001	1.83207187413606e-002,-5.12300017932051e-003
3.87387387387387e+005	8.76555495791494e-002,2.62091726037003e-001	1.82468890084170e-002,-5.24183452074007e-003
3.97297297297297e+005	9.14280855165477e-002,2.67975310873518e-001	1.81714382896690e-002,-5.35950621747037e-003
4.07207207207207e+005	9.52806294655453e-002,2.73799610538696e-001	1.80943874106891e-002,-5.47599221077392e-003
4.17117117117117e+005	9.92121233302544e-002,2.79563494745817e-001	1.80157575333949e-002,-5.59126989491633e-003
4.27027027027027e+005	1.03221492809840e-001,2.85265856115061e-001	1.79355701438032e-002,-5.70531712230122e-003
4.36936936936936e+005	1.07307648015154e-001,2.90905610411463e-001	1.78538470396969e-002,-5.81811220822926e-003
4.46846846846846e+005	1.11469484089076e-001,2.96481696764038e-001	1.77706103182185e-002,-5.92963393528076e-003
4.56756756756756e+005	1.15705881829992e-001,3.01993077866071e-001	1.76858823634002e-002,-6.03986155732143e-003
4.66666666666666e+005	1.20015708317796e-001,3.07438740156572e-001	1.75996858336441e-002,-6.14877480313143e-003
4.76576576576576e+005	1.24397817541862e-001,3.12817693982912e-001	1.75120436491628e-002,-6.25635387965825e-003
4.86486486486486e+005	1.28851051030404e-001,3.18128973744713e-001	1.74229789793919e-002,-6.36257947489426e-003
4.96396396396396e+005	1.33374238480661e-001,3.23371638019014e-001	1.73325152303868e-002,-6.46743276038028e-003
5.06306306306306e+005	1.37966198389368e-001,3.28544769666834e-001	1.72406760322126e-002,-6.57089539333667e-003
5.16216216216216e+005	1.42625738682953e-001,3.33647475921200e-001	1.71474852263409e-002,-6.67294951842401e-003
5.26126126126125e+005	1.47351657346948e-001,3.38678888456781e-001	1.70529668530610e-002,-6.77357776913562e-003
5.36036036036035e+005	1.52142743054082e-001,3.43638163441231e-001	1.69571451389184e-002,-6.87276326882462e-003
5.45945945945945e+005	1.56997775790552e-001,3.48524481568414e-001	1.68600444841890e-002,-6.97048963136828e-003
5.55855855855855e+005	1.61915527479995e-001,3.53337048073655e-001	1.67616894504001e-002,-7.06674096147309e-003
5.65765765765765e+005	1.66894762604657e-001,3.58075092731194e-001	1.66621047479069e-002,-7.16150185462389e-003
5.75675675675675e+005	1.71934238823317e-001,3.62737869834040e-001	1.65613152235337e-002,-7.25475739668080e-003
5.85585585585585e+005	1.77032707585503e-001,3.67324658156400e-001	1.64593458482899e-002,-7.34649316312801e-003
5.95495495495495e+005	1.82188914741576e-001,3.71834760898927e-001	1.63562217051685e-002,-7.43669521797855e-003
6.05405405405405e+005	1.87401601148265e-001,3.76267505616969e-001	1.62519679770347e-002,-7.52535011233939e-003
6.15315315315315e+005	1.92669503269247e-001,3.80622244132078e-001	1.61466099346151e-002,-7.61244488264157e-003
6.25225225225225e+005	1.97991353770400e-001,3.84898352426995e-001	1.60401729245920e-002,-7.69796704853991e-003
6.35135135135135e+005	2.03365882109357e-001,3.89095230524366e-001	1.59326823578129e-002,-7.78190461048733e-003
6.45045045045045e+005	2.08791815119029e-001,3.93212302349432e-001	1.58241636976194e-002,-7.86424604698864e-003
6.54954954954955e+005	2.14267877584750e-001,3.97249015576944e-001	1.57146424483050e-002,-7.94498031153888e-003
6.64864864864865e+005	2.19792792814772e-001,4.01204841462573e-001	1.56041441437046e-002,-8.02409682925146e-003
6.74774774774775e+005	2.25365283203785e-001,4.05079274659055e-001	1.54926943359243e-002,-8.10158549318111e-003
6.84684684684685e+005	2.30984070789238e-001,4.08871833017350e-001	1.53803185842152e-002,-8.17743666034699e-003
6.94594594594594e+005	2.36647877800188e-001,4.12582057373058e-001	1.52670424439962e-002,-8.25164114746116e-003
7.04504504504504e+005	2.42355427198471e-001,4.16209511318372e-001	1.51528914560306e-002,-8.32419022636744e-003
7.14414414414414e+005	2.48105443212002e-001,4.19753780959800e-001	1.50378911357600e-002,-8.39507561919600e-003
7.24324324324324e+005	2.53896651860011e-001,4.23214474661923e-001	1.49220669627998e-002,-8.46428949323847e-003
7.34234234234234e+005	2.59727781470092e-001,4.26591222777433e-001	1.48054443705982e-002,-8.53182445554866e-003
7.44144144144144e+005	2.65597563186906e-001,4.29883677363681e-001	1.46880487362619e-002,-8.59767354727363e-003
7.54054054054054e+005	2.71504731472478e-001,4.33091511885976e-001	1.45699053705504e-002,-8.66183023771953e-003
7.63963963963964e+005	2.77448024597974e-001,4.36214420907841e-001	1.44510395080405e-002,-8.72428841815683e-003
7.73873873873874e+005	2.83426185126944e-001,4.39252119768437e-001	1.43314762974611e-002,-8.78504239536875e-003
7.83783783783784e+005	2.89437960389993e-001,4.42204344247351e-001	1.42112407922001e-002,-8.84408688494701e-003
7.93693693693694e+005	2.95482102950901e-001,4.45070850216904e-001	1.40903579409820e-002,-8.90141700433808e-003
8.03603603603604e+005	3.01557371064234e-001,4.47851413282160e-001	1.39688525787153e-002,-8.95702826564320e-003
8.13513513513514e+005	3.07662529124517e-001,4.50545828408737e-001	1.38467494175097e-002,-9.01091656817474e-003
8.23423423423424e+005	3.13796348107077e-001,4.53153909538555e-001	1.37240730378585e-002,-9.06307819077110e-003
8.33333333333334e+005	3.19957606000710e-001,4.55675489193586e-001	1.36008478799858e-002,-9.11350978387171e-003
8.43243243243244e+005	3.26145088232338e-001,4.58110418067658e-001	1.34770982353532e-002,-9.16220836135316e-003
8.53153153153153e+005	3.32357588083894e-001,4.60458564606338e-001	1.33528482383221e-002,-9.20917129212677e-003
8.63063063063063e+005	3.38593907101689e-001,4.62719814574860e-001	1.32281218579662e-002,-9.25439629149720e-003
8.72972972972973e+005	3.44852855498578e-001,4.64894070614035e-001	1.31029428900284e-002,-9.29788141228070e-003
8.82882882882883e+005	3.51133252549282e-001,4.66981251784045e-001	1.29773349490144e-002,-9.33962503568090e-003
8.92792792792793e+005	3.57433926979276e-001,4.68981293095939e-001	1.28513214604145e-002,-9.37962586191878e-003
9.02702702702703e+005	3.63753717347731e-001,4.70894145030621e-001	1.27249256530454e-002,-9.41788290061241e-003
9.12612612612613e+005	3.70091472425016e-001,4.72719773045037e-001	1.25981705514997e-002,-9.45439546090075e-003
9.22522522522523e+005	3.76446051565389e-001,4.74458157065214e-001	1.24710789686922e-002,-9.48916314130427e-003
9.32432432432433e+005	3.82816325075542e-001,4.76109290965686e-001	1.23436734984892e-002,-9.52218581931372e-003
9.42342342342343e+005	3.89201174579766e-001,4.77673182034812e-001	1.22159765084047e-002,-9.55346364069623e-003
9.52252252252253e+005	3.95599493382586e-001,4.79149850425321e-001	1.20880101323483e-002,-9.58299700850642e-003
9.62162162162163e+005	4.02010186829833e-001,4.80539328589369e-001	1.19597962634033e-002,-9.61078657178737e-003
9.72072072072073e+005	4.08432172669213e-001,4.81841660697210e-001	1.18313565466157e-002,-9.63683321394419e-003
9.81981981981983e+005	4.14864381411572e-001,4.83056902038491e-001	1.17027123717686e-002,-9.66113804076982e-003
9.91891891891893e+005	4.21305756694220e-001,4.84185118404976e-001	1.15738848661156e-002,-9.68370236809953e-003
1.00180180180180e+006	4.27755255647785e-001,4.85226385453346e-001	1.14448948870443e-002,-9.70452770906692e-003
