Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	6.82835795041938e-002,1.98737726138144e-001	1.86343284099161e-002,-3.97475452276289e-003
1.09909909909910e+005	7.67287598121777e-002,2.16573007144570e-001	1.84654248037564e-002,-4.33146014289139e-003
1.19819819819820e+005	8.58230288218245e-002,2.33926841709513e-001	1.82835394235635e-002,-4.67853683419026e-003
1.29729729729730e+005	9.55310811879417e-002,2.50769645257651e-001	1.80893783762412e-002,-5.01539290515302e-003
1.39639639639640e+005	1.05816148478866e-001,2.67075111633394e-001	1.78836770304227e-002,-5.34150223266789e-003
1.49549549549550e+005	1.16640344887204e-001,2.82820212782854e-001	1.76671931022559e-002,-5.65640425565708e-003
1.59459459459459e+005	1.27964995510859e-001,2.97985178013348e-001	1.74407000897828e-002,-5.95970356026696e-003
1.69369369369369e+005	1.39750948146906e-001,3.12553449301365e-001	1.72049810370619e-002,-6.25106898602731e-003
1.79279279279279e+005	1.51958867670401e-001,3.26511611949896e-001	1.69608226465920e-002,-6.53023223899792e-003
1.89189189189189e+005	1.64549511424611e-001,3.39849301578204e-001	1.67090097715078e-002,-6.79698603156408e-003
1.99099099099099e+005	1.77483983990837e-001,3.52559089444327e-001	1.64503203201833e-002,-7.05118178888654e-003
2.09009009009009e+005	1.90723969933992e-001,3.64636348706381e-001	1.61855206013202e-002,-7.29272697412762e-003
2.18918918918919e+005	2.04231943482243e-001,3.76079104563419e-001	1.59153611303551e-002,-7.52158209126838e-003
2.28828828828829e+005	2.17971354513244e-001,3.86887871362499e-001	1.56405729097351e-002,-7.73775742724998e-003
2.38738738738739e+005	2.31906790639193e-001,3.97065479768172e-001	1.53618641872161e-002,-7.94130959536343e-003
2.48648648648649e+005	2.46004115580438e-001,4.06616896999687e-001	1.50799176883912e-002,-8.13233793999375e-003
2.58558558558559e+005	2.60230584376469e-001,4.15549042976470e-001	1.47953883124706e-002,-8.31098085952940e-003
2.68468468468468e+005	2.74554936294407e-001,4.23870604994692e-001	1.45089012741119e-002,-8.47741209989385e-003
2.78378378378378e+005	2.88947466554281e-001,4.31591853304081e-001	1.42210506689144e-002,-8.63183706608163e-003
2.88288288288288e+005	3.03380078196242e-001,4.38724459678556e-001	1.39323984360752e-002,-8.77448919357112e-003
2.98198198198198e+005	3.17826315568847e-001,4.45281320788580e-001	1.36434736886231e-002,-8.90562641577160e-003
3.08108108108108e+005	3.32261381022667e-001,4.51276387896966e-001	1.33547723795467e-002,-9.02552775793932e-003
3.18018018018018e+005	3.46662136454070e-001,4.56724504120947e-001	1.30667572709186e-002,-9.13449008241894e-003
3.27927927927928e+005	3.61007091365013e-001,4.61641250237831e-001	1.27798581726998e-002,-9.23282500475661e-003
