Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.54067738764672e-002,5.88354535392961e-002	1.96918645224707e-002,-1.17670907078592e-003
1.09909909909910e+005	1.61443357247060e-002,6.46361894848198e-002	1.96771132855059e-002,-1.29272378969640e-003
1.19819819819820e+005	1.69512579649780e-002,7.04284854154753e-002	1.96609748407004e-002,-1.40856970830950e-003
1.29729729729730e+005	1.78274646375956e-002,7.62115814631282e-002	1.96434507072481e-002,-1.52423162926256e-003
1.39639639639640e+005	1.87728732092179e-002,8.19847180533344e-002	1.96245425358156e-002,-1.63969436106669e-003
1.49549549549550e+005	1.97873945682371e-002,8.77471359315288e-002	1.96042521086353e-002,-1.75494271863058e-003
1.59459459459459e+005	2.08709330199668e-002,9.34980761896590e-002	1.95825813396007e-002,-1.86996152379318e-003
1.69369369369369e+005	2.20233862816698e-002,9.92367802932910e-002	1.95595322743666e-002,-1.98473560586582e-003
1.79279279279279e+005	2.32446454774707e-002,1.04962490109220e-001	1.95351070904506e-002,-2.09924980218439e-003
1.89189189189189e+005	2.45345951331979e-002,1.10674447933610e-001	1.95093080973360e-002,-2.21348895867220e-003
1.99099099099099e+005	2.58931131712068e-002,1.16371896520697e-001	1.94821377365759e-002,-2.32743793041395e-003
2.09009009009009e+005	2.73200709052367e-002,1.22054079112077e-001	1.94535985818953e-002,-2.44108158224155e-003
2.18918918918919e+005	2.88153330353609e-002,1.27720239466603e-001	1.94236933392928e-002,-2.55440478933207e-003
2.28828828828829e+005	3.03787576430914e-002,1.33369621890924e-001	1.93924248471382e-002,-2.66739243781849e-003
2.38738738738739e+005	3.20101961867044e-002,1.39001471270680e-001	1.93597960762659e-002,-2.78002942541361e-003
2.48648648648649e+005	3.37094934968588e-002,1.44615033102382e-001	1.93258101300628e-002,-2.89230066204763e-003
2.58558558558559e+005	3.54764877725818e-002,1.50209553525990e-001	1.92904702445484e-002,-3.00419107051980e-003
2.68468468468468e+005	3.73110105777052e-002,1.55784279358224e-001	1.92537797884459e-002,-3.11568558716447e-003
2.78378378378378e+005	3.92128868378363e-002,1.61338458126600e-001	1.92157422632433e-002,-3.22676916253199e-003
2.88288288288288e+005	4.11819348379564e-002,1.66871338104235e-001	1.91763613032409e-002,-3.33742676208470e-003
2.98198198198198e+005	4.32179662207467e-002,1.72382168345419e-001	1.91356406755851e-002,-3.44764336690837e-003
3.08108108108108e+005	4.53207859857433e-002,1.77870198721966e-001	1.90935842802851e-002,-3.55740397443932e-003
3.18018018018018e+005	4.74901924894362e-002,1.83334679960368e-001	1.90501961502113e-002,-3.66669359920736e-003
3.27927927927928e+005	4.97259774464288e-002,1.88774863679747e-001	1.90054804510714e-002,-3.77549727359494e-003
3.37837837837838e+005	5.20279259317876e-002,1.94190002430619e-001	1.89594414813642e-002,-3.88380004861238e-003
3.47747747747748e+005	5.43958163847159e-002,1.99579349734473e-001	1.89120836723057e-002,-3.99158699468947e-003
3.57657657657657e+005	5.68294206136983e-002,2.04942160124171e-001	1.88634115877260e-002,-4.09884320248343e-003
3.67567567567567e+005	5.93285038032706e-002,2.10277689185160e-001	1.88134299239346e-002,-4.20555378370320e-003
3.77477477477477e+005	6.18928245225817e-002,2.15585193597502e-001	1.87621435095484e-002,-4.31170387195004e-003
3.87387387387387e+005	6.45221347359261e-002,2.20863931178718e-001	1.87095573052815e-002,-4.41727862357436e-003
3.97297297297297e+005	6.72161798154385e-002,2.26113160927425e-001	1.86556764036912e-002,-4.52226321854850e-003
4.07207207207207e+005	6.99746985561554e-002,2.31332143067771e-001	1.86005060288769e-002,-4.62664286135542e-003
