Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.66557419286307e-002,6.84650968566541e-002	1.96668851614274e-002,-1.36930193713308e-003
1.09909909909910e+005	1.76511238827976e-002,7.51940591608445e-002	1.96469775223440e-002,-1.50388118321689e-003
1.19819819819820e+005	1.87394280892787e-002,8.19072530278036e-002	1.96252114382144e-002,-1.63814506055607e-003
1.29729729729730e+005	1.99203690144787e-002,8.86032821159587e-002	1.96015926197104e-002,-1.77206564231917e-003
1.39639639639640e+005	2.11936372685105e-002,9.52807565950515e-002	1.95761272546298e-002,-1.90561513190103e-003
1.49549549549550e+005	2.25588997959915e-002,1.01938293658588e-001	1.95488220040802e-002,-2.03876587317177e-003
1.59459459459459e+005	2.40158000811195e-002,1.08574518030180e-001	1.95196839983776e-002,-2.17149036060359e-003
1.69369369369369e+005	2.55639583668327e-002,1.15188062463342e-001	1.94887208326633e-002,-2.30376124926684e-003
1.79279279279279e+005	2.72029718878502e-002,1.21777568234342e-001	1.94559405622430e-002,-2.43555136468684e-003
1.89189189189189e+005	2.89324151173746e-002,1.28341685627671e-001	1.94213516976525e-002,-2.56683371255342e-003
1.99099099099099e+005	3.07518400272321e-002,1.34879074413749e-001	1.93849631994554e-002,-2.69758148827499e-003
2.09009009009009e+005	3.26607763612099e-002,1.41388404318471e-001	1.93467844727758e-002,-2.82776808636942e-003
2.18918918918919e+005	3.46587319213470e-002,1.47868355484200e-001	1.93068253615731e-002,-2.95736710968400e-003
2.28828828828829e+005	3.67451928669222e-002,1.54317618921852e-001	1.92650961426616e-002,-3.08635237843705e-003
2.38738738738739e+005	3.89196240258758e-002,1.60734896953704e-001	1.92216075194825e-002,-3.21469793907407e-003
2.48648648648649e+005	4.11814692183960e-002,1.67118903646566e-001	1.91763706156321e-002,-3.34237807293132e-003
2.58558558558559e+005	4.35301515923922e-002,1.73468365235002e-001	1.91293969681522e-002,-3.46936730470003e-003
2.68468468468468e+005	4.59650739705742e-002,1.79782020534246e-001	1.90806985205885e-002,-3.59564041068493e-003
2.78378378378378e+005	4.84856192088495e-002,1.86058621342522e-001	1.90302876158230e-002,-3.72117242685043e-003
2.88288288288288e+005	5.10911505657502e-002,1.92296932832442e-001	1.89781769886850e-002,-3.84593865664883e-003
2.98198198198198e+005	5.37810120825941e-002,1.98495733931215e-001	1.89243797583481e-002,-3.96991467862430e-003
3.08108108108108e+005	5.65545289740887e-002,2.04653817689370e-001	1.88689094205182e-002,-4.09307635378740e-003
3.18018018018018e+005	5.94110080290791e-002,2.10769991637732e-001	1.88117798394184e-002,-4.21539983275463e-003
3.27927927927928e+005	6.23497380211505e-002,2.16843078132403e-001	1.87530052395770e-002,-4.33686156264806e-003
3.37837837837838e+005	6.53699901287878e-002,2.22871914687501e-001	1.86926001974242e-002,-4.45743829375002e-003
3.47747747747748e+005	6.84710183648079e-002,2.28855354295425e-001	1.86305796327038e-002,-4.57710708590849e-003
3.57657657657657e+005	7.16520600147771e-002,2.34792265734438e-001	1.85669587997045e-002,-4.69584531468875e-003
3.67567567567567e+005	7.49123360841369e-002,2.40681533863358e-001	1.85017532783173e-002,-4.81363067726717e-003
3.77477477477477e+005	7.82510517537681e-002,2.46522059903164e-001	1.84349789649246e-002,-4.93044119806329e-003
3.87387387387387e+005	8.16673968437312e-002,2.52312761705336e-001	1.83666520631254e-002,-5.04625523410671e-003
3.97297297297297e+005	8.51605462849344e-002,2.58052574006760e-001	1.82967890743013e-002,-5.16105148013520e-003
4.07207207207207e+005	8.87296605984920e-002,2.63740448671049e-001	1.82254067880302e-002,-5.27480897342098e-003
4.17117117117117e+005	9.23738863825536e-002,2.69375354916108e-001	1.81525222723489e-002,-5.38750709832216e-003
4.27027027027027e+005	9.60923568063991e-002,2.74956279527836e-001	1.80781528638720e-002,-5.49912559055672e-003
4.36936936936936e+005	9.98841921116179e-002,2.80482227059812e-001	1.80023161577676e-002,-5.60964454119624e-003
4.46846846846846e+005	1.03748500120212e-001,2.85952220018860e-001	1.79250299975958e-002,-5.71904440037721e-003
4.56756756756756e+005	1.07684376749487e-001,2.91365299036379e-001	1.78463124650103e-002,-5.82730598072759e-003
4.66666666666666e+005	1.11690906533629e-001,2.96720523025334e-001	1.77661818693274e-002,-5.93441046050667e-003
4.76576576576576e+005	1.15767163151897e-001,3.02016969322810e-001	1.76846567369621e-002,-6.04033938645620e-003
4.86486486486486e+005	1.19912209963384e-001,3.07253733818048e-001	1.76017558007323e-002,-6.14507467636096e-003
4.96396396396396e+005	1.24125100548372e-001,3.12429931065860e-001	1.75174979890326e-002,-6.24859862131720e-003
5.06306306306306e+005	1.28404879256316e-001,3.17544694385357e-001	1.74319024148737e-002,-6.35089388770713e-003
5.16216216216216e+005	1.32750581760572e-001,3.22597175943898e-001	1.73449883647886e-002,-6.45194351887796e-003
5.26126126126125e+005	1.37161235620031e-001,3.27586546826187e-001	1.72567752875994e-002,-6.55173093652374e-003
5.36036036036035e+005	1.41635860847877e-001,3.32511997088428e-001	1.71672827830425e-002,-6.65023994176856e-003
5.45945945945945e+005	1.46173470487783e-001,3.37372735797456e-001	1.70765305902443e-002,-6.74745471594913e-003
5.55855855855855e+005	1.50773071197924e-001,3.42167991054760e-001	1.69845385760415e-002,-6.84335982109521e-003
5.65765765765765e+005	1.55433663843273e-001,3.46897010005280e-001	1.68913267231345e-002,-6.93794020010561e-003
5.75675675675675e+005	1.60154244096778e-001,3.51559058830890e-001	1.67969151180644e-002,-7.03118117661780e-003
5.85585585585585e+005	1.64933803050094e-001,3.56153422728419e-001	1.67013239389981e-002,-7.12306845456839e-003
5.95495495495495e+005	1.69771327834722e-001,3.60679405872090e-001	1.66045734433056e-002,-7.21358811744181e-003
6.05405405405405e+005	1.74665802254514e-001,3.65136331360187e-001	1.65066839549097e-002,-7.30272662720375e-003
6.15315315315315e+005	1.79616207430706e-001,3.69523541145778e-001	1.64076758513859e-002,-7.39047082291555e-003
6.25225225225225e+005	1.84621522460816e-001,3.73840395951251e-001	1.63075695507837e-002,-7.47680791902502e-003
6.35135135135135e+005	1.89680725092969e-001,3.78086275166418e-001	1.62063854981406e-002,-7.56172550332836e-003
6.45045045045045e+005	1.94792792417465e-001,3.82260576729847e-001	1.61041441516507e-002,-7.64521153459694e-003
6.54954954954955e+005	1.99956701577689e-001,3.86362716993084e-001	1.60008659684462e-002,-7.72725433986168e-003
6.64864864864865e+005	2.05171430502800e-001,3.90392130567313e-001	1.58965713899440e-002,-7.80784261134626e-003
6.74774774774775e+005	2.10435958665001e-001,3.94348270151947e-001	1.57912808267000e-002,-7.88696540303894e-003
6.84684684684685e+005	2.15749267864649e-001,3.98230606344555e-001	1.56850146427070e-002,-7.96461212689111e-003
6.94594594594594e+005	2.21110343046969e-001,4.02038627431412e-001	1.55777931390606e-002,-8.04077254862824e-003
7.04504504504504e+005	2.26518173154695e-001,4.05771839157828e-001	1.54696365369061e-002,-8.11543678315655e-003
7.14414414414414e+005	2.31971752021695e-001,4.09429764477283e-001	1.53605649595661e-002,-8.18859528954567e-003
7.24324324324324e+005	2.37470079313394e-001,4.13011943278203e-001	1.52505984137321e-002,-8.26023886556406e-003
7.34234234234234e+005	2.43012161520772e-001,4.16517932086984e-001	1.51397567695846e-002,-8.33035864173968e-003
7.44144144144144e+005	2.48597013015784e-001,4.19947303745671e-001	1.50280597396843e-002,-8.39894607491342e-003
7.54054054054054e+005	2.54223657177385e-001,4.23299647062347e-001	1.49155268564523e-002,-8.46599294124693e-003
7.63963963963964e+005	2.59891127598831e-001,4.26574566431968e-001	1.48021774480234e-002,-8.53149132863936e-003
7.73873873873874e+005	2.65598469388758e-001,4.29771681424947e-001	1.46880306122248e-002,-8.59543362849894e-003
7.83783783783784e+005	2.71344740580721e-001,4.32890626340265e-001	1.45731051883856e-002,-8.65781252680531e-003
7.93693693693694e+005	2.77129013668419e-001,4.35931049719300e-001	1.44574197266316e-002,-8.71862099438600e-003
8.03603603603604e+005	2.82950377286954e-001,4.38892613815789e-001	1.43409924542609e-002,-8.77785227631578e-003
8.13513513513514e+005	2.88807938064200e-001,4.41774994016461e-001	1.42238412387160e-002,-8.83549988032923e-003
8.23423423423424e+005	2.94700822670846e-001,4.44577878205758e-001	1.41059835465831e-002,-8.89155756411515e-003
