Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	4.82953563700861e-002,9.33073904810998e-002	1.90340928725983e-002,-1.86614780962200e-003
1.09909909909910e+005	5.02142096791092e-002,1.02384916777991e-001	1.89957158064178e-002,-2.04769833555981e-003
1.19819819819820e+005	5.23087429640425e-002,1.11415025796600e-001	1.89538251407191e-002,-2.22830051593201e-003
1.29729729729730e+005	5.45774939100254e-002,1.20393663803793e-001	1.89084501217995e-002,-2.40787327607586e-003
1.39639639639640e+005	5.70188847411525e-002,1.29316832942697e-001	1.88596223051769e-002,-2.58633665885395e-003
1.49549549549550e+005	5.96312247771567e-002,1.38180595256289e-001	1.88073755044569e-002,-2.76361190512577e-003
1.59459459459459e+005	6.24127131553480e-002,1.46981076575811e-001	1.87517457368930e-002,-2.93962153151622e-003
1.69369369369369e+005	6.53614417097390e-002,1.55714470266383e-001	1.86927711658052e-002,-3.11428940532767e-003
1.79279279279279e+005	6.84753979989020e-002,1.64377040822668e-001	1.86304920400220e-002,-3.28754081645336e-003
1.89189189189189e+005	7.17524684737563e-002,1.72965127308043e-001	1.85649506305249e-002,-3.45930254616086e-003
1.99099099099099e+005	7.51904417761781e-002,1.81475146631283e-001	1.84961911644764e-002,-3.62950293262566e-003
2.09009009009009e+005	7.87870121590576e-002,1.89903596655355e-001	1.84242597568188e-002,-3.79807193310711e-003
2.18918918918919e+005	8.25397830182071e-002,1.98247059133523e-001	1.83492043396359e-002,-3.96494118267047e-003
2.28828828828829e+005	8.64462705263390e-002,2.06502202468565e-001	1.82710745894732e-002,-4.13004404937130e-003
2.38738738738739e+005	9.05039073591945e-002,2.14665784291521e-001	1.81899218528161e-002,-4.29331568583041e-003
2.48648648648649e+005	9.47100465038018e-002,2.22734653857008e-001	1.81057990699240e-002,-4.45469307714016e-003
2.58558558558559e+005	9.90619651387902e-002,2.30705754252732e-001	1.80187606972242e-002,-4.61411508505465e-003
2.68468468468468e+005	1.03556868576664e-001,2.38576124421459e-001	1.79288626284667e-002,-4.77152248842918e-003
2.78378378378378e+005	1.08191894257964e-001,2.46342900994282e-001	1.78361621148407e-002,-4.92685801988563e-003
2.88288288288288e+005	1.12964115787313e-001,2.54003319934636e-001	1.77407176842537e-002,-5.08006639869273e-003
2.98198198198198e+005	1.17870547001420e-001,2.61554717993078e-001	1.76425890599716e-002,-5.23109435986157e-003
3.08108108108108e+005	1.22908146059277e-001,2.68994533973397e-001	1.75418370788145e-002,-5.37989067946794e-003
3.18018018018018e+005	1.28073819544928e-001,2.76320309811203e-001	1.74385236091014e-002,-5.52640619622406e-003
3.27927927927928e+005	1.33364426573405e-001,2.83529691466636e-001	1.73327114685319e-002,-5.67059382933272e-003
3.37837837837838e+005	1.38776782890637e-001,2.90620429633352e-001	1.72244643421873e-002,-5.81240859266705e-003
3.47747747747748e+005	1.44307664958422e-001,2.97590380266434e-001	1.71138467008316e-002,-5.95180760532868e-003
3.57657657657657e+005	1.49953814015812e-001,3.04437504932313e-001	1.70009237196838e-002,-6.08875009864627e-003
3.67567567567567e+005	1.55711940108571e-001,3.11159870984251e-001	1.68857611978286e-002,-6.22319741968503e-003
3.77477477477477e+005	1.61578726078725e-001,3.17755651567296e-001	1.67684254784255e-002,-6.35511303134593e-003
3.87387387387387e+005	1.67550831506515e-001,3.24223125457039e-001	1.66489833698697e-002,-6.48446250914078e-003
3.97297297297297e+005	1.73624896597496e-001,3.30560676736824e-001	1.65275020680501e-002,-6.61121353473647e-003
4.07207207207207e+005	1.79797546007843e-001,3.36766794318396e-001	1.64040490798431e-002,-6.73533588636793e-003
4.17117117117117e+005	1.86065392601365e-001,3.42840071311256e-001	1.62786921479727e-002,-6.85680142622512e-003
4.27027027027027e+005	1.92425041132103e-001,3.48779204246239e-001	1.61514991773579e-002,-6.97558408492478e-003
4.36936936936936e+005	1.98873091846800e-001,3.54582992159095e-001	1.60225381630640e-002,-7.09165984318190e-003
4.46846846846846e+005	2.05406144001967e-001,3.60250335540016e-001	1.58918771199607e-002,-7.20500671080032e-003
4.56756756756756e+005	2.12020799290662e-001,3.65780235155240e-001	1.57595840141868e-002,-7.31560470310480e-003
4.66666666666666e+005	2.18713665174533e-001,3.71171790747010e-001	1.56257266965093e-002,-7.42343581494020e-003
4.76576576576576e+005	2.25481358117102e-001,3.76424199618267e-001	1.54903728376580e-002,-7.52848399236535e-003
4.86486486486486e+005	2.32320506714670e-001,3.81536755108552e-001	1.53535898657066e-002,-7.63073510217103e-003
4.96396396396396e+005	2.39227754721643e-001,3.86508844967638e-001	1.52154449055671e-002,-7.73017689935276e-003
5.06306306306306e+005	2.46199763967507e-001,3.91339949633471e-001	1.50760047206499e-002,-7.82679899266942e-003
5.16216216216216e+005	2.53233217163031e-001,3.96029640420973e-001	1.49353356567394e-002,-7.92059280841946e-003
5.26126126126125e+005	2.60324820593738e-001,4.00577577628275e-001	1.47935035881252e-002,-8.01155155256550e-003
5.36036036036035e+005	2.67471306698999e-001,4.04983508566890e-001	1.46505738660200e-002,-8.09967017133779e-003
5.45945945945945e+005	2.74669436535523e-001,4.09247265522290e-001	1.45066112692895e-002,-8.18494531044581e-003
5.55855855855855e+005	2.81916002124363e-001,4.13368763651263e-001	1.43616799575128e-002,-8.26737527302526e-003
5.65765765765765e+005	2.89207828680882e-001,4.17347998822319e-001	1.42158434263824e-002,-8.34695997644637e-003
5.75675675675675e+005	2.96541776727497e-001,4.21185045405325e-001	1.40691644654501e-002,-8.42370090810649e-003
