Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.54775930343059e-002,1.43918156765774e-001	1.90904481393139e-002,-2.87836313531547e-003
1.09909909909910e+005	4.99084528814389e-002,1.57505981469482e-001	1.90018309423712e-002,-3.15011962938964e-003
1.19819819819820e+005	5.47186052322851e-002,1.70909311393383e-001	1.89056278953543e-002,-3.41818622786766e-003
1.29729729729730e+005	5.98980662649871e-002,1.84114305717855e-001	1.88020386747003e-002,-3.68228611435710e-003
1.39639639639640e+005	6.54362271951347e-002,1.97107788908486e-001	1.86912754560973e-002,-3.94215577816971e-003
1.49549549549550e+005	7.13219064219248e-002,2.09877282309400e-001	1.85735618715615e-002,-4.19754564618800e-003
1.59459459459459e+005	7.75434031650734e-002,2.22411031230708e-001	1.84491319366985e-002,-4.44822062461416e-003
1.69369369369369e+005	8.40885521906434e-002,2.34698027449853e-001	1.83182289561871e-002,-4.69396054899707e-003
1.79279279279279e+005	9.09447792081123e-002,2.46728027106376e-001	1.81811044158378e-002,-4.93456054212751e-003
1.89189189189189e+005	9.80991565213623e-002,2.58491564022323e-001	1.80380168695728e-002,-5.16983128044645e-003
1.99099099099099e+005	1.05538458526770e-001,2.69979958527617e-001	1.78892308294646e-002,-5.39959917055234e-003
2.09009009009009e+005	1.13249216669068e-001,2.81185321911775e-001	1.77350156666186e-002,-5.62370643823551e-003
2.18918918918919e+005	1.21217773488301e-001,2.92100556660741e-001	1.75756445302340e-002,-5.84201113321482e-003
2.28828828828829e+005	1.29430335417733e-001,3.02719352670361e-001	1.74113932916453e-002,-6.05438705340721e-003
2.38738738738739e+005	1.37873024022061e-001,3.13036179656160e-001	1.72425395195588e-002,-6.26072359312320e-003
2.48648648648649e+005	1.46531925396884e-001,3.23046276002632e-001	1.70693614920623e-002,-6.46092552005264e-003
2.58558558558559e+005	1.55393137483455e-001,3.32745634314259e-001	1.68921372503309e-002,-6.65491268628518e-003
2.68468468468468e+005	1.64442815086517e-001,3.42130983945049e-001	1.67111436982697e-002,-6.84261967890098e-003
2.78378378378378e+005	1.73667212417105e-001,3.51199770793631e-001	1.65266557516579e-002,-7.02399541587261e-003
2.88288288288288e+005	1.83052723015832e-001,3.59950134657134e-001	1.63389455396834e-002,-7.19900269314268e-003
2.98198198198198e+005	1.92585916945119e-001,3.68380884439406e-001	1.61482816610976e-002,-7.36761768878811e-003
3.08108108108108e+005	2.02253575170517e-001,3.76491471507909e-001	1.59549284965897e-002,-7.52982943015817e-003
3.18018018018018e+005	2.12042721081400e-001,3.84281961489198e-001	1.57591455783720e-002,-7.68563922978395e-003
3.27927927927928e+005	2.21940649129643e-001,3.91753004785552e-001	1.55611870174071e-002,-7.83506009571103e-003
3.37837837837838e+005	2.31934950591114e-001,3.98905806085496e-001	1.53613009881777e-002,-7.97811612170992e-003
3.47747747747748e+005	2.42013536478844e-001,4.05742093128939e-001	1.51597292704231e-002,-8.11484186257879e-003
3.57657657657657e+005	2.52164657658369e-001,4.12264084973873e-001	1.49567068468326e-002,-8.24528169947746e-003
3.67567567567567e+005	2.62376922234991e-001,4.18474459996329e-001	1.47524615553002e-002,-8.36948919992657e-003
3.77477477477477e+005	2.72639310299494e-001,4.24376323838981e-001	1.45472137940101e-002,-8.48752647677962e-003
3.87387387387387e+005	2.82941186133237e-001,4.29973177506665e-001	1.43411762773353e-002,-8.59946355013330e-003
3.97297297297297e+005	2.93272307985570e-001,4.35268885789507e-001	1.41345538402886e-002,-8.70537771579015e-003
4.07207207207207e+005	3.03622835546278e-001,4.40267646176574e-001	1.39275432890744e-002,-8.80535292353148e-003
4.17117117117117e+005	3.13983335243329e-001,4.44973958405206e-001	1.37203332951334e-002,-8.89947916810411e-003
4.27027027027027e+005	3.24344783501811e-001,4.49392594773717e-001	1.35131043299638e-002,-8.98785189547433e-003
4.36936936936936e+005	3.34698568103589e-001,4.53528571328095e-001	1.33060286379282e-002,-9.07057142656191e-003
4.46846846846846e+005	3.45036487789225e-001,4.57387120016909e-001	1.30992702442155e-002,-9.14774240033818e-003
4.56756756756756e+005	3.55350750244077e-001,4.60973661892899e-001	1.28929849951185e-002,-9.21947323785797e-003
4.66666666666666e+005	3.65633968609580e-001,4.64293781424916e-001	1.26873206278084e-002,-9.28587562849831e-003
4.76576576576576e+005	3.75879156658461e-001,4.67353201969868e-001	1.24824168668308e-002,-9.34706403939736e-003
4.86486486486486e+005	3.86079722769424e-001,4.70157762441413e-001	1.22784055446115e-002,-9.40315524882825e-003
4.96396396396396e+005	3.96229462832697e-001,4.72713395200147e-001	1.20754107433461e-002,-9.45426790400295e-003
5.06306306306306e+005	4.06322552212920e-001,4.75026105179148e-001	1.18735489557416e-002,-9.50052210358295e-003
5.16216216216216e+005	4.16353536890350e-001,4.77101950248788e-001	1.16729292621930e-002,-9.54203900497575e-003
5.26126126126125e+005	4.26317323895407e-001,4.78947022815921e-001	1.14736535220919e-002,-9.57894045631842e-003
5.36036036036035e+005	4.36209171145205e-001,4.80567432644603e-001	1.12758165770959e-002,-9.61134865289206e-003
5.45945945945945e+005	4.46024676784189e-001,4.81969290878633e-001	1.10795064643162e-002,-9.63938581757267e-003
5.55855855855855e+005	4.55759768124222e-001,4.83158695240176e-001	1.08848046375156e-002,-9.66317390480352e-003
5.65765765765765e+005	4.65410690272736e-001,4.84141716373606e-001	1.06917861945453e-002,-9.68283432747212e-003
5.75675675675675e+005	4.74973994530747e-001,4.84924385299391e-001	1.05005201093851e-002,-9.69848770598782e-003
5.85585585585585e+005	4.84446526635911e-001,4.85512681939284e-001	1.03110694672818e-002,-9.71025363878569e-003
5.95495495495495e+005	4.93825414919202e-001,4.85912524671239e-001	1.01234917016160e-002,-9.71825049342477e-003
6.05405405405405e+005	5.03108058437513e-001,4.86129760870255e-001	9.93783883124974e-003,-9.72259521740509e-003
6.15315315315315e+005	5.12292115138287e-001,4.86170158389745e-001	9.75415769723426e-003,-9.72340316779491e-003
6.25225225225225e+005	5.21375490106499e-001,4.86039397936915e-001	9.57249019787002e-003,-9.72078795873831e-003
6.35135135135135e+005	5.30356323938660e-001,4.85743066295028e-001	9.39287352122681e-003,-9.71486132590055e-003
6.45045045045045e+005	5.39232981283282e-001,4.85286650345228e-001	9.21534037433435e-003,-9.70573300690457e-003
6.54954954954955e+005	5.48004039582248e-001,4.84675531840773e-001	9.03991920835503e-003,-9.69351063681547e-003
6.64864864864865e+005	5.56668278042868e-001,4.83914982886979e-001	8.86663443914265e-003,-9.67829965773959e-003
6.74774774774775e+005	5.65224666866085e-001,4.83010162080989e-001	8.69550666267830e-003,-9.66020324161977e-003
6.84684684684685e+005	5.73672356752268e-001,4.81966111266427e-001	8.52655286495463e-003,-9.63932222532853e-003
6.94594594594594e+005	5.82010668702291e-001,4.80787752859227e-001	8.35978662595419e-003,-9.61575505718453e-003
7.04504504504504e+005	5.90239084128232e-001,4.79479887702233e-001	8.19521831743535e-003,-9.58959775404465e-003
7.14414414414414e+005	5.98357235284904e-001,4.78047193407675e-001	8.03285529430192e-003,-9.56094386815350e-003
7.24324324324324e+005	6.06364896030562e-001,4.76494223148176e-001	7.87270207938877e-003,-9.52988446296352e-003
7.34234234234234e+005	6.14261972922650e-001,4.74825404858596e-001	7.71476054154701e-003,-9.49650809717191e-003
7.44144144144144e+005	6.22048496652069e-001,4.73045040812698e-001	7.55903006695863e-003,-9.46090081625397e-003
7.54054054054054e+005	6.29724613817457e-001,4.71157307540369e-001	7.40550772365087e-003,-9.42314615080738e-003
7.63963963963964e+005	6.37290579039100e-001,4.69166256052800e-001	7.25418841921800e-003,-9.38332512105600e-003
7.73873873873874e+005	6.44746747410504e-001,4.67075812344821e-001	7.10506505178991e-003,-9.34151624689641e-003
7.83783783783784e+005	6.52093567284226e-001,4.64889778145221e-001	6.95812865431548e-003,-9.29779556290441e-003
7.93693693693694e+005	6.59331573387342e-001,4.62611831887598e-001	6.81336853225316e-003,-9.25223663775196e-003
8.03603603603604e+005	6.66461380260871e-001,4.60245529875890e-001	6.67077239478258e-003,-9.20491059751780e-003
8.13513513513514e+005	6.73483676016549e-001,4.57794307620308e-001	6.53032647966903e-003,-9.15588615240617e-003
8.23423423423424e+005	6.80399216403619e-001,4.55261481320950e-001	6.39201567192763e-003,-9.10522962641900e-003
8.33333333333334e+005	6.87208819177645e-001,4.52650249477770e-001	6.25582361644710e-003,-9.05300498955541e-003
8.43243243243244e+005	6.93913358762861e-001,4.49963694607039e-001	6.12173282474277e-003,-8.99927389214079e-003
8.53153153153153e+005	7.00513761199158e-001,4.47204785045688e-001	5.98972477601683e-003,-8.94409570091376e-003
8.63063063063063e+005	7.07010999364504e-001,4.44376376826221e-001	5.85978001270993e-003,-8.88752753652442e-003
8.72972972972973e+005	7.13406088463373e-001,4.41481215606027e-001	5.73187823073255e-003,-8.82962431212055e-003
8.82882882882883e+005	7.19700081771618e-001,4.38521938636025e-001	5.60599836456763e-003,-8.77043877272050e-003
8.92792792792793e+005	7.25894066628139e-001,4.35501076754586e-001	5.48211866743722e-003,-8.71002153509173e-003
9.02702702702703e+005	7.31989160663680e-001,4.32421056393627e-001	5.36021678672639e-003,-8.64842112787254e-003
