Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	5.69498840404325e-002,7.14534575456447e-002	1.88610023191914e-002,-1.42906915091289e-003
1.09909909909910e+005	5.81017937612183e-002,7.84601147902392e-002	1.88379641247756e-002,-1.56920229580478e-003
1.19819819819820e+005	5.93607805844459e-002,8.54458266810257e-002	1.88127843883111e-002,-1.70891653362051e-003
1.29729729729730e+005	6.07263920036553e-002,9.24087520196146e-002	1.87854721599269e-002,-1.84817504039229e-003
1.39639639639640e+005	6.21981380938663e-002,9.93470616975180e-002	1.87560372381227e-002,-1.98694123395036e-003
1.49549549549550e+005	6.37754919065855e-002,1.06258939631876e-001	1.87244901618683e-002,-2.12517879263752e-003
1.59459459459459e+005	6.54578898933443e-002,1.13142583686263e-001	1.86908422021331e-002,-2.26285167372526e-003
1.69369369369369e+005	6.72447323571396e-002,1.19996206575582e-001	1.86551053528572e-002,-2.39992413151163e-003
1.79279279279279e+005	6.91353839311079e-002,1.26818036754065e-001	1.86172923213778e-002,-2.53636073508130e-003
1.89189189189189e+005	7.11291740837303e-002,1.33606319285463e-001	1.85774165183254e-002,-2.67212638570926e-003
1.99099099099099e+005	7.32253976498275e-002,1.40359316694499e-001	1.85354920470035e-002,-2.80718633388997e-003
2.09009009009009e+005	7.54233153865713e-002,1.47075309798727e-001	1.84915336922686e-002,-2.94150619597454e-003
2.18918918918919e+005	7.77221545537085e-002,1.53752598519966e-001	1.84455569089258e-002,-3.07505197039931e-003
2.28828828828829e+005	8.01211095171629e-002,1.60389502674494e-001	1.83975778096567e-002,-3.20779005348987e-003
2.38738738738739e+005	8.26193423751511e-002,1.66984362741267e-001	1.83476131524970e-002,-3.33968725482534e-003
2.48648648648649e+005	8.52159836059249e-002,1.73535540607425e-001	1.82956803278815e-002,-3.47071081214851e-003
2.58558558558559e+005	8.79101327362281e-002,1.80041420290409e-001	1.82417973452754e-002,-3.60082840580817e-003
2.68468468468468e+005	9.07008590295310e-002,1.86500408636054e-001	1.81859828194094e-002,-3.73000817272108e-003
2.78378378378378e+005	9.35872021930915e-002,1.92910935992064e-001	1.81282559561382e-002,-3.85821871984129e-003
2.88288288288288e+005	9.65681731028669e-002,1.99271456856303e-001	1.80686365379427e-002,-3.98542913712605e-003
2.98198198198198e+005	9.96427545452927e-002,2.05580450499392e-001	1.80071449090941e-002,-4.11160900998784e-003
3.08108108108108e+005	1.02809901974922e-001,2.11836421561160e-001	1.79438019605016e-002,-4.23672843122321e-003
