Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	9.82118860424917e-002,1.28069095382065e-001	1.80357622791502e-002,-2.56138190764129e-003
1.09909909909910e+005	1.01978111272363e-001,1.40218221879575e-001	1.79604377745527e-002,-2.80436443759150e-003
1.19819819819820e+005	1.06070106686858e-001,1.52218827106926e-001	1.78785978662628e-002,-3.04437654213851e-003
1.29729729729730e+005	1.10480293831780e-001,1.64059533477505e-001	1.77903941233644e-002,-3.28119066955011e-003
1.39639639639640e+005	1.15200591595195e-001,1.75729438309470e-001	1.76959881680961e-002,-3.51458876618939e-003
1.49549549549550e+005	1.20222453328484e-001,1.87218141162225e-001	1.75955509334303e-002,-3.74436282324449e-003
1.59459459459459e+005	1.25536905094028e-001,1.98515767177201e-001	1.74892618981194e-002,-3.97031534354401e-003
1.69369369369369e+005	1.31134584696662e-001,2.09612986747057e-001	1.73773083060668e-002,-4.19225973494115e-003
1.79279279279279e+005	1.37005781229462e-001,2.20501031722246e-001	1.72598843754108e-002,-4.41002063444492e-003
1.89189189189189e+005	1.43140474890905e-001,2.31171708300458e-001	1.71371905021819e-002,-4.62343416600917e-003
1.99099099099099e+005	1.49528376839809e-001,2.41617406714988e-001	1.70094324632038e-002,-4.83234813429975e-003
2.09009009009009e+005	1.56158968859414e-001,2.51831107829060e-001	1.68768206228117e-002,-5.03662215658120e-003
2.18918918918919e+005	1.63021542607847e-001,2.61806386745896e-001	1.67395691478431e-002,-5.23612773491792e-003
2.28828828828829e+005	1.70105238240590e-001,2.71537413553114e-001	1.65978952351882e-002,-5.43074827106228e-003
2.38738738738739e+005	1.77399082201766e-001,2.81018951331636e-001	1.64520183559647e-002,-5.62037902663271e-003
2.48648648648649e+005	1.84892023994849e-001,2.90246351571424e-001	1.63021595201030e-002,-5.80492703142848e-003
2.58558558558559e+005	1.92572971759182e-001,2.99215547147961e-001	1.61485405648164e-002,-5.98431094295922e-003
2.68468468468468e+005	2.00430826496062e-001,3.07923043023571e-001	1.59913834700788e-002,-6.15846086047142e-003
2.78378378378378e+005	2.08454514806575e-001,3.16365904846128e-001	1.58309097038685e-002,-6.32731809692256e-003
2.88288288288288e+005	2.16633020022375e-001,3.24541745624149e-001	1.56673395995525e-002,-6.49083491248299e-003
2.98198198198198e+005	2.24955411629925e-001,3.32448710661649e-001	1.55008917674015e-002,-6.64897421323299e-003
