Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.75455557303640e-002,7.45340333055583e-002	1.96490888853927e-002,-1.49068066611117e-003
1.09909909909910e+005	1.87245003408785e-002,8.18456007807512e-002	1.96255099931824e-002,-1.63691201561502e-003
1.19819819819820e+005	2.00130965064603e-002,8.91361144718249e-002	1.95997380698708e-002,-1.78272228943650e-003
1.29729729729730e+005	2.14108974519018e-002,9.64037220482594e-002	1.95717820509620e-002,-1.92807444096519e-003
1.39639639639640e+005	2.29174194072987e-002,1.03646582928063e-001	1.95416516118540e-002,-2.07293165856126e-003
1.49549549549550e+005	2.45321419860939e-002,1.10862869189126e-001	1.95093571602781e-002,-2.21725738378252e-003
1.59459459459459e+005	2.62545085905256e-002,1.18050766466542e-001	1.94749098281895e-002,-2.36101532933084e-003
1.69369369369369e+005	2.80839268438975e-002,1.25208474834954e-001	1.94383214631220e-002,-2.50416949669908e-003
1.79279279279279e+005	3.00197690490547e-002,1.32334209675004e-001	1.93996046190189e-002,-2.64668419350008e-003
1.89189189189189e+005	3.20613726724133e-002,1.39426202523007e-001	1.93587725465517e-002,-2.78852405046014e-003
1.99099099099099e+005	3.42080408528603e-002,1.46482701902977e-001	1.93158391829428e-002,-2.92965403805955e-003
2.09009009009009e+005	3.64590429348083e-002,1.53501974140196e-001	1.92708191413038e-002,-3.07003948280393e-003
2.18918918918919e+005	3.88136150246588e-002,1.60482304155514e-001	1.92237276995068e-002,-3.20964608311029e-003
2.28828828828829e+005	4.12709605699031e-002,1.67421996239633e-001	1.91745807886019e-002,-3.34843992479266e-003
2.38738738738739e+005	4.38302509600590e-002,1.74319374806641e-001	1.91233949807988e-002,-3.48638749613282e-003
2.48648648648649e+005	4.64906261486211e-002,1.81172785126110e-001	1.90701874770276e-002,-3.62345570252220e-003
2.58558558558559e+005	4.92511952951773e-002,1.87980594033104e-001	1.90149760940965e-002,-3.75961188066208e-003
2.68468468468468e+005	5.21110374268243e-002,1.94741190615480e-001	1.89577792514635e-002,-3.89482381230961e-003
2.78378378378378e+005	5.50692021179942e-002,2.01452986877906e-001	1.88986159576401e-002,-4.02905973755813e-003
2.88288288288288e+005	5.81247101877913e-002,2.08114418382053e-001	1.88375057962442e-002,-4.16228836764105e-003
2.98198198198198e+005	6.12765544139163e-002,2.14723944862466e-001	1.87744689117217e-002,-4.29447889724931e-003
3.08108108108108e+005	6.45237002622492e-002,2.21280050817655e-001	1.87095259947550e-002,-4.42560101635311e-003
3.18018018018018e+005	6.78650866311443e-002,2.27781246075979e-001	1.86426982673771e-002,-4.55562492151957e-003
3.27927927927928e+005	7.12996266094856e-002,2.34226066335939e-001	1.85740074678103e-002,-4.68452132671879e-003
3.37837837837838e+005	7.48262082475420e-002,2.40613073680566e-001	1.85034758350492e-002,-4.81226147361131e-003
3.47747747747748e+005	7.84436953396543e-002,2.46940857065559e-001	1.84311260932069e-002,-4.93881714131118e-003
3.57657657657657e+005	8.21509282177851e-002,2.53208032780961e-001	1.83569814356443e-002,-5.06416065561922e-003
3.67567567567567e+005	8.59467245549595e-002,2.59413244886117e-001	1.82810655089008e-002,-5.18826489772233e-003
3.77477477477477e+005	8.98298801776223e-002,2.65555165617745e-001	1.82034023964476e-002,-5.31110331235491e-003
3.87387387387387e+005	9.37991698859452e-002,2.71632495770991e-001	1.81240166022811e-002,-5.43264991541982e-003
3.97297297297297e+005	9.78533482811125e-002,2.77643965053335e-001	1.80429330343778e-002,-5.55287930106670e-003
4.07207207207207e+005	1.01991150598627e-001,2.83588332411317e-001	1.79601769880275e-002,-5.67176664822634e-003
4.17117117117117e+005	1.06211293546680e-001,2.89464386330028e-001	1.78757741290664e-002,-5.78928772660057e-003
4.27027027027027e+005	1.10512476148642e-001,2.95270945105393e-001	1.77897504770272e-002,-5.90541890210785e-003
4.36936936936936e+005	1.14893380588733e-001,3.01006857089273e-001	1.77021323882253e-002,-6.02013714178546e-003
4.46846846846846e+005	1.19352673059953e-001,3.06671000907491e-001	1.76129465388009e-002,-6.13342001814981e-003
4.56756756756756e+005	1.23889004613367e-001,3.12262285650866e-001	1.75222199077327e-002,-6.24524571301732e-003
4.66666666666666e+005	1.28501012007835e-001,3.17779651039429e-001	1.74299797598433e-002,-6.35559302078858e-003
4.76576576576576e+005	1.33187318559322e-001,3.23222067559978e-001	1.73362536288136e-002,-6.46444135119957e-003
4.86486486486486e+005	1.37946534988923e-001,3.28588536577200e-001	1.72410693002215e-002,-6.57177073154399e-003
4.96396396396396e+005	1.42777260268750e-001,3.33878090418581e-001	1.71444547946250e-002,-6.67756180837162e-003
5.06306306306306e+005	1.47678082464875e-001,3.39089792433393e-001	1.70464383507025e-002,-6.78179584866786e-003
5.16216216216216e+005	1.52647579576516e-001,3.44222737026031e-001	1.69470484084697e-002,-6.88445474052062e-003
