Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	6.84684364852423e-002,1.99106119780238e-001	1.86306312702952e-002,-3.98212239560476e-003
1.09909909909910e+005	7.69444789796736e-002,2.16966259207698e-001	1.84611104204065e-002,-4.33932518415396e-003
1.19819819819820e+005	8.60712530124655e-002,2.34342147694198e-001	1.82785749397507e-002,-4.68684295388395e-003
1.29729729729730e+005	9.58131700854000e-002,2.51204096404696e-001	1.80837365982920e-002,-5.02408192809393e-003
1.39639639639640e+005	1.06133174965878e-001,2.67525727384100e-001	1.78773365006824e-002,-5.35051454768200e-003
1.49549549549550e+005	1.16993095202318e-001,2.83283972101525e-001	1.76601380959536e-002,-5.66567944203051e-003
1.59459459459459e+005	1.28353972901526e-001,2.98459049312794e-001	1.74329205419695e-002,-5.96918098625588e-003
1.69369369369369e+005	1.40176379694269e-001,3.13034418693991e-001	1.71964724061146e-002,-6.26068837387982e-003
1.79279279279279e+005	1.52420713939200e-001,3.26996709565431e-001	1.69515857212160e-002,-6.53993419130863e-003
1.89189189189189e+005	1.65047478572825e-001,3.40335625727233e-001	1.66990504285435e-002,-6.80671251454465e-003
1.99099099099099e+005	1.78017537961914e-001,3.53043828454997e-001	1.64396492407617e-002,-7.06087656909994e-003
2.09009009009009e+005	1.91292352351069e-001,3.65116800314090e-001	1.61741529529786e-002,-7.30233600628181e-003
2.18918918918919e+005	2.04834188868660e-001,3.76552692785947e-001	1.59033162226268e-002,-7.53105385571893e-003
2.28828828828829e+005	2.18606308476316e-001,3.87352160843417e-001	1.56278738304737e-002,-7.74704321686834e-003
2.38738738738739e+005	2.32573128673501e-001,3.97518187617607e-001	1.53485374265300e-002,-7.95036375235214e-003
2.48648648648649e+005	2.46700362171706e-001,4.07055902202472e-001	1.50659927565659e-002,-8.14111804404945e-003
2.58558558558559e+005	2.60955132115972e-001,4.15972393472692e-001	1.47808973576806e-002,-8.31944786945384e-003
2.68468468468468e+005	2.75306064745626e-001,4.24276522566374e-001	1.44938787050875e-002,-8.48553045132748e-003
2.78378378378378e+005	2.89723360646894e-001,4.31978736424138e-001	1.42055327870621e-002,-8.63957472848275e-003
2.88288288288288e+005	3.04178845956456e-001,4.39090884494514e-001	1.39164230808709e-002,-8.78181768989027e-003
2.98198198198198e+005	3.18646005028572e-001,4.45626040424240e-001	1.36270798994286e-002,-8.91252080848481e-003
3.08108108108108e+005	3.33099996182347e-001,4.51598330260722e-001	1.33380000763531e-002,-9.03196660521444e-003
3.18018018018018e+005	3.47517652204403e-001,4.57022768410478e-001	1.30496469559119e-002,-9.14045536820956e-003
3.27927927927928e+005	3.61877467300965e-001,4.61915102328006e-001	1.27624506539807e-002,-9.23830204656012e-003
