Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.54068127443956e-002,5.88355230059475e-002	1.96918637451121e-002,-1.17671046011895e-003
1.09909909909910e+005	1.61443838226319e-002,6.46362802783690e-002	1.96771123235474e-002,-1.29272560556738e-003
1.19819819819820e+005	1.69513164808432e-002,7.04286006852506e-002	1.96609736703831e-002,-1.40857201370501e-003
1.29729729729730e+005	1.78275347685437e-002,7.62117242213292e-002	1.96434493046291e-002,-1.52423448442658e-003
1.39639639639640e+005	1.87729561293481e-002,8.19848910681445e-002	1.96245408774130e-002,-1.63969782136289e-003
1.49549549549550e+005	1.97874913881084e-002,8.77473416122534e-002	1.96042501722378e-002,-1.75494683224507e-003
1.59459459459459e+005	2.08710447371743e-002,9.34983164640917e-002	1.95825791052565e-002,-1.86996632928183e-003
1.69369369369369e+005	2.20235137218091e-002,9.92370564775286e-002	1.95595297255638e-002,-1.98474112955057e-003
1.79279279279279e+005	2.32447892248004e-002,1.04962802770159e-001	1.95351042155040e-002,-2.09925605540318e-003
1.89189189189189e+005	2.45347554503004e-002,1.10674796744376e-001	1.95093048909940e-002,-2.21349593488752e-003
1.99099099099099e+005	2.58932899069406e-002,1.16372280109265e-001	1.94821342018612e-002,-2.32744560218529e-003
2.09009009009009e+005	2.73202633902629e-002,1.22054494903362e-001	1.94535947321947e-002,-2.44108989806723e-003
2.18918918918919e+005	2.88155399645142e-002,1.27720683518317e-001	1.94236892007097e-002,-2.55441367036634e-003
2.28828828828829e+005	3.03789769438541e-002,1.33370088723497e-001	1.93924204611229e-002,-2.66740177446993e-003
2.38738738738739e+005	3.20104248730288e-002,1.39001953691566e-001	1.93597915025394e-002,-2.78003907383132e-003
2.48648648648649e+005	3.37097275075639e-002,1.44615522025084e-001	1.93258054498487e-002,-2.89231044050168e-003
2.58558558558559e+005	3.54767217935376e-002,1.50210037784149e-001	1.92904655641293e-002,-3.00420075568297e-003
2.68468468468468e+005	3.73112378469916e-002,1.55784745515121e-001	1.92537752430602e-002,-3.11569491030241e-003
2.78378378378378e+005	3.92130989330467e-002,1.61338890280457e-001	1.92157380213391e-002,-3.22677780560914e-003
2.88288288288288e+005	4.11821214447884e-002,1.66871717689685e-001	1.91763575711042e-002,-3.33743435379369e-003
2.98198198198198e+005	4.32181148819933e-002,1.72382473931539e-001	1.91356377023601e-002,-3.44764947863077e-003
3.08108108108108e+005	4.53208818297697e-002,1.77870405807290e-001	1.90935823634046e-002,-3.55740811614580e-003
3.18018018018018e+005	4.74902179371899e-002,1.83334760765286e-001	1.90501956412562e-002,-3.66669521530571e-003
3.27927927927928e+005	4.97259118959937e-002,1.88774786936720e-001	1.90054817620801e-002,-3.77549573873441e-003
3.37837837837838e+005	5.20277454194469e-002,1.94189733172657e-001	1.89594450916111e-002,-3.88379466345315e-003
3.47747747747748e+005	5.43954932214442e-002,1.99578849082313e-001	1.89120901355711e-002,-3.99157698164625e-003
3.57657657657657e+005	5.68289229959456e-002,2.04941385072617e-001	1.88634215400811e-002,-4.09882770145234e-003
3.67567567567567e+005	5.93277953968432e-002,2.10276592389063e-001	1.88134440920631e-002,-4.20553184778126e-003
3.77477477477477e+005	6.18918640183582e-002,2.15583723157842e-001	1.87621627196328e-002,-4.31167446315684e-003
3.87387387387387e+005	6.45208753760716e-002,2.20862030429281e-001	1.87095824924786e-002,-4.41724060858563e-003
3.97297297297297e+005	6.72145688886971e-002,2.26110768222573e-001	1.86557086222261e-002,-4.52221536445145e-003
4.07207207207207e+005	6.99726768607112e-002,2.31329191571794e-001	1.86005464627858e-002,-4.62658383143587e-003
4.17117117117117e+005	7.27949244659561e-002,2.36516556573216e-001	1.85441015106809e-002,-4.73033113146432e-003
4.27027027027027e+005	7.56810297323429e-002,2.41672120433887e-001	1.84863794053531e-002,-4.83344240867774e-003
4.36936936936936e+005	7.86307035277814e-002,2.46795141521469e-001	1.84273859294444e-002,-4.93590283042938e-003
4.46846846846846e+005	8.16436495474749e-002,2.51884879415323e-001	1.83671270090505e-002,-5.03769758830647e-003
4.56756756756756e+005	8.47195643027202e-002,2.56940594958807e-001	1.83056087139456e-002,-5.13881189917613e-003
4.66666666666666e+005	8.78581371113610e-002,2.61961550312760e-001	1.82428372577728e-002,-5.23923100625519e-003
4.76576576576576e+005	9.10590500900552e-002,2.66947009010150e-001	1.81788189981989e-002,-5.33894018020300e-003
4.86486486486486e+005	9.43219781485135e-002,2.71896236011834e-001	1.81135604370297e-002,-5.43792472023668e-003
4.96396396396396e+005	9.76465889858882e-002,2.76808497763391e-001	1.80470682202822e-002,-5.53616995526781e-003
5.06306306306306e+005	1.01032543089490e-001,2.81683062252979e-001	1.79793491382102e-002,-5.63366124505959e-003
5.16216216216216e+005	1.04479493736023e-001,2.86519199070168e-001	1.79104101252795e-002,-5.73038398140336e-003
5.26126126126125e+005	1.07987086995549e-001,2.91316179465664e-001	1.78402582600890e-002,-5.82632358931328e-003
5.36036036036035e+005	1.11554961738381e-001,2.96073276411882e-001	1.77689007652324e-002,-5.92146552823764e-003
5.45945945945945e+005	1.15182749645143e-001,3.00789764664271e-001	1.76963450070971e-002,-6.01579529328542e-003
5.55855855855855e+005	1.18870075220231e-001,3.05464920823314e-001	1.76225984955954e-002,-6.10929841646627e-003
5.65765765765765e+005	1.22616555808933e-001,3.10098023397106e-001	1.75476688838213e-002,-6.20196046794212e-003
5.75675675675675e+005	1.26421801618484e-001,3.14688352864413e-001	1.74715639676303e-002,-6.29376705728827e-003
5.85585585585585e+005	1.30285415743324e-001,3.19235191738094e-001	1.73942916851335e-002,-6.38470383476188e-003
5.95495495495495e+005	1.34206994194906e-001,3.23737824628756e-001	1.73158601161019e-002,-6.47475649257511e-003
6.05405405405405e+005	1.38186125936347e-001,3.28195538308527e-001	1.72362774812731e-002,-6.56391076617054e-003
6.15315315315315e+005	1.42222392922303e-001,3.32607621774780e-001	1.71555521415540e-002,-6.65215243549561e-003
6.25225225225225e+005	1.46315370144442e-001,3.36973366313656e-001	1.70736925971112e-002,-6.73946732627312e-003
6.35135135135135e+005	1.50464625682927e-001,3.41292065563207e-001	1.69907074863415e-002,-6.82584131126414e-003
6.45045045045045e+005	1.54669720764352e-001,3.45563015575977e-001	1.69066055847130e-002,-6.91126031151954e-003
6.54954954954955e+005	1.58930209826619e-001,3.49785514880799e-001	1.68213958034676e-002,-6.99571029761598e-003
6.64864864864865e+005	1.63245640591273e-001,3.53958864543591e-001	1.67350871881745e-002,-7.07917729087183e-003
6.74774774774775e+005	1.67615554143873e-001,3.58082368226899e-001	1.66476889171225e-002,-7.16164736453798e-003
6.84684684684685e+005	1.72039485022999e-001,3.62155332247910e-001	1.65592102995400e-002,-7.24310664495820e-003
6.94594594594594e+005	1.76516961318601e-001,3.66177065634657e-001	1.64696607736280e-002,-7.32354131269314e-003
7.04504504504504e+005	1.81047504780404e-001,3.70146880180064e-001	1.63790499043919e-002,-7.40293760360128e-003
7.14414414414414e+005	1.85630630937202e-001,3.74064090493505e-001	1.62873873812560e-002,-7.48128180987010e-003
7.24324324324324e+005	1.90265849227926e-001,3.77928014049461e-001	1.61946830154415e-002,-7.55856028098923e-003
7.34234234234234e+005	1.94952663145489e-001,3.81737971232871e-001	1.61009467370902e-002,-7.63475942465741e-003
7.44144144144144e+005	1.99690570394479e-001,3.85493285380680e-001	1.60061885921104e-002,-7.70986570761360e-003
7.54054054054054e+005	2.04479063063933e-001,3.89193282819095e-001	1.59104187387213e-002,-7.78386565638190e-003
7.63963963963964e+005	2.09317627816529e-001,3.92837292895945e-001	1.58136474436694e-002,-7.85674585791890e-003
7.73873873873874e+005	2.14205746095697e-001,3.96424648007531e-001	1.57158850780861e-002,-7.92849296015063e-003
7.83783783783784e+005	2.19142894352324e-001,3.99954683619255e-001	1.56171421129535e-002,-7.99909367238509e-003
7.93693693693694e+005	2.24128544292930e-001,4.03426738279240e-001	1.55174291141414e-002,-8.06853476558479e-003
8.03603603603604e+005	2.29162163151423e-001,4.06840153624081e-001	1.54167567369715e-002,-8.13680307248161e-003
8.13513513513514e+005	2.34243213986791e-001,4.10194274375736e-001	1.53151357202642e-002,-8.20388548751472e-003
8.23423423423424e+005	2.39371156009411e-001,4.13488448328479e-001	1.52125768798118e-002,-8.26976896656957e-003
8.33333333333334e+005	2.44545444939003e-001,4.16722026324672e-001	1.51090911012199e-002,-8.33444052649344e-003
8.43243243243244e+005	2.49765533397626e-001,4.19894362217990e-001	1.50046893320475e-002,-8.39788724435981e-003
8.53153153153153e+005	2.55030871341653e-001,4.23004812822518e-001	1.48993825731669e-002,-8.46009625645035e-003
8.63063063063063e+005	2.60340906537120e-001,4.26052737845951e-001	1.47931818692576e-002,-8.52105475691901e-003
8.72972972972973e+005	2.65695085083557e-001,4.29037499804888e-001	1.46860982983289e-002,-8.58074999609776e-003
8.82882882882883e+005	2.71092851992103e-001,4.31958463919903e-001	1.45781429601579e-002,-8.63916927839807e-003
8.92792792792793e+005	2.76533651824583e-001,4.34814997987755e-001	1.44693269635083e-002,-8.69629995975510e-003
9.02702702702703e+005	2.82016929401274e-001,4.37606472227706e-001	1.43596614119745e-002,-8.75212944455413e-003
9.12612612612613e+005	2.87542130586263e-001,4.40332259098446e-001	1.42491573882747e-002,-8.80664518196892e-003
9.22522522522523e+005	2.93108703160735e-001,4.42991733081553e-001	1.41378259367853e-002,-8.85983466163107e-003
9.32432432432433e+005	2.98716097796223e-001,4.45584270426786e-001	1.40256780440755e-002,-8.91168540853573e-003
9.42342342342343e+005	3.04363769141879e-001,4.48109248853680e-001	1.39127246171624e-002,-8.96218497707360e-003
9.52252252252253e+005	3.10051177042203e-001,4.50566047202987e-001	1.37989764591559e-002,-9.01132094405975e-003
9.62162162162163e+005	3.15777787904585e-001,4.52954045030352e-001	1.36844442419083e-002,-9.05908090060704e-003
9.72072072072073e+005	3.21543076239482e-001,4.55272622133189e-001	1.35691384752104e-002,-9.10545244266378e-003
9.81981981981983e+005	3.27346526400262e-001,4.57521158000075e-001	1.34530694719948e-002,-9.15042316000150e-003
9.91891891891893e+005	3.33187634554848e-001,4.59699031169839e-001	1.33362473089030e-002,-9.19398062339677e-003
1.00180180180180e+006	3.39065910927540e-001,4.61805618484997e-001	1.32186817814492e-002,-9.23611236969993e-003
1.01171171171171e+006	3.44980882357020e-001,4.63840294220997e-001	1.31003823528596e-002,-9.27680588441995e-003
1.02162162162162e+006	3.50932095225940e-001,4.65802429068782e-001	1.29813580954812e-002,-9.31604858137564e-003
1.03153153153153e+006	3.56919118829152e-001,4.67691388943231e-001	1.28616176234170e-002,-9.35382777886462e-003
1.04144144144144e+006	3.62941549262083e-001,4.69506533583826e-001	1.27411690147583e-002,-9.39013067167651e-003
1.05135135135135e+006	3.68999013928900e-001,4.71247214905967e-001	1.26200197214220e-002,-9.42494429811934e-003
1.06126126126126e+006	3.75091176792882e-001,4.72912775051295e-001	1.24981764641424e-002,-9.45825550102591e-003
1.07117117117117e+006	3.81217744520311e-001,4.74502544072424e-001	1.23756451095938e-002,-9.49005088144847e-003
1.08108108108108e+006	3.87378473705945e-001,4.76015837170700e-001	1.22524305258811e-002,-9.52031674341400e-003
1.09099099099099e+006	3.93573179415413e-001,4.77451951383743e-001	1.21285364116917e-002,-9.54903902767487e-003
1.10090090090090e+006	3.99801745340883e-001,4.78810161590683e-001	1.20039650931823e-002,-9.57620323181366e-003
1.11081081081081e+006	4.06064135945908e-001,4.80089715664809e-001	1.18787172810818e-002,-9.60179431329618e-003
1.12072072072072e+006	4.12360411079855e-001,4.81289828552110e-001	1.17527917784029e-002,-9.62579657104220e-003
1.13063063063063e+006	4.18690743680731e-001,4.82409674984856e-001	1.16261851263854e-002,-9.64819349969711e-003
1.14054054054054e+006	4.25055441370378e-001,4.83448380444595e-001	1.14988911725924e-002,-9.66896760889191e-003
1.15045045045045e+006	4.31454972996072e-001,4.84405009857823e-001	1.13709005400786e-002,-9.68810019715647e-003
1.16036036036036e+006	4.37890001513865e-001,4.85278553324020e-001	1.12421999697227e-002,-9.70557106648040e-003
1.17027027027027e+006	4.44361425080204e-001,4.86067907915455e-001	1.11127714983959e-002,-9.72135815830909e-003
1.18018018018018e+006	4.50870428876855e-001,4.86771854213717e-001	1.09825914224629e-002,-9.73543708427434e-003
1.19009009009009e+006	4.57418551126442e-001,4.87389025701182e-001	1.08516289774712e-002,-9.74778051402364e-003
1.20000000000000e+006	4.64007768094800e-001,4.87917868313925e-001	1.07198446381040e-002,-9.75835736627850e-003
1.20990990990991e+006	4.70640604828896e-001,4.88356586235810e-001	1.05871879034221e-002,-9.76713172471620e-003
1.21981981981982e+006	4.77320281274396e-001,4.88703068122538e-001	1.04535943745121e-002,-9.77406136245077e-003
1.22972972972973e+006	4.84050907789445e-001,4.88954784966250e-001	1.03189818442111e-002,-9.77909569932500e-003
1.23963963963964e+006	4.90837750807290e-001,4.89108646007457e-001	1.01832449838542e-002,-9.78217292014913e-003
1.24954954954955e+006	4.97687600007742e-001,4.89160791144719e-001	1.00462479998452e-002,-9.78321582289437e-003
1.25945945945946e+006	5.04609285469547e-001,4.89106284718470e-001	9.90781429060907e-003,-9.78212569436939e-003
1.26936936936937e+006	5.11614421628963e-001,4.88938651602537e-001	9.76771156742074e-003,-9.77877303205074e-003
1.27927927927928e+006	5.18718503262301e-001,4.88649152676107e-001	9.62562993475399e-003,-9.77298305352213e-003
1.28918918918919e+006	5.25942564067290e-001,4.88225612842775e-001	9.48114871865420e-003,-9.76451225685550e-003
1.29909909909910e+006	5.33315764559610e-001,4.87650445996468e-001	9.33368470880780e-003,-9.75300891992936e-003
1.30900900900901e+006	5.40879573241864e-001,4.86897161346007e-001	9.18240853516272e-003,-9.73794322692013e-003
