Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.57806123363176e-002,1.42189146640680e-001	1.90843877532736e-002,-2.84378293281360e-003
1.09909909909910e+005	5.01297709156642e-002,1.55657047729607e-001	1.89974045816867e-002,-3.11314095459214e-003
1.19819819819820e+005	5.48559588148210e-002,1.68953652237086e-001	1.89028808237036e-002,-3.37907304474172e-003
1.29729729729730e+005	5.99505151851162e-002,1.82065764180689e-001	1.88009896962977e-002,-3.64131528361378e-003
1.39639639639640e+005	6.54042104714775e-002,1.94980727773105e-001	1.86919157905704e-002,-3.89961455546211e-003
1.49549549549550e+005	7.12072861476305e-002,2.07686455803310e-001	1.85758542770474e-002,-4.15372911606620e-003
1.59459459459459e+005	7.73494959326707e-002,2.20171454695829e-001	1.84530100813466e-002,-4.40342909391658e-003
1.69369369369369e+005	8.38201481819903e-002,2.32424846181802e-001	1.83235970363602e-002,-4.64849692363603e-003
1.79279279279279e+005	9.06081491451682e-002,2.44436385547236e-001	1.81878370170966e-002,-4.88872771094471e-003
1.89189189189189e+005	9.77020467868708e-002,2.56196476454482e-001	1.80459590642626e-002,-5.12392952908964e-003
1.99099099099099e+005	1.05090074873623e-001,2.67696182362214e-001	1.78981985025275e-002,-5.35392364724428e-003
2.09009009009009e+005	1.12760197039126e-001,2.78927234596823e-001	1.77447960592175e-002,-5.57854469193645e-003
2.18918918918919e+005	1.20700150553302e-001,2.89882037153827e-001	1.75859969889340e-002,-5.79764074307655e-003
2.28828828828829e+005	1.28897489535074e-001,3.00553668331498e-001	1.74220502092985e-002,-6.01107336662995e-003
2.38738738738739e+005	1.37339627365736e-001,3.10935879320090e-001	1.72532074526853e-002,-6.21871758640180e-003
2.48648648648649e+005	1.46013878078259e-001,3.21023089888938e-001	1.70797224384348e-002,-6.42046179777877e-003
2.58558558558559e+005	1.54907496517667e-001,3.30810381329841e-001	1.69018500696467e-002,-6.61620762659681e-003
2.68468468468468e+005	1.64007717088399e-001,3.40293486828857e-001	1.67198456582320e-002,-6.80586973657713e-003
2.78378378378378e+005	1.73301790925967e-001,3.49468779449664e-001	1.65339641814807e-002,-6.98937558899328e-003
2.88288288288288e+005	1.82777021351937e-001,3.58333257920113e-001	1.63444595729613e-002,-7.16666515840227e-003
2.98198198198198e+005	1.92420797493001e-001,3.66884530419616e-001	1.61515840501400e-002,-7.33769060839232e-003
3.08108108108108e+005	2.02220625966408e-001,3.75120796568620e-001	1.59555874806718e-002,-7.50241593137240e-003
3.18018018018018e+005	2.12164160554987e-001,3.83040827822785e-001	1.57567167889003e-002,-7.66081655645570e-003
3.27927927927928e+005	2.22239229815284e-001,3.90643946473752e-001	1.55552154036943e-002,-7.81287892947503e-003
3.37837837837838e+005	2.32433862581684e-001,3.97930003455754e-001	1.53513227483663e-002,-7.95860006911508e-003
3.47747747747748e+005	2.42736311347664e-001,4.04899355152920e-001	1.51452737730467e-002,-8.09798710305841e-003
3.57657657657657e+005	2.53135073522423e-001,4.11552839396229e-001	1.49372985295516e-002,-8.23105678792458e-003
3.67567567567567e+005	2.63618910576905e-001,4.17891750831792e-001	1.47276217884619e-002,-8.35783501663585e-003
3.77477477477477e+005	2.74176865107649e-001,4.23917815833773e-001	1.45164626978470e-002,-8.47835631667546e-003
3.87387387387387e+005	2.84798275859873e-001,4.29633167125887e-001	1.43040344828025e-002,-8.59266334251775e-003
3.97297297297297e+005	2.95472790762747e-001,4.35040318265377e-001	1.40905441847451e-002,-8.70080636530753e-003
4.07207207207207e+005	3.06190378039922e-001,4.40142138132668e-001	1.38761924392016e-002,-8.80284276265336e-003
4.17117117117117e+005	3.16941335467033e-001,4.44941825558907e-001	1.36611732906593e-002,-8.89883651117814e-003
4.27027027027027e+005	3.27716297855218e-001,4.49442884212257e-001	1.34456740428956e-002,-8.98885768424514e-003
4.36936936936936e+005	3.38506242845616e-001,4.53649097852494e-001	1.32298751430877e-002,-9.07298195704987e-003
4.46846846846846e+005	3.49302495104546e-001,4.57564506052098e-001	1.30139500979091e-002,-9.15129012104197e-003
4.56756756756756e+005	3.60096729012515e-001,4.61193380470880e-001	1.27980654197497e-002,-9.22386760941760e-003
4.66666666666666e+005	3.70880969942623e-001,4.64540201760255e-001	1.25823806011475e-002,-9.29080403520511e-003
4.76576576576576e+005	3.81647594225284e-001,4.67609637162767e-001	1.23670481154943e-002,-9.35219274325533e-003
4.86486486486486e+005	3.92389327896588e-001,4.70406518862273e-001	1.21522134420683e-002,-9.40813037724545e-003
4.96396396396396e+005	4.03099244327252e-001,4.72935823130619e-001	1.19380151134550e-002,-9.45871646261239e-003
5.06306306306306e+005	4.13770760827885e-001,4.75202650307460e-001	1.17245847834423e-002,-9.50405300614919e-003
5.16216216216216e+005	4.24397634324516e-001,4.77212205641349e-001	1.15120473135097e-002,-9.54424411282697e-003
5.26126126126125e+005	4.34973956195910e-001,4.78969781012282e-001	1.13005208760818e-002,-9.57939562024563e-003
5.36036036036035e+005	4.45494146361295e-001,4.80480737548460e-001	1.10901170727741e-002,-9.60961475096920e-003
5.45945945945945e+005	4.55952946703892e-001,4.81750489143336e-001	1.08809410659222e-002,-9.63500978286672e-003
5.55855855855855e+005	4.66345413911941e-001,4.82784486872822e-001	1.06730917217612e-002,-9.65568973745644e-003
5.65765765765765e+005	4.76666911815099e-001,4.83588204306992e-001	1.04666617636980e-002,-9.67176408613984e-003
5.75675675675675e+005	4.86913103289984e-001,4.84167123705632e-001	1.02617379342003e-002,-9.68334247411263e-003
5.85585585585585e+005	4.97079941804436e-001,4.84526723082561e-001	1.00584011639113e-002,-9.69053446165123e-003
5.95495495495495e+005	5.07163662665771e-001,4.84672464119773e-001	9.85672674668458e-003,-9.69344928239547e-003
6.05405405405405e+005	5.17160774033993e-001,4.84609780909035e-001	9.65678451932014e-003,-9.69219561818070e-003
6.15315315315315e+005	5.27068047756599e-001,4.84344069495705e-001	9.45863904486803e-003,-9.68688138991410e-003
6.25225225225225e+005	5.36882510077359e-001,4.83880678197041e-001	9.26234979845282e-003,-9.67761356394082e-003
6.35135135135135e+005	5.46601432267246e-001,4.83224898665219e-001	9.06797135465508e-003,-9.66449797330438e-003
6.45045045045045e+005	5.56222321221615e-001,4.82381957663600e-001	8.87555357556769e-003,-9.64763915327201e-003
6.54954954954955e+005	5.65742910063770e-001,4.81357009523460e-001	8.68514179872460e-003,-9.62714019046919e-003
6.64864864864865e+005	5.75161148791239e-001,4.80155129247333e-001	8.49677702417523e-003,-9.60310258494665e-003
6.74774774774775e+005	5.84475194997421e-001,4.78781306224402e-001	8.31049610005157e-003,-9.57562612448803e-003
6.84684684684685e+005	5.93683404697809e-001,4.77240438522825e-001	8.12633190604382e-003,-9.54480877045650e-003
6.94594594594594e+005	6.02784323286633e-001,4.75537327723599e-001	7.94431353426734e-003,-9.51074655447197e-003
7.04504504504504e+005	6.11776676646723e-001,4.73676674260431e-001	7.76446646706553e-003,-9.47353348520863e-003
7.14414414414414e+005	6.20659362432389e-001,4.71663073230126e-001	7.58681275135223e-003,-9.43326146460251e-003
7.24324324324324e+005	6.29431441542395e-001,4.69501010638119e-001	7.41137116915211e-003,-9.39002021276237e-003
7.34234234234234e+005	6.38092129797556e-001,4.67194860044061e-001	7.23815740404888e-003,-9.34389720088122e-003
7.44144144144144e+005	6.46640789835068e-001,4.64748879572634e-001	7.06718420329865e-003,-9.29497759145268e-003
7.54054054054054e+005	6.55076923229501e-001,4.62167209255151e-001	6.89846153540998e-003,-9.24334418510302e-003
7.63963963963964e+005	6.63400162848355e-001,4.59453868667842e-001	6.73199674303290e-003,-9.18907737335684e-003
7.73873873873874e+005	6.71610265448182e-001,4.56612754833099e-001	6.56779469103637e-003,-9.13225509666198e-003
7.83783783783784e+005	6.79707104515591e-001,4.53647640350269e-001	6.40585790968818e-003,-9.07295280700537e-003
