Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.66664892116845e-002,6.84858749246842e-002	1.96666702157663e-002,-1.36971749849368e-003
1.09909909909910e+005	1.76648724539804e-002,7.52217243559957e-002	1.96467025509204e-002,-1.50443448711991e-003
1.19819819819820e+005	1.87567609965171e-002,8.19431412708434e-002	1.96248647800697e-002,-1.63886282541687e-003
1.29729729729730e+005	1.99419489352103e-002,8.86488355999492e-002	1.96011610212958e-002,-1.77297671199898e-003
1.39639639639640e+005	2.12202127685355e-002,9.53375201764109e-002	1.95755957446293e-002,-1.90675040352822e-003
1.49549549549550e+005	2.25913114392997e-002,1.02007910974689e-001	1.95481737712140e-002,-2.04015821949378e-003
1.59459459459459e+005	2.40549863798765e-002,1.08658727349316e-001	1.95189002724025e-002,-2.17317454698632e-003
1.69369369369369e+005	2.56109615609424e-002,1.15288692273296e-001	1.94877807687812e-002,-2.30577384546592e-003
1.79279279279279e+005	2.72589435437457e-002,1.21896532576166e-001	1.94548211291251e-002,-2.43793065152332e-003
1.89189189189189e+005	2.89986215359490e-002,1.28480979181675e-001	1.94200275692810e-002,-2.56961958363349e-003
1.99099099099099e+005	3.08296674510821e-002,1.35040767345049e-001	1.93834066509784e-002,-2.70081534690099e-003
2.09009009009009e+005	3.27517359716513e-002,1.41574636889811e-001	1.93449652805670e-002,-2.83149273779622e-003
2.18918918918919e+005	3.47644646159444e-002,1.48081332444085e-001	1.93047107076811e-002,-2.96162664888169e-003
2.28828828828829e+005	3.68674738085819e-002,1.54559603676370e-001	1.92626505238284e-002,-3.09119207352741e-003
2.38738738738739e+005	3.90603669548595e-002,1.61008205530722e-001	1.92187926609028e-002,-3.22016411061443e-003
2.48648648648649e+005	4.13427305189331e-002,1.67425898461277e-001	1.91731453896213e-002,-3.34851796922554e-003
2.58558558558559e+005	4.37141341058985e-002,1.73811448666094e-001	1.91257173178820e-002,-3.47622897332188e-003
2.68468468468468e+005	4.61741305478188e-002,1.80163628320224e-001	1.90765173890436e-002,-3.60327256640448e-003
2.78378378378378e+005	4.87222559937555e-002,1.86481215807968e-001	1.90255548801249e-002,-3.72962431615935e-003
2.88288288288288e+005	5.13580300038609e-002,1.92762995954242e-001	1.89728393999228e-002,-3.85525991908484e-003
2.98198198198198e+005	5.40809556475909e-002,1.99007760254995e-001	1.89183808870482e-002,-3.98015520509991e-003
3.08108108108108e+005	5.68905196060988e-002,2.05214307106590e-001	1.88621896078780e-002,-4.10428614213180e-003
3.18018018018018e+005	5.97861922788735e-002,2.11381442034080e-001	1.88042761544225e-002,-4.22762884068160e-003
3.27927927927928e+005	6.27674278946863e-002,2.17507977918298e-001	1.87446514421063e-002,-4.35015955836596e-003
3.37837837837838e+005	6.58336646269121e-002,2.23592735221670e-001	1.86833267074618e-002,-4.47185470443340e-003
3.47747747747748e+005	6.89843247132940e-002,2.29634542212662e-001	1.86203135057341e-002,-4.59269084425324e-003
3.57657657657657e+005	7.22188145802204e-002,2.35632235188765e-001	1.85556237083956e-002,-4.71264470377531e-003
3.67567567567567e+005	7.55365249715859e-002,2.41584658697920e-001	1.84892695005683e-002,-4.83169317395840e-003
3.77477477477477e+005	7.89368310823116e-002,2.47490665758271e-001	1.84212633783538e-002,-4.94981331516543e-003
3.87387387387387e+005	8.24190926965978e-002,2.53349118076148e-001	1.83516181460681e-002,-5.06698236152296e-003
3.97297297297297e+005	8.59826543309883e-002,2.59158886262145e-001	1.82803469133802e-002,-5.18317772524291e-003
4.07207207207207e+005	8.96268453823270e-002,2.64918850045193e-001	1.82074630923535e-002,-5.29837700090385e-003
4.17117117117117e+005	9.33509802806866e-002,2.70627898484478e-001	1.81329803943863e-002,-5.41255796968955e-003
4.27027027027027e+005	9.71543586473576e-002,2.76284930179093e-001	1.80569128270528e-002,-5.52569860358186e-003
4.36936936936936e+005	1.01036265457981e-001,2.81888853475268e-001	1.79792746908404e-002,-5.63777706950537e-003
4.46846846846846e+005	1.04995971210922e-001,2.87438586671035e-001	1.79000805757816e-002,-5.74877173342069e-003
4.56756756756756e+005	1.09032732100969e-001,2.92933058218178e-001	1.78193453579806e-002,-5.85866116436355e-003
4.66666666666666e+005	1.13145790198464e-001,2.98371206921312e-001	1.77370841960307e-002,-5.96742413842624e-003
4.76576576576576e+005	1.17334373633965e-001,3.03751982133912e-001	1.76533125273207e-002,-6.07503964267825e-003
4.86486486486486e+005	1.21597696788539e-001,3.09074343951126e-001	1.75680460642292e-002,-6.18148687902252e-003
4.96396396396396e+005	1.25934960489808e-001,3.14337263399183e-001	1.74813007902038e-002,-6.28674526798366e-003
5.06306306306306e+005	1.30345352213852e-001,3.19539722621212e-001	1.73930929557230e-002,-6.39079445242424e-003
5.16216216216216e+005	1.34828046293105e-001,3.24680715059262e-001	1.73034390741379e-002,-6.49361430118524e-003
5.26126126126125e+005	1.39382204130364e-001,3.29759245632316e-001	1.72123559173927e-002,-6.59518491264632e-003
5.36036036036035e+005	1.44006974419049e-001,3.34774330910082e-001	1.71198605116190e-002,-6.69548661820165e-003
5.45945945945945e+005	1.48701493369872e-001,3.39724999282325e-001	1.70259701326026e-002,-6.79449998564650e-003
5.55855855855855e+005	1.53464884944049e-001,3.44610291123496e-001	1.69307023011190e-002,-6.89220582246992e-003
5.65765765765765e+005	1.58296261093249e-001,3.49429258952411e-001	1.68340747781350e-002,-6.98858517904822e-003
5.75675675675675e+005	1.63194722006443e-001,3.54180967586702e-001	1.67361055598711e-002,-7.08361935173403e-003
5.85585585585585e+005	1.68159356363841e-001,3.58864494291761e-001	1.66368128727232e-002,-7.17728988583521e-003
5.95495495495495e+005	1.73189241598158e-001,3.63478928923885e-001	1.65362151680368e-002,-7.26957857847770e-003
6.05405405405405e+005	1.78283444163394e-001,3.68023374067299e-001	1.64343311167321e-002,-7.36046748134598e-003
6.15315315315315e+005	1.83441019811416e-001,3.72496945164723e-001	1.63311796037717e-002,-7.44993890329447e-003
6.25225225225225e+005	1.88661013876592e-001,3.76898770641146e-001	1.62267797224682e-002,-7.53797541282291e-003
6.35135135135135e+005	1.93942461568772e-001,3.81227992020408e-001	1.61211507686246e-002,-7.62455984040816e-003
6.45045045045045e+005	1.99284388274963e-001,3.85483764034225e-001	1.60143122345007e-002,-7.70967528068449e-003
6.54954954954955e+005	2.04685809870039e-001,3.89665254723195e-001	1.59062838025992e-002,-7.79330509446390e-003
6.64864864864865e+005	2.10145733036895e-001,3.93771645529369e-001	1.57970853392621e-002,-7.87543291058738e-003
6.74774774774775e+005	2.15663155596478e-001,3.97802131379876e-001	1.56867368880704e-002,-7.95604262759751e-003
6.84684684684685e+005	2.21237066848192e-001,4.01755920761096e-001	1.55752586630362e-002,-8.03511841522191e-003
6.94594594594594e+005	2.26866447921225e-001,4.05632235782819e-001	1.54626710415755e-002,-8.11264471565638e-003
7.04504504504504e+005	2.32550272137387e-001,4.09430312231785e-001	1.53489945572523e-002,-8.18860624463570e-003
7.14414414414414e+005	2.38287505386157e-001,4.13149399613951e-001	1.52342498922769e-002,-8.26298799227903e-003
7.24324324324324e+005	2.44077106512692e-001,4.16788761184783e-001	1.51184578697462e-002,-8.33577522369567e-003
7.34234234234234e+005	2.49918027719642e-001,4.20347673966797e-001	1.50016394456072e-002,-8.40695347933594e-003
7.44144144144144e+005	2.55809214983738e-001,4.23825428753508e-001	1.48838157003252e-002,-8.47650857507015e-003
7.54054054054054e+005	2.61749608488228e-001,4.27221330098872e-001	1.47650078302354e-002,-8.54442660197745e-003
7.63963963963964e+005	2.67738143072365e-001,4.30534696291205e-001	1.46452371385527e-002,-8.61069392582410e-003
7.73873873873874e+005	2.73773748699343e-001,4.33764859310461e-001	1.45245250260131e-002,-8.67529718620923e-003
7.83783783783784e+005	2.79855350944204e-001,4.36911164767647e-001	1.44028929811159e-002,-8.73822329535293e-003
7.93693693693694e+005	2.85981871503504e-001,4.39972971824997e-001	1.42803625699299e-002,-8.79945943649995e-003
8.03603603603604e+005	2.92152228728729e-001,4.42949653095397e-001	1.41569554254254e-002,-8.85899306190794e-003
8.13513513513514e+005	2.98365338185735e-001,4.45840594519342e-001	1.40326932362853e-002,-8.91681189038683e-003
8.23423423423424e+005	3.04620113242819e-001,4.48645195217541e-001	1.39075977351436e-002,-8.97290390435081e-003
8.33333333333334e+005	3.10915465690387e-001,4.51362867317015e-001	1.37816906861923e-002,-9.02725734634031e-003
8.43243243243244e+005	3.17250306395616e-001,4.53993035748279e-001	1.36549938720877e-002,-9.07986071496558e-003
8.53153153153153e+005	3.23623545996023e-001,4.56535138010851e-001	1.35275290800795e-002,-9.13070276021702e-003
8.63063063063063e+005	3.30034095636414e-001,4.58988623904006e-001	1.33993180872717e-002,-9.17977247808012e-003
8.72972972972973e+005	3.36480867754397e-001,4.61352955219189e-001	1.32703826449121e-002,-9.22705910438379e-003
8.82882882882883e+005	3.42962776920435e-001,4.63627605390045e-001	1.31407444615913e-002,-9.27255210780091e-003
8.92792792792793e+005	3.49478740739359e-001,4.65812059095371e-001	1.30104251852128e-002,-9.31624118190743e-003
9.02702702702703e+005	3.56027680821378e-001,4.67905811809610e-001	1.28794463835724e-002,-9.35811623619220e-003
9.12612612612613e+005	3.62608523831960e-001,4.69908369294623e-001	1.27478295233608e-002,-9.39816738589245e-003
9.22522522522523e+005	3.69220202631495e-001,4.71819247025484e-001	1.26155959473701e-002,-9.43638494050968e-003
9.32432432432433e+005	3.75861657517568e-001,4.73637969541805e-001	1.24827668496486e-002,-9.47275939083610e-003
9.42342342342343e+005	3.82531837584850e-001,4.75364069714639e-001	1.23493632483030e-002,-9.50728139429278e-003
9.52252252252253e+005	3.89229702220358e-001,4.76997087917260e-001	1.22154059555928e-002,-9.53994175834520e-003
9.62162162162163e+005	3.95954222755014e-001,4.78536571085955e-001	1.20809155448997e-002,-9.57073142171910e-003
9.72072072072073e+005	4.02704384296397e-001,4.79982071654387e-001	1.19459123140721e-002,-9.59964143308774e-003
9.81981981981983e+005	4.09479187772284e-001,4.81333146341891e-001	1.18104162445543e-002,-9.62666292683782e-003
9.91891891891893e+005	4.16277652220418e-001,4.82589354772167e-001	1.16744469555916e-002,-9.65178709544335e-003
1.00180180180180e+006	4.23098817367010e-001,4.83750257894001e-001	1.15380236526598e-002,-9.67500515788002e-003
1.01171171171171e+006	4.29941746545265e-001,4.84815416169659e-001	1.14011650690947e-002,-9.69630832339318e-003
1.02162162162162e+006	4.36805530016030e-001,4.85784387489121e-001	1.12638893996794e-002,-9.71568774978242e-003
1.03153153153153e+006	4.43689288766158e-001,4.86656724758907e-001	1.11262142246768e-002,-9.73313449517814e-003
1.04144144144144e+006	4.50592178877043e-001,4.87431973102393e-001	1.09881564224591e-002,-9.74863946204785e-003
1.05135135135135e+006	4.57513396577025e-001,4.88109666593372e-001	1.08497320684595e-002,-9.76219333186744e-003
1.06126126126126e+006	4.64452184118232e-001,4.88689324425293e-001	1.07109563176354e-002,-9.77378648850586e-003
1.07117117117117e+006	4.71407836652756e-001,4.89170446393572e-001	1.05718432669449e-002,-9.78340892787144e-003
1.08108108108108e+006	4.78379710326990e-001,4.89552507535936e-001	1.04324057934602e-002,-9.79105015071871e-003
1.09099099099099e+006	4.85367231869924e-001,4.89834951733099e-001	1.02926553626015e-002,-9.79669903466199e-003
1.10090090090090e+006	4.92369910025274e-001,4.90017184015773e-001	1.01526017994945e-002,-9.80034368031546e-003
1.11081081081081e+006	4.99387349274717e-001,4.90098561248750e-001	1.00122530145057e-002,-9.80197122497501e-003
1.12072072072072e+006	5.06419266428521e-001,4.90078380761464e-001	9.87161467142958e-003,-9.80156761522928e-003
1.13063063063063e+006	5.13465510832468e-001,4.89955866356263e-001	9.73068978335064e-003,-9.79911732712525e-003
1.14054054054054e+006	5.20526089173000e-001,4.89730150935399e-001	9.58947821654000e-003,-9.79460301870798e-003
1.15045045045045e+006	5.27601196180714e-001,4.89400254722399e-001	9.44797607638571e-003,-9.78800509444797e-003
1.16036036036036e+006	5.34691252971557e-001,4.88965057678713e-001	9.30617494056887e-003,-9.77930115357425e-003
1.17027027027027e+006	5.41796955378799e-001,4.88423264179639e-001	9.16406089242402e-003,-9.76846528359278e-003
1.18018018018018e+006	5.48919335497901e-001,4.87773357232570e-001	9.02161329004197e-003,-9.75546714465141e-003
1.19009009009009e+006	5.56059840914062e-001,4.87013538365771e-001	8.87880318171877e-003,-9.74027076731543e-003
1.20000000000000e+006	5.63220437901560e-001,4.86141647576978e-001	8.73559124196880e-003,-9.72283295153957e-003
1.20990990990991e+006	5.70403747580862e-001,4.85155055060361e-001	8.59192504838276e-003,-9.70310110120721e-003
1.21981981981982e+006	5.77613228090105e-001,4.84050512237949e-001	8.44773543819789e-003,-9.68101024475898e-003
1.22972972972973e+006	5.84853422093985e-001,4.82823942879455e-001	8.30293155812031e-003,-9.65647885758909e-003
1.23963963963964e+006	5.92130298809308e-001,4.81470143955804e-001	8.15739402381383e-003,-9.62940287911608e-003
1.24954954954955e+006	5.99451735598719e-001,4.79982346905631e-001	8.01096528802562e-003,-9.59964693811263e-003
1.25945945945946e+006	6.06828210411466e-001,4.78351556578860e-001	7.86343579177067e-003,-9.56703113157720e-003
1.26936936936937e+006	6.14273820923853e-001,4.76565523916721e-001	7.71452358152294e-003,-9.53131047833442e-003
1.27927927927928e+006	6.21807824319951e-001,4.74607091198436e-001	7.56384351360098e-003,-9.49214182396873e-003
1.28918918918919e+006	6.29457032899210e-001,4.72451412177034e-001	7.41085934201580e-003,-9.44902824354067e-003
1.29909909909910e+006	6.37259664390370e-001,4.70061042190316e-001	7.25480671219261e-003,-9.40122084380632e-003
1.30900900900901e+006	6.45271750809429e-001,4.67376723058224e-001	7.09456498381142e-003,-9.34753446116448e-003
1.31891891891892e+006	6.53578177277072e-001,4.64298737321347e-001	6.92843645445856e-003,-9.28597474642694e-003
1.32882882882883e+006	6.62312098212489e-001,4.60645408450842e-001	6.75375803575023e-003,-9.21290816901684e-003
1.33873873873874e+006	6.71687510820793e-001,4.56048560206574e-001	6.56624978358414e-003,-9.12097120413148e-003
1.34864864864865e+006	6.82029261669056e-001,4.49643621257778e-001	6.35941476661888e-003,-8.99287242515556e-003
1.35855855855856e+006	6.93478098418367e-001,4.38956538258447e-001	6.13043803163266e-003,-8.77913076516893e-003
1.36846846846847e+006	7.00607110898892e-001,4.16667719640502e-001	5.98785778202216e-003,-8.33335439281004e-003
1.37837837837838e+006	6.81577947298120e-001,4.03952975416576e-001	6.36844105403759e-003,-8.07905950833153e-003
1.38828828828829e+006	6.74869302601950e-001,3.91068971941655e-001	6.50261394796100e-003,-7.82137943883310e-003
1.39819819819820e+006	6.45964737860327e-001,4.19850802931553e-001	7.08070524279347e-003,-8.39701605863106e-003
1.40810810810811e+006	6.70812931122393e-001,4.37676990365992e-001	6.58374137755215e-003,-8.75353980731983e-003
1.41801801801802e+006	6.86631399599706e-001,4.28099481434773e-001	6.26737200800587e-003,-8.56198962869546e-003
1.42792792792793e+006	6.77493356784332e-001,4.28993298593042e-001	6.45013286431337e-003,-8.57986597186085e-003
