Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.56541481156400e-002,1.41774809919953e-001	1.90869170376872e-002,-2.83549619839907e-003
1.09909909909910e+005	4.99782966163965e-002,1.55207746509325e-001	1.90004340676721e-002,-3.10415493018651e-003
1.19819819819820e+005	5.46775831721576e-002,1.68471017203838e-001	1.89064483365568e-002,-3.36942034407677e-003
1.29729729729730e+005	5.97434645238198e-002,1.81551533311297e-001	1.88051307095236e-002,-3.63103066622595e-003
1.39639639639640e+005	6.51668350875734e-002,1.94436737019212e-001	1.86966632982485e-002,-3.88873474038425e-003
1.49549549549550e+005	7.09380658673359e-002,2.07114629423484e-001	1.85812386826533e-002,-4.14229258846967e-003
1.59459459459459e+005	7.70470448359204e-002,2.19573795309790e-001	1.84590591032816e-002,-4.39147590619580e-003
1.69369369369369e+005	8.34832184840460e-002,2.31803424622702e-001	1.83303356303191e-002,-4.63606849245405e-003
1.79279279279279e+005	9.02356342366699e-002,2.43793330587847e-001	1.81952873152666e-002,-4.87586661175695e-003
1.89189189189189e+005	9.72929834397345e-002,2.55533964481923e-001	1.80541403312053e-002,-5.11067928963845e-003
1.99099099099099e+005	1.04643644627088e-001,2.67016427073662e-001	1.79071271074582e-002,-5.34032854147324e-003
2.09009009009009e+005	1.12275726786816e-001,2.78232476785640e-001	1.77544854642637e-002,-5.56464953571280e-003
2.18918918918919e+005	1.20177112358249e-001,2.89174534651794e-001	1.75964577528350e-002,-5.78349069303589e-003
2.28828828828829e+005	1.28335499705184e-001,2.99835686168536e-001	1.74332900058963e-002,-5.99671372337071e-003
2.38738738738739e+005	1.36738444827076e-001,3.10209680158060e-001	1.72652311034585e-002,-6.20419360316120e-003
2.48648648648649e+005	1.45373402087788e-001,3.20290924780909e-001	1.70925319582442e-002,-6.40581849561818e-003
2.58558558558559e+005	1.54227763760599e-001,3.30074480850766e-001	1.69154447247880e-002,-6.60148961701532e-003
2.68468468468468e+005	1.63288898208243e-001,3.39556052617942e-001	1.67342220358351e-002,-6.79112105235883e-003
2.78378378378378e+005	1.72544186537481e-001,3.48731976198951e-001	1.65491162692504e-002,-6.97463952397902e-003
2.88288288288288e+005	1.81981057588737e-001,3.57599205838061e-001	1.63603788482253e-002,-7.15198411676121e-003
2.98198198198198e+005	1.91587021142445e-001,3.66155298192734e-001	1.61682595771511e-002,-7.32310596385468e-003
3.08108108108108e+005	2.01349699244633e-001,3.74398394838665e-001	1.59730060151073e-002,-7.48796789677331e-003
3.18018018018018e+005	2.11256855574684e-001,3.82327203191641e-001	1.57748628885063e-002,-7.64654406383282e-003
3.27927927927928e+005	2.21296422797968e-001,3.89940976042993e-001	1.55740715440406e-002,-7.79881952085987e-003
3.37837837837838e+005	2.31456527864928e-001,3.97239489903067e-001	1.53708694427014e-002,-7.94478979806135e-003
3.47747747747748e+005	2.41725515236084e-001,4.04223022343039e-001	1.51654896952783e-002,-8.08446044686078e-003
3.57657657657657e+005	2.52091968029114e-001,4.10892328519905e-001	1.49581606394177e-002,-8.21784657039809e-003
3.67567567567567e+005	2.62544727099697e-001,4.17248617062545e-001	1.47491054580061e-002,-8.34497234125091e-003
3.77477477477477e+005	2.73072908081918e-001,4.23293525488795e-001	1.45385418383616e-002,-8.46587050977589e-003
3.87387387387387e+005	2.83665916426850e-001,4.29029095314475e-001	1.43266816714630e-002,-8.58058190628949e-003
3.97297297297297e+005	2.94313460489321e-001,4.34457747005696e-001	1.41137307902136e-002,-8.68915494011392e-003
4.07207207207207e+005	3.05005562722877e-001,4.39582254915449e-001	1.38998887455425e-002,-8.79164509830897e-003
4.17117117117117e+005	3.15732569051566e-001,4.44405722334835e-001	1.36853486189687e-002,-8.88811444669669e-003
4.27027027027027e+005	3.26485156494471e-001,4.48931556778389e-001	1.34702968701106e-002,-8.97863113556779e-003
4.36936936936936e+005	3.37254339124886e-001,4.53163445611903e-001	1.32549132175023e-002,-9.06326891223806e-003
4.46846846846846e+005	3.48031472450770e-001,4.57105332120149e-001	1.30393705509846e-002,-9.14210664240297e-003
4.56756756756756e+005	3.58808256306731e-001,4.60761392101063e-001	1.28238348738654e-002,-9.21522784202126e-003
4.66666666666666e+005	3.69576736350231e-001,4.64136011062283e-001	1.26084652729954e-002,-9.28272022124565e-003
4.76576576576576e+005	3.80329304256249e-001,4.67233762085652e-001	1.23934139148750e-002,-9.34467524171303e-003
4.86486486486486e+005	3.91058696705164e-001,4.70059384415379e-001	1.21788260658967e-002,-9.40118768830759e-003
4.96396396396396e+005	4.01757993258378e-001,4.72617762816100e-001	1.19648401348324e-002,-9.45235525632200e-003
5.06306306306306e+005	4.12420613215196e-001,4.74913907738122e-001	1.17515877356961e-002,-9.49827815476245e-003
5.16216216216216e+005	4.23040311542833e-001,4.76952936318747e-001	1.15391937691433e-002,-9.53905872637494e-003
5.26126126126125e+005	4.33611173969165e-001,4.78740054240692e-001	1.13277765206167e-002,-9.57480108481385e-003
5.36036036036035e+005	4.44127611325167e-001,4.80280538461391e-001	1.11174477734967e-002,-9.60561076922782e-003
5.45945945945945e+005	4.54584353220849e-001,4.81579720820245e-001	1.09083129355830e-002,-9.63159441640489e-003
5.55855855855855e+005	4.64976441135037e-001,4.82642972524825e-001	1.07004711772993e-002,-9.65285945049650e-003
5.65765765765765e+005	4.75299220995659e-001,4.83475689511483e-001	1.04940155800868e-002,-9.66951379022967e-003
5.75675675675675e+005	4.85548335323266e-001,4.84083278670865e-001	1.02890332935347e-002,-9.68166557341730e-003
5.85585585585585e+005	4.95719715006463e-001,4.84471144924421e-001	1.00856056998707e-002,-9.68942289848842e-003
5.95495495495495e+005	5.05809570773763e-001,4.84644679134080e-001	9.88380858452473e-003,-9.69289358268159e-003
6.05405405405405e+005	5.15814384422237e-001,4.84609246823863e-001	9.68371231155525e-003,-9.69218493647727e-003
6.15315315315315e+005	5.25730899859069e-001,4.84370177689261e-001	9.48538200281863e-003,-9.68740355378522e-003
6.25225225225225e+005	5.35556114008046e-001,4.83932755867679e-001	9.28887771983908e-003,-9.67865511735358e-003
6.35135135135135e+005	5.45287267628880e-001,4.83302210941167e-001	9.09425464742241e-003,-9.66604421882333e-003
6.45045045045045e+005	5.54921836093283e-001,4.82483709640870e-001	8.90156327813434e-003,-9.64967419281741e-003
6.54954954954955e+005	5.64457520157853e-001,4.81482348221277e-001	8.71084959684294e-003,-9.62964696442554e-003
6.64864864864865e+005	5.73892236770078e-001,4.80303145471183e-001	8.52215526459843e-003,-9.60606290942367e-003
6.74774774774775e+005	5.83224109940199e-001,4.78951036327502e-001	8.33551780119602e-003,-9.57902072655004e-003
6.84684684684685e+005	5.92451461708226e-001,4.77430866057424e-001	8.15097076583548e-003,-9.54861732114847e-003
6.94594594594594e+005	6.01572803232184e-001,4.75747384974042e-001	7.96854393535632e-003,-9.51494769948084e-003
7.04504504504504e+005	6.10586826020557e-001,4.73905243650360e-001	7.78826347958886e-003,-9.47810487300720e-003
7.14414414414414e+005	6.19492393329026e-001,4.71908988596493e-001	7.61015213341948e-003,-9.43817977192986e-003
7.24324324324324e+005	6.28288531738877e-001,4.69763058364958e-001	7.43422936522245e-003,-9.39526116729916e-003
7.34234234234234e+005	6.36974422931914e-001,4.67471780049057e-001	7.26051154136173e-003,-9.34943560098115e-003
7.44144144144144e+005	6.45549395674353e-001,4.65039366139564e-001	7.08901208651294e-003,-9.30078732279127e-003
7.54054054054054e+005	6.54012918020004e-001,4.62469911705145e-001	6.91974163959991e-003,-9.24939823410290e-003
7.63963963963964e+005	6.62364589740993e-001,4.59767391862216e-001	6.75270820518014e-003,-9.19534783724431e-003
7.73873873873874e+005	6.70604134992450e-001,4.56935659500110e-001	6.58791730015100e-003,-9.13871319000220e-003
7.83783783783784e+005	6.78731395215869e-001,4.53978443227666e-001	6.42537209568262e-003,-9.07956886455332e-003
7.93693693693694e+005	6.86746322284276e-001,4.50899345507419e-001	6.26507355431449e-003,-9.01798691014838e-003
8.03603603603604e+005	6.94648971890931e-001,4.47701840943613e-001	6.10702056218137e-003,-8.95403681887226e-003
8.13513513513514e+005	7.02439497181992e-001,4.44389274690139e-001	5.95121005636015e-003,-8.88778549380278e-003
8.23423423423424e+005	7.10118142632360e-001,4.40964860944240e-001	5.79763714735279e-003,-8.81929721888480e-003
8.33333333333334e+005	7.17685238162903e-001,4.37431681491385e-001	5.64629523674194e-003,-8.74863362982769e-003
8.43243243243244e+005	7.25141193496223e-001,4.33792684266032e-001	5.49717613007553e-003,-8.67585368532063e-003
8.53153153153153e+005	7.32486492747294e-001,4.30050681892078e-001	5.35027014505412e-003,-8.60101363784156e-003
8.63063063063063e+005	7.39721689244421e-001,4.26208350165562e-001	5.20556621511158e-003,-8.52416700331124e-003
8.72972972972973e+005	7.46847400575278e-001,4.22268226440574e-001	5.06305198849443e-003,-8.44536452881148e-003
8.82882882882883e+005	7.53864303852020e-001,4.18232707877354e-001	4.92271392295960e-003,-8.36465415754708e-003
8.92792792792793e+005	7.60773131188812e-001,4.14104049509034e-001	4.78453737622376e-003,-8.28208099018067e-003
9.02702702702703e+005	7.67574665384457e-001,4.09884362080447e-001	4.64850669231086e-003,-8.19768724160894e-003
9.12612612612613e+005	7.74269735802138e-001,4.05575609608724e-001	4.51460528395725e-003,-8.11151219217448e-003
9.22522522522523e+005	7.80859214437585e-001,4.01179606610879e-001	4.38281571124829e-003,-8.02359213221759e-003
9.32432432432433e+005	7.87344012166292e-001,3.96698014938245e-001	4.25311975667415e-003,-7.93396029876491e-003
9.42342342342343e+005	7.93725075159529e-001,3.92132340151113e-001	4.12549849680942e-003,-7.84264680302225e-003
9.52252252252253e+005	8.00003381458045e-001,3.87483927359236e-001	3.99993237083910e-003,-7.74967854718472e-003
9.62162162162163e+005	8.06179937691238e-001,3.82753956444606e-001	3.87640124617524e-003,-7.65507912889212e-003
9.72072072072073e+005	8.12255775928304e-001,3.77943436571866e-001	3.75488448143392e-003,-7.55886873143732e-003
9.81981981981983e+005	8.18231950646360e-001,3.73053199878536e-001	3.63536098707281e-003,-7.46106399757071e-003
9.91891891891893e+005	8.24109535798619e-001,3.68083894221395e-001	3.51780928402761e-003,-7.36167788442790e-003
1.00180180180180e+006	8.29889621963403e-001,3.63035974836411e-001	3.40220756073194e-003,-7.26071949672822e-003
1.01171171171171e+006	8.35573313551845e-001,3.57909694746754e-001	3.28853372896310e-003,-7.15819389493508e-003
1.02162162162162e+006	8.41161726048563e-001,3.52705093725904e-001	3.17676547902873e-003,-7.05410187451807e-003
1.03153153153153e+006	8.46655983254956e-001,3.47421985589505e-001	3.06688033490089e-003,-6.94843971179010e-003
1.04144144144144e+006	8.52057214499040e-001,3.42059943549071e-001	2.95885571001919e-003,-6.84119887098143e-003
1.05135135135135e+006	8.57366551768387e-001,3.36618283311143e-001	2.85266896463227e-003,-6.73236566622287e-003
1.06126126126126e+006	8.62585126713299e-001,3.31096043544770e-001	2.74829746573401e-003,-6.62192087089540e-003
1.07117117117117e+006	8.67714067455345e-001,3.25491963265284e-001	2.64571865089310e-003,-6.50983926530567e-003
1.08108108108108e+006	8.72754495120723e-001,3.19804455589405e-001	2.54491009758554e-003,-6.39608911178810e-003
1.09099099099099e+006	8.77707519997733e-001,3.14031577200744e-001	2.44584960004533e-003,-6.28063154401489e-003
1.10090090090090e+006	8.82574237191078e-001,3.08170992718987e-001	2.34851525617844e-003,-6.16341985437974e-003
1.11081081081081e+006	8.87355721610848e-001,3.02219932981523e-001	2.25288556778305e-003,-6.04439865963045e-003
1.12072072072072e+006	8.92053022087666e-001,2.96175146010765e-001	2.15893955824669e-003,-5.92350292021530e-003
1.13063063063063e+006	8.96667154343385e-001,2.90032839137301e-001	2.06665691313229e-003,-5.80065678274602e-003
1.14054054054054e+006	9.01199092462744e-001,2.83788610355120e-001	1.97601815074512e-003,-5.67577220710241e-003
1.15045045045045e+006	9.05649758396583e-001,2.77437366468170e-001	1.88700483206833e-003,-5.54874732936340e-003
1.16036036036036e+006	9.10020008868473e-001,2.70973224901209e-001	1.79959982263054e-003,-5.41946449802418e-003
1.17027027027027e+006	9.14310618834055e-001,2.64389395125826e-001	1.71378762331889e-003,-5.28778790251653e-003
1.18018018018018e+006	9.18522260326043e-001,2.57678034396934e-001	1.62955479347914e-003,-5.15356068793867e-003
1.19009009009009e+006	9.22655475060555e-001,2.50830070760142e-001	1.54689049878890e-003,-5.01660141520285e-003
1.20000000000000e+006	9.26710638507542e-001,2.43834983854373e-001	1.46578722984917e-003,-4.87669967708746e-003
1.20990990990991e+006	9.30687912117362e-001,2.36680530551972e-001	1.38624175765276e-003,-4.73361061103945e-003
1.21981981981982e+006	9.34587178842608e-001,2.29352397402526e-001	1.30825642314784e-003,-4.58704794805052e-003
1.22972972972973e+006	9.38407954645932e-001,2.21833754283365e-001	1.23184090708136e-003,-4.43667508566729e-003
1.23963963963964e+006	9.42149264711491e-001,2.14104672113678e-001	1.15701470577017e-003,-4.28209344227357e-003
1.24954954954955e+006	9.45809466415651e-001,2.06141349377664e-001	1.08381067168699e-003,-4.12282698755329e-003
1.25945945945946e+006	9.49385989520022e-001,1.97915062914374e-001	1.01228020959956e-003,-3.95830125828747e-003
1.26936936936937e+006	9.52874943007517e-001,1.89390709420785e-001	9.42501139849659e-004,-3.78781418841570e-003
1.27927927927928e+006	9.56270497892291e-001,1.80524718857018e-001	8.74590042154180e-004,-3.61049437714035e-003
1.28918918918919e+006	9.59563874562360e-001,1.71261965947944e-001	8.08722508752806e-004,-3.42523931895888e-003
1.29909909909910e+006	9.62741589478679e-001,1.61531009632437e-001	7.45168210426424e-004,-3.23062019264875e-003
1.30900900900901e+006	9.65782212196750e-001,1.51236389967612e-001	6.84355756064996e-004,-3.02472779935224e-003
1.31891891891892e+006	9.68649852336076e-001,1.40245412623883e-001	6.27002953278484e-004,-2.80490825247766e-003
1.32882882882883e+006	9.71279636366473e-001,1.28363824379939e-001	5.74407272670541e-004,-2.56727648759878e-003
1.33873873873874e+006	9.73540575735350e-001,1.15287212678816e-001	5.29188485292997e-004,-2.30574425357632e-003
1.34864864864865e+006	9.75121320381529e-001,1.00495815811555e-001	4.97573592369425e-004,-2.00991631623111e-003
1.35855855855856e+006	9.75076588959543e-001,8.30374801324605e-002	4.98468220809143e-004,-1.66074960264921e-003
1.36846846846847e+006	9.69483417041575e-001,6.19319211787849e-002	6.10331659168506e-004,-1.23863842357570e-003
1.37837837837838e+006	9.53411334296973e-001,5.08357188174967e-002	9.31773314060542e-004,-1.01671437634993e-003
1.38828828828829e+006	9.51233087357948e-001,3.37478992035581e-002	9.75338252841047e-004,-6.74957984071163e-004
1.39819819819820e+006	9.08198428588959e-001,2.52963616800195e-002	1.83603142822081e-003,-5.05927233600390e-004
