Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.66664945157831e-002,6.84858846597995e-002	1.96666701096843e-002,-1.36971769319599e-003
1.09909909909910e+005	1.76648806516072e-002,7.52217400610320e-002	1.96467023869679e-002,-1.50443480122064e-003
1.19819819819820e+005	1.87567732833429e-002,8.19431655551095e-002	1.96248645343331e-002,-1.63886331110219e-003
1.29729729729730e+005	1.99419668789860e-002,8.86488718424925e-002	1.96011606624203e-002,-1.77297743684985e-003
1.39639639639640e+005	2.12202383947624e-002,9.53375726627323e-002	1.95755952321048e-002,-1.90675145325465e-003
1.49549549549550e+005	2.25913473306059e-002,1.02007985044102e-001	1.95481730533879e-002,-2.04015970088204e-003
1.59459459459459e+005	2.40550357903672e-002,1.08658829552795e-001	1.95188992841927e-002,-2.17317659105590e-003
1.69369369369369e+005	2.56110285468283e-002,1.15288830541648e-001	1.94877794290634e-002,-2.30577661083295e-003
1.79279279279279e+005	2.72590331116123e-002,1.21896716398349e-001	1.94548193377678e-002,-2.43793432796697e-003
1.89189189189189e+005	2.89987398100796e-002,1.28481219793081e-001	1.94200252037984e-002,-2.56962439586163e-003
1.99099099099099e+005	3.08298218613146e-002,1.35041077925560e-001	1.93834035627737e-002,-2.70082155851119e-003
2.09009009009009e+005	3.27519354633161e-002,1.41575032771404e-001	1.93449612907337e-002,-2.83150065542807e-003
2.18918918918919e+005	3.47647198835102e-002,1.48081831327805e-001	1.93047056023298e-002,-2.96163662655610e-003
2.28828828828829e+005	3.68677975547218e-002,1.54560225858427e-001	1.92626440489056e-002,-3.09120451716853e-003
2.38738738738739e+005	3.90607741767459e-002,1.61008974137484e-001	1.92187845164651e-002,-3.22017948274967e-003
2.48648648648649e+005	4.13432388236784e-002,1.67426839692941e-001	1.91731352235264e-002,-3.34853679385881e-003
2.58558558558559e+005	4.37147640571746e-002,1.73812592048771e-001	1.91257047188565e-002,-3.47625184097543e-003
2.68468468468468e+005	4.61749060458231e-002,1.80165006966208e-001	1.90765018790835e-002,-3.60330013932415e-003
2.78378378378378e+005	4.87232046908367e-002,1.86482866683919e-001	1.90255359061833e-002,-3.72965733367838e-003
2.88288288288288e+005	5.13591837582814e-002,1.92764960157046e-001	1.89728163248344e-002,-3.85529920314092e-003
2.98198198198198e+005	5.40823510180852e-002,1.99010083295016e-001	1.89183529796383e-002,-3.98020166590032e-003
3.08108108108108e+005	5.68921983900897e-002,2.05217039198069e-001	1.88621560321982e-002,-4.10434078396138e-003
3.18018018018018e+005	5.97882020974340e-002,2.11384638392409e-001	1.88042359580513e-002,-4.22769276784818e-003
3.27927927927928e+005	6.27698228275878e-002,2.17511699063899e-001	1.87446035434482e-002,-4.35023398127797e-003
3.37837837837838e+005	6.58365059013822e-002,2.23597047290217e-001	1.86832698819724e-002,-4.47194094580434e-003
3.47747747747748e+005	6.89876814504216e-002,2.29639517271383e-001	1.86202463709916e-002,-4.59279034542767e-003
3.57657657657657e+005	7.22227646032998e-002,2.35637951558562e-001	1.85555447079340e-002,-4.71275903117124e-003
3.67567567567567e+005	7.55411556810881e-002,2.41591201281046e-001	1.84891768863782e-002,-4.83182402562092e-003
3.77477477477477e+005	7.89422404026153e-002,2.47498126371325e-001	1.84211551919477e-002,-4.94996252742651e-003
3.87387387387387e+005	8.24253901001118e-002,2.53357595788132e-001	1.83514921979978e-002,-5.06715191576265e-003
3.97297297297297e+005	8.59899619458618e-002,2.59168487737364e-001	1.82802007610828e-002,-5.18336975474728e-003
4.07207207207207e+005	8.96352991905763e-002,2.64929689890765e-001	1.82072940161885e-002,-5.29859379781531e-003
4.17117117117117e+005	9.33607314142837e-002,2.70640099602264e-001	1.81327853717143e-002,-5.41280199204529e-003
4.27027027027027e+005	9.71655747906376e-002,2.76298624121841e-001	1.80566885041872e-002,-5.52597248243681e-003
4.36936936936936e+005	1.01049132365642e-001,2.81904180806807e-001	1.79790173526872e-002,-5.63808361613614e-003
4.46846846846846e+005	1.05010694351927e-001,2.87455697330382e-001	1.78997861129615e-002,-5.74911394660765e-003
4.56756756756756e+005	1.09049538439860e-001,2.92952111887426e-001	1.78190092312028e-002,-5.85904223774852e-003
4.66666666666666e+005	1.13164930126923e-001,2.98392373397202e-001	1.77367013974615e-002,-5.96784746794405e-003
4.76576576576576e+005	1.17356123067016e-001,3.03775441703047e-001	1.76528775386597e-002,-6.07550883406094e-003
4.86486486486486e+005	1.21622359441538e-001,3.09100287768787e-001	1.75675528111693e-002,-6.18200575537573e-003
4.96396396396396e+005	1.25962870354381e-001,3.14365893871780e-001	1.74807425929124e-002,-6.28731787743560e-003
5.06306306306306e+005	1.30376876253280e-001,3.19571253792431e-001	1.73924624749344e-002,-6.39142507584861e-003
