Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	6.84881543653760e-002,1.99016763785457e-001	1.86302369126925e-002,-3.98033527570913e-003
1.09909909909910e+005	7.70059575516812e-002,2.16934302936805e-001	1.84598808489664e-002,-4.33868605873610e-003
1.19819819819820e+005	8.61903225848472e-002,2.34381900511245e-001	1.82761935483031e-002,-4.68763801022490e-003
1.29729729729730e+005	9.60081729478713e-002,2.51329428368262e-001	1.80798365410426e-002,-5.02658856736524e-003
1.39639639639640e+005	1.06424924939960e-001,2.67749738820268e-001	1.78715015012008e-002,-5.35499477640536e-003
1.49549549549550e+005	1.17404795268236e-001,2.83618676999665e-001	1.76519040946353e-002,-5.67237353999330e-003
1.59459459459459e+005	1.28911094392522e-001,2.98915077679349e-001	1.74217781121496e-002,-5.97830155358698e-003
1.69369369369369e+005	1.40906507161690e-001,3.13620742314628e-001	1.71818698567662e-002,-6.27241484629255e-003
1.79279279279279e+005	1.53353360262542e-001,3.27720394844710e-001	1.69329327947492e-002,-6.55440789689419e-003
1.89189189189189e+005	1.66213875208216e-001,3.41201616444044e-001	1.66757224958357e-002,-6.82403232888088e-003
1.99099099099099e+005	1.79450405390847e-001,3.54054760428693e-001	1.64109918921831e-002,-7.08109520857387e-003
2.09009009009009e+005	1.93025655816544e-001,3.66272849151423e-001	1.61394868836691e-002,-7.32545698302845e-003
2.18918918918919e+005	2.06902884381378e-001,3.77851455097815e-001	1.58619423123724e-002,-7.55702910195630e-003
2.28828828828829e+005	2.21046083855886e-001,3.88788568602851e-001	1.55790783228823e-002,-7.77577137205703e-003
2.38738738738739e+005	2.35420144077634e-001,3.99084454691091e-001	1.52915971184473e-002,-7.98168909382183e-003
2.48648648648649e+005	2.49990994179968e-001,4.08741501535586e-001	1.50001801164006e-002,-8.17483003071172e-003
2.58558558558559e+005	2.64725724993768e-001,4.17764062953500e-001	1.47054855001246e-002,-8.35528125907000e-003
2.68468468468468e+005	2.79592692037807e-001,4.26158297227434e-001	1.44081461592439e-002,-8.52316594454868e-003
2.78378378378378e+005	2.94561599756350e-001,4.33932004374497e-001	1.41087680048730e-002,-8.67864008748994e-003
2.88288288288288e+005	3.09603567867009e-001,4.41094463791782e-001	1.38079286426598e-002,-8.82188927583564e-003
2.98198198198198e+005	3.24691180846981e-001,4.47656273996842e-001	1.35061763830604e-002,-8.95312547993684e-003
3.08108108108108e+005	3.39798521712340e-001,4.53629195963226e-001	1.32040295657532e-002,-9.07258391926452e-003
3.18018018018018e+005	3.54901191335183e-001,4.59026001330981e-001	1.29019761732963e-002,-9.18052002661961e-003
3.27927927927928e+005	3.69976314599993e-001,4.63860326555963e-001	1.26004737080001e-002,-9.27720653111926e-003
3.37837837837838e+005	3.85002534726907e-001,4.68146533854256e-001	1.22999493054619e-002,-9.36293067708511e-003
3.47747747747748e+005	3.99959997089490e-001,4.71899579602492e-001	1.20008000582102e-002,-9.43799159204983e-003
3.57657657657657e+005	4.14830323831865e-001,4.75134890673976e-001	1.17033935233627e-002,-9.50269781347951e-003
3.67567567567567e+005	4.29596580548599e-001,4.77868249025832e-001	1.14080683890280e-002,-9.55736498051665e-003
3.77477477477477e+005	4.44243236234096e-001,4.80115684705026e-001	1.11151352753181e-002,-9.60231369410051e-003
3.87387387387387e+005	4.58756117640072e-001,4.81893377311316e-001	1.08248776471986e-002,-9.63786754622631e-003
3.97297297297297e+005	4.73122359102918e-001,4.83217565842915e-001	1.05375528179416e-002,-9.66435131685831e-003
4.07207207207207e+005	4.87330348820433e-001,4.84104466755236e-001	1.02533930235913e-002,-9.68208933510471e-003
4.17117117117117e+005	5.01369672471844e-001,4.84570199983765e-001	9.97260655056312e-003,-9.69140399967530e-003
4.27027027027027e+005	5.15231054988420e-001,4.84630722617765e-001	9.69537890023160e-003,-9.69261445235531e-003
4.36936936936936e+005	5.28906301196097e-001,4.84301769860773e-001	9.42187397607805e-003,-9.68603539721546e-003
4.46846846846846e+005	5.42388235967793e-001,4.83598802875572e-001	9.15223528064413e-003,-9.67197605751144e-003
4.56756756756756e+005	5.55670644442633e-001,4.82536963083929e-001	8.88658711114733e-003,-9.65073926167859e-003
4.66666666666666e+005	5.68748212793005e-001,4.81131032473583e-001	8.62503574413990e-003,-9.62262064947167e-003
4.76576576576576e+005	5.81616469948848e-001,4.79395399455400e-001	8.36767060102304e-003,-9.58790798910801e-003
4.86486486486486e+005	5.94271730622208e-001,4.77344029810971e-001	8.11456538755584e-003,-9.54688059621941e-003
4.96396396396396e+005	6.06711039914145e-001,4.74990442273988e-001	7.86577920171710e-003,-9.49980884547975e-003
5.06306306306306e+005	6.18932119730573e-001,4.72347688296442e-001	7.62135760538853e-003,-9.44695376592883e-003
5.16216216216216e+005	6.30933317183581e-001,4.69428335561892e-001	7.38133365632838e-003,-9.38856671123784e-003
5.26126126126125e+005	6.42713555109896e-001,4.66244454822009e-001	7.14572889780209e-003,-9.32488909644019e-003
5.36036036036035e+005	6.54272284798444e-001,4.62807609648266e-001	6.91455430403113e-003,-9.25615219296531e-003
5.45945945945945e+005	6.65609440983874e-001,4.59128848707461e-001	6.68781118032251e-003,-9.18257697414923e-003
5.55855855855855e+005	6.76725399132299e-001,4.55218700186967e-001	6.46549201735401e-003,-9.10437400373934e-003
5.65765765765765e+005	6.87620935018919e-001,4.51087168012596e-001	6.24758129962162e-003,-9.02174336025192e-003
5.75675675675675e+005	6.98297186574299e-001,4.46743729518371e-001	6.03405626851401e-003,-8.93487459036743e-003
5.85585585585585e+005	7.08755617956447e-001,4.42197334242624e-001	5.82488764087106e-003,-8.84394668485248e-003
5.95495495495495e+005	7.18997985789099e-001,4.37456403538477e-001	5.62004028421801e-003,-8.74912807076954e-003
6.05405405405405e+005	7.29026307492417e-001,4.32528830698382e-001	5.41947385015166e-003,-8.65057661396764e-003
6.15315315315315e+005	7.38842831620169e-001,4.27421981301632e-001	5.22314336759663e-003,-8.54843962603265e-003
6.25225225225225e+005	7.48450010107111e-001,4.22142693500282e-001	5.03099979785778e-003,-8.44285387000564e-003
6.35135135135135e+005	7.57850472321204e-001,4.16697277962255e-001	4.84299055357593e-003,-8.33394555924510e-003
6.45045045045045e+005	7.67047000807213e-001,4.11091517190189e-001	4.65905998385574e-003,-8.22183034380377e-003
6.54954954954955e+005	7.76042508600691e-001,4.05330663930249e-001	4.47914982798617e-003,-8.10661327860499e-003
6.64864864864865e+005	7.84840017983853e-001,3.99419438376173e-001	4.30319964032293e-003,-7.98838876752346e-003
6.74774774774775e+005	7.93442640547095e-001,3.93362023859498e-001	4.13114718905810e-003,-7.86724047718997e-003
6.84684684684685e+005	8.01853558411248e-001,3.87162060696491e-001	3.96292883177503e-003,-7.74324121392982e-003
6.94594594594594e+005	8.10076006455608e-001,3.80822637834640e-001	3.79847987088785e-003,-7.61645275669281e-003
