Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.55719294601858e-002,1.41660361901888e-001	1.90885614107963e-002,-2.83320723803776e-003
1.09909909909910e+005	4.98699984005940e-002,1.55056977500236e-001	1.90026000319881e-002,-3.10113955000472e-003
1.19819819819820e+005	5.45373823718016e-002,1.68277699513879e-001	1.89092523525640e-002,-3.36555399027758e-003
1.29729729729730e+005	5.95647275046385e-002,1.81309238638774e-001	1.88087054499072e-002,-3.62618477277547e-003
1.39639639639640e+005	6.49420870759610e-002,1.94138917601084e-001	1.87011582584808e-002,-3.88277835202167e-003
1.49549549549550e+005	7.06589685517799e-002,2.06754701292726e-001	1.85868206289644e-002,-4.13509402585453e-003
1.59459459459459e+005	7.67043821670318e-002,2.19145222799911e-001	1.84659123566594e-002,-4.38290445599822e-003
1.69369369369369e+005	8.30668906452630e-002,2.31299805271449e-001	1.83386621870947e-002,-4.62599610542897e-003
1.79279279279279e+005	8.97346596658259e-002,2.43208479615032e-001	1.82053068066835e-002,-4.86416959230065e-003
1.89189189189189e+005	9.66955086950724e-002,2.54861998049415e-001	1.80660898260986e-002,-5.09723996098830e-003
1.99099099099099e+005	1.03936961811106e-001,2.66251843577928e-001	1.79212607637779e-002,-5.32503687155855e-003
2.09009009009009e+005	1.11446298168509e-001,2.77370235483687e-001	1.77710740366298e-002,-5.54740470967373e-003
2.18918918918919e+005	1.19210601769618e-001,2.88210130978708e-001	1.76157879646076e-002,-5.76420261957415e-003
2.28828828828829e+005	1.27216810231916e-001,2.98765223167733e-001	1.74556637953617e-002,-5.97530446335466e-003
2.38738738738739e+005	1.35451762266384e-001,3.09029935512650e-001	1.72909647546723e-002,-6.18059871025300e-003
2.48648648648649e+005	1.43902243608766e-001,3.18999413004795e-001	1.71219551278247e-002,-6.37998826009589e-003
2.58558558558559e+005	1.52555031174054e-001,3.28669510270167e-001	1.69488993765189e-002,-6.57339020540333e-003
2.68468468468468e+005	1.61396935233664e-001,3.38036776846567e-001	1.67720612953267e-002,-6.76073553693135e-003
2.78378378378378e+005	1.70414839444276e-001,3.47098439882074e-001	1.65917032111145e-002,-6.94196879764148e-003
2.88288288288288e+005	1.79595738586665e-001,3.55852384511124e-001	1.64080852282667e-002,-7.11704769022249e-003
2.98198198198198e+005	1.88926773901706e-001,3.64297132168034e-001	1.62214645219659e-002,-7.28594264336068e-003
3.08108108108108e+005	1.98395265938750e-001,3.72431817098196e-001	1.60320946812250e-002,-7.44863634196392e-003
3.18018018018018e+005	2.07988744858344e-001,3.80256161324780e-001	1.58402251028331e-002,-7.60512322649560e-003
3.27927927927928e+005	2.17694978156674e-001,3.87770448323723e-001	1.56461004368665e-002,-7.75540896647446e-003
3.37837837837838e+005	2.27501995802810e-001,3.94975495652475e-001	1.54499600839438e-002,-7.89950991304950e-003
3.47747747747748e+005	2.37398112801726e-001,4.01872626768638e-001	1.52520377439655e-002,-8.03745253537275e-003
3.57657657657657e+005	2.47371949216045e-001,4.08463642263612e-001	1.50525610156791e-002,-8.16927284527224e-003
3.67567567567567e+005	2.57412447697362e-001,4.14750790723938e-001	1.48517510460528e-002,-8.29501581447877e-003
3.77477477477477e+005	2.67508888593897e-001,4.20736739419483e-001	1.46498222281221e-002,-8.41473478838966e-003
3.87387387387387e+005	2.77650902715018e-001,4.26424545003265e-001	1.44469819456996e-002,-8.52849090006530e-003
3.97297297297297e+005	2.87828481844960e-001,4.31817624392760e-001	1.42434303631008e-002,-8.63635248785520e-003
4.07207207207207e+005	2.98031987107857e-001,4.36919725987286e-001	1.40393602578429e-002,-8.73839451974572e-003
4.17117117117117e+005	3.08252155294085e-001,4.41734901360653e-001	1.38349568941183e-002,-8.83469802721306e-003
4.27027027027027e+005	3.18480103264035e-001,4.46267477553020e-001	1.36303979347193e-002,-8.92534955106040e-003
4.36936936936936e+005	3.28707330549811e-001,4.50522030070834e-001	1.34258533890038e-002,-9.01044060141668e-003
4.46846846846846e+005	3.38925720278217e-001,4.54503356689124e-001	1.32214855944357e-002,-9.09006713378249e-003
4.56756756756756e+005	3.49127538539811e-001,4.58216452136357e-001	1.30174492292038e-002,-9.16432904272715e-003
4.66666666666666e+005	3.59305432328908e-001,4.61666483728591e-001	1.28138913534218e-002,-9.23332967457181e-003
4.76576576576576e+005	3.69452426178446e-001,4.64858768006979e-001	1.26109514764311e-002,-9.29717536013959e-003
4.86486486486486e+005	3.79561917611528e-001,4.67798748420743e-001	1.24087616477694e-002,-9.35597496841486e-003
4.96396396396396e+005	3.89627671528582e-001,4.70491974086622e-001	1.22074465694284e-002,-9.40983948173243e-003
5.06306306306306e+005	3.99643813645426e-001,4.72944079645603e-001	1.20071237270915e-002,-9.45888159291205e-003
5.16216216216216e+005	4.09604823093204e-001,4.75160766228360e-001	1.18079035381359e-002,-9.50321532456719e-003
5.26126126126125e+005	4.19505524286418e-001,4.77147783532340e-001	1.16098895142717e-002,-9.54295567064679e-003
5.36036036036035e+005	4.29341078160071e-001,4.78910913005829e-001	1.14131784367986e-002,-9.57821826011658e-003
5.45945945945945e+005	4.39106972871470e-001,4.80455952127537e-001	1.12178605425706e-002,-9.60911904255073e-003
5.55855855855855e+005	4.48799014056540e-001,4.81788699764270e-001	1.10240197188692e-002,-9.63577399528540e-003
5.65765765765765e+005	4.58413314724709e-001,4.82914942584094e-001	1.08317337055058e-002,-9.65829885168188e-003
5.75675675675675e+005	4.67946284870564e-001,4.83840442497895e-001	1.06410743025887e-002,-9.67680884995790e-003
5.85585585585585e+005	4.77394620874625e-001,4.84570925098536e-001	1.04521075825075e-002,-9.69141850197072e-003
5.95495495495495e+005	4.86755294759821e-001,4.85112069063657e-001	1.02648941048036e-002,-9.70224138127315e-003
6.05405405405405e+005	4.96025543364586e-001,4.85469496485669e-001	1.00794891327083e-002,-9.70938992971338e-003
6.15315315315315e+005	5.05202857488005e-001,4.85648764090531e-001	9.89594285023991e-003,-9.71297528181062e-003
6.25225225225225e+005	5.14284971057119e-001,4.85655355305436e-001	9.71430057885763e-003,-9.71310710610873e-003
6.35135135135135e+005	5.23269850361403e-001,4.85494673134522e-001	9.53460299277195e-003,-9.70989346269044e-003
6.45045045045045e+005	5.32155683394577e-001,4.85172033801118e-001	9.35688633210845e-003,-9.70344067602236e-003
6.54954954954955e+005	5.40940869339304e-001,4.84692661114817e-001	9.18118261321392e-003,-9.69385322229635e-003
6.64864864864865e+005	5.49624008225959e-001,4.84061681521724e-001	9.00751983548082e-003,-9.68123363043449e-003
6.74774774774775e+005	5.58203890792614e-001,4.83284119796601e-001	8.83592218414772e-003,-9.66568239593202e-003
6.84684684684685e+005	5.66679488569534e-001,4.82364895336226e-001	8.66641022860933e-003,-9.64729790672453e-003
6.94594594594594e+005	5.75049944207951e-001,4.81308819014101e-001	8.49900111584097e-003,-9.62617638028201e-003
7.04504504504504e+005	5.83314562069624e-001,4.80120590557585e-001	8.33370875860752e-003,-9.60241181115171e-003
7.14414414414414e+005	5.91472799090639e-001,4.78804796409706e-001	8.17054401818721e-003,-9.57609592819412e-003
7.24324324324324e+005	5.99524255930182e-001,4.77365908039073e-001	8.00951488139636e-003,-9.54731816078145e-003
