Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.70915906643740e-002,7.15020479897399e-002	1.96581681867125e-002,-1.43004095979480e-003
1.09909909909910e+005	1.81769491496810e-002,7.85231205407565e-002	1.96364610170064e-002,-1.57046241081513e-003
1.19819819819820e+005	1.93634550690363e-002,8.55259369965684e-002	1.96127308986193e-002,-1.71051873993137e-003
1.29729729729730e+005	2.06507503975162e-002,9.25088851846812e-002	1.95869849920497e-002,-1.85017770369362e-003
1.39639639639640e+005	2.20384472836969e-002,9.94703616051735e-002	1.95592310543261e-002,-1.98940723210347e-003
1.49549549549550e+005	2.35261283092455e-002,1.06408772109648e-001	1.95294774338151e-002,-2.12817544219295e-003
1.59459459459459e+005	2.51133467676005e-002,1.13322532571231e-001	1.94977330646480e-002,-2.26645065142462e-003
1.69369369369369e+005	2.67996269614007e-002,1.20210069545012e-001	1.94640074607720e-002,-2.40420139090025e-003
1.79279279279279e+005	2.85844645183018e-002,1.27069820918312e-001	1.94283107096340e-002,-2.54139641836625e-003
1.89189189189189e+005	3.04673267247966e-002,1.33900236550205e-001	1.93906534655041e-002,-2.67800473100411e-003
1.99099099099099e+005	3.24476528776376e-002,1.40699778899721e-001	1.93510469424472e-002,-2.81399557799441e-003
2.09009009009009e+005	3.45248546524374e-002,1.47466923642173e-001	1.93095029069513e-002,-2.94933847284347e-003
2.18918918918919e+005	3.66983164890093e-002,1.54200160273093e-001	1.92660336702198e-002,-3.08400320546186e-003
2.28828828828829e+005	3.89673959929880e-002,1.60897992699229e-001	1.92206520801402e-002,-3.21795985398457e-003
2.38738738738739e+005	4.13314243532556e-002,1.67558939816140e-001	1.91733715129349e-002,-3.35117879632280e-003
2.48648648648649e+005	4.37897067746835e-002,1.74181536071894e-001	1.91242058645063e-002,-3.48363072143788e-003
2.58558558558559e+005	4.63415229256829e-002,1.80764332016413e-001	1.90731695414863e-002,-3.61528664032826e-003
2.68468468468468e+005	4.89861274000463e-002,1.87305894836034e-001	1.90202774519991e-002,-3.74611789672068e-003
2.78378378378378e+005	5.17227501925456e-002,1.93804808872870e-001	1.89655449961491e-002,-3.87609617745739e-003
2.88288288288288e+005	5.45505971877440e-002,2.00259676128574e-001	1.89089880562451e-002,-4.00519352257147e-003
2.98198198198198e+005	5.74688506614661e-002,2.06669116752142e-001	1.88506229867707e-002,-4.13338233504285e-003
3.08108108108108e+005	6.04766697943590e-002,2.13031769511398e-001	1.87904666041128e-002,-4.26063539022797e-003
3.18018018018018e+005	6.35731911969739e-002,2.19346292247836e-001	1.87285361760605e-002,-4.38692584495673e-003
3.27927927927928e+005	6.67575294457825e-002,2.25611362314519e-001	1.86648494110844e-002,-4.51222724629039e-003
