Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.58152661103360e-002,1.42457253534141e-001	1.90836946777933e-002,-2.84914507068283e-003
1.09909909909910e+005	5.01615598217265e-002,1.55921388108951e-001	1.89967688035655e-002,-3.11842776217902e-003
1.19819819819820e+005	5.48808339229545e-002,1.69206570405139e-001	1.89023833215409e-002,-3.38413140810279e-003
1.29729729729730e+005	5.99635138736503e-002,1.82299313394303e-001	1.88007297225270e-002,-3.64598626788605e-003
1.39639639639640e+005	6.53994210025561e-002,1.95186760065721e-001	1.86920115799489e-002,-3.90373520131443e-003
1.49549549549550e+005	7.11778211949206e-002,2.07856714172130e-001	1.85764435761016e-002,-4.15713428344259e-003
1.59459459459459e+005	7.72874751369232e-002,2.20297666708095e-001	1.84542504972615e-002,-4.40595333416190e-003
1.69369369369369e+005	8.37166897045254e-002,2.32498818068086e-001	1.83256662059095e-002,-4.64997636136172e-003
1.79279279279279e+005	9.04533700883362e-002,2.44450095875151e-001	1.81909325982333e-002,-4.88900191750303e-003
1.89189189189189e+005	9.74850722554433e-002,2.56142168512948e-001	1.80502985548911e-002,-5.12284337025896e-003
1.99099099099099e+005	1.04799055363124e-001,2.67566454433225e-001	1.79040188927375e-002,-5.35132908866450e-003
2.09009009009009e+005	1.12382333757350e-001,2.78715127347323e-001	1.77523533248530e-002,-5.57430254694646e-003
2.18918918918919e+005	1.20221728210502e-001,2.89581117443454e-001	1.75955654357900e-002,-5.79162234886909e-003
2.28828828828829e+005	1.28303916077167e-001,3.00158108801184e-001	1.74339216784567e-002,-6.00316217602369e-003
2.38738738738739e+005	1.36615480073723e-001,3.10440533200439e-001	1.72676903985255e-002,-6.20881066400878e-003
2.48648648648649e+005	1.45142955416113e-001,3.20423560544397e-001	1.70971408916777e-002,-6.40847121088795e-003
2.58558558558559e+005	1.53872875080174e-001,3.30103086133696e-001	1.69225424983965e-002,-6.60206172267393e-003
2.68468468468468e+005	1.62791812979625e-001,3.39475715043574e-001	1.67441637404075e-002,-6.78951430087149e-003
2.78378378378378e+005	1.71886424887839e-001,3.48538743865900e-001	1.65622715022432e-002,-6.97077487731799e-003
2.88288288288288e+005	1.81143486960335e-001,3.57290140084710e-001	1.63771302607933e-002,-7.14580280169419e-003
2.98198198198198e+005	1.90549931745166e-001,3.65728519357033e-001	1.61890013650967e-002,-7.31457038714066e-003
3.08108108108108e+005	2.00092881597576e-001,3.73853120970705e-001	1.59981423680485e-002,-7.47706241941410e-003
3.18018018018018e+005	2.09759679443299e-001,3.81663781747799e-001	1.58048064111340e-002,-7.63327563495598e-003
3.27927927927928e+005	2.19537916861190e-001,3.89160908656547e-001	1.56092416627762e-002,-7.78321817313094e-003
3.37837837837838e+005	2.29415459480500e-001,3.96345450386505e-001	1.54116908103900e-002,-7.92690900773010e-003
3.47747747747748e+005	2.39380469710728e-001,4.03218868131509e-001	1.52123906057854e-002,-8.06437736263018e-003
3.57657657657657e+005	2.49421426842521e-001,4.09783105813066e-001	1.50115714631496e-002,-8.19566211626131e-003
3.67567567567567e+005	2.59527144576532e-001,4.16040559963482e-001	1.48094571084694e-002,-8.32081119926963e-003
3.77477477477477e+005	2.69686786053312e-001,4.21994049473584e-001	1.46062642789338e-002,-8.43988098947168e-003
3.87387387387387e+005	2.79889876471411e-001,4.27646785394628e-001	1.44022024705718e-002,-8.55293570789255e-003
3.97297297297297e+005	2.90126313392690e-001,4.33002340968171e-001	1.41974737321462e-002,-8.66004681936342e-003
4.07207207207207e+005	3.00386374843736e-001,4.38064622041611e-001	1.39922725031253e-002,-8.76129244083221e-003
4.17117117117117e+005	3.10660725330038e-001,4.42837838010886e-001	1.37867854933992e-002,-8.85675676021772e-003
4.27027027027027e+005	3.20940419885579e-001,4.47326473415854e-001	1.35811916022884e-002,-8.94652946831708e-003
4.36936936936936e+005	3.31216906284678e-001,4.51535260298121e-001	1.33756618743064e-002,-9.03070520596242e-003
4.46846846846846e+005	3.41482025545524e-001,4.55469151415886e-001	1.31703594890895e-002,-9.10938302831772e-003
4.56756756756756e+005	3.51728010855929e-001,4.59133294395714e-001	1.29654397828814e-002,-9.18266588791428e-003
4.66666666666666e+005	3.61947485051630e-001,4.62533006887226e-001	1.27610502989674e-002,-9.25066013774453e-003
4.76576576576576e+005	3.72133456776094e-001,4.65673752773569e-001	1.25573308644781e-002,-9.31347505547139e-003
4.86486486486486e+005	3.82279315448328e-001,4.68561119478199e-001	1.23544136910334e-002,-9.37122238956398e-003
4.96396396396396e+005	3.92378825161910e-001,4.71200796397157e-001	1.21524234967618e-002,-9.42401592794314e-003
5.06306306306306e+005	4.02426117634409e-001,4.73598554475496e-001	1.19514776473118e-002,-9.47197108950992e-003
5.16216216216216e+005	4.12415684321646e-001,4.75760226936975e-001	1.17516863135671e-002,-9.51520453873950e-003
5.26126126126125e+005	4.22342367806117e-001,4.77691691167496e-001	1.15531526438777e-002,-9.55383382334991e-003
5.36036036036035e+005	4.32201352563309e-001,4.79398851745038e-001	1.13559729487338e-002,-9.58797703490076e-003
5.45945945945945e+005	4.41988155203812e-001,4.80887624601985e-001	1.11602368959238e-002,-9.61775249203970e-003
5.55855855855855e+005	4.51698614283088e-001,4.82163922299747e-001	1.09660277143382e-002,-9.64327844599494e-003
5.65765765765765e+005	4.61328879764644e-001,4.83233640390400e-001	1.07734224047071e-002,-9.66467280780800e-003
5.75675675675675e+005	4.70875402216181e-001,4.84102644835625e-001	1.05824919556764e-002,-9.68205289671249e-003
5.85585585585585e+005	4.80334921812163e-001,4.84776760449533e-001	1.03933015637567e-002,-9.69553520899066e-003
5.95495495495495e+005	4.89704457210237e-001,4.85261760328930e-001	1.02059108557953e-002,-9.70523520657860e-003
6.05405405405405e+005	4.98981294363011e-001,4.85563356232125e-001	1.00203741127398e-002,-9.71126712464249e-003
6.15315315315315e+005	5.08162975321013e-001,4.85687189865560e-001	9.83674049357973e-003,-9.71374379731121e-003
