Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.54067750973639e-002,5.88354535879164e-002	1.96918644980527e-002,-1.17670907175833e-003
1.09909909909910e+005	1.61443375428245e-002,6.46361896813462e-002	1.96771132491435e-002,-1.29272379362692e-003
1.19819819819820e+005	1.69512605852820e-002,7.04284858596822e-002	1.96609747882944e-002,-1.40856971719364e-003
1.29729729729730e+005	1.78274683129572e-002,7.62115822920129e-002	1.96434506337409e-002,-1.52423164584026e-003
1.39639639639640e+005	1.87728782481348e-002,8.19847194493517e-002	1.96245424350373e-002,-1.63969438898703e-003
1.49549549549550e+005	1.97874013435907e-002,8.77471381318981e-002	1.96042519731282e-002,-1.75494276263796e-003
1.59459459459459e+005	2.08709419789667e-002,9.34980794968431e-002	1.95825811604207e-002,-1.86996158993686e-003
1.69369369369369e+005	2.20233979571474e-002,9.92367850867533e-002	1.95595320408571e-002,-1.98473570173507e-003
1.79279279279279e+005	2.32446605007030e-002,1.04962496858577e-001	1.95351067899859e-002,-2.09924993717154e-003
1.89189189189189e+005	2.45346142484618e-002,1.10674457213310e-001	1.95093077150308e-002,-2.21348914426619e-003
1.99099099099099e+005	2.58931372522886e-002,1.16371909026356e-001	1.94821372549542e-002,-2.32743818052712e-003
2.09009009009009e+005	2.73201009741457e-002,1.22054095678632e-001	1.94535979805171e-002,-2.44108191357264e-003
2.18918918918919e+005	2.88153702835249e-002,1.27720261088436e-001	1.94236925943295e-002,-2.55440522176872e-003
2.28828828828829e+005	3.03788034553428e-002,1.33369649744139e-001	1.93924239308931e-002,-2.66739299488278e-003
2.38738738738739e+005	3.20102521684007e-002,1.39001506737715e-001	1.93597949566320e-002,-2.78003013475430e-003
2.48648648648649e+005	3.37095615045200e-002,1.44615077799168e-001	1.93258087699096e-002,-2.89230155598335e-003
2.58558558558559e+005	3.54765699484706e-002,1.50209609331870e-001	1.92904686010306e-002,-3.00419218663740e-003
2.68468468468468e+005	3.73111093888236e-002,1.55784348448870e-001	1.92537778122235e-002,-3.11568696897740e-003
2.78378378378378e+005	3.92130051198650e-002,1.61338543010188e-001	1.92157398976027e-002,-3.22677086020375e-003
2.88288288288288e+005	4.11820758447245e-002,1.66871441661145e-001	1.91763584831055e-002,-3.33742883322290e-003
2.98198198198198e+005	4.32181336798833e-002,1.72382293871760e-001	1.91356373264023e-002,-3.44764587743520e-003
3.08108108108108e+005	4.53209841612385e-002,1.77870349977246e-001	1.90935803167752e-002,-3.55740699954492e-003
3.18018018018018e+005	4.74904262519198e-002,1.83334861219646e-001	1.90501914749616e-002,-3.66669722439291e-003
3.27927927927928e+005	4.97262523520680e-002,1.88775079790641e-001	1.90054749529586e-002,-3.77550159581281e-003
3.37837837837838e+005	5.20282483108078e-002,1.94190258875572e-001	1.89594350337838e-002,-3.88380517751143e-003
3.47747747747748e+005	5.43961934406638e-002,1.99579652698701e-001	1.89120761311867e-002,-3.99159305397402e-003
3.57657657657657e+005	5.68298605346965e-002,2.04942516569763e-001	1.88634027893061e-002,-4.09885033139525e-003
3.67567567567567e+005	5.93290158866557e-002,2.10278106931828e-001	1.88134196822669e-002,-4.20556213863657e-003
3.77477477477477e+005	6.18934193144844e-002,2.15585681410536e-001	1.87621316137103e-002,-4.31171362821071e-003
3.87387387387387e+005	6.45228241875313e-002,2.20864498864715e-001	1.87095435162494e-002,-4.41728997729430e-003
3.97297297297297e+005	6.72169774578721e-002,2.26113819438455e-001	1.86556604508426e-002,-4.52227638876909e-003
4.07207207207207e+005	6.99756196961758e-002,2.31332904614651e-001	1.86004876060765e-002,-4.62665809229302e-003
4.17117117117117e+005	7.27984851326031e-002,2.36521017270088e-001	1.85440302973479e-002,-4.73042034540176e-003
4.27027027027027e+005	7.56853017032693e-002,2.41677421732090e-001	1.84862939659346e-002,-4.83354843464181e-003
4.36936936936936e+005	7.86357911028679e-002,2.46801383836809e-001	1.84272841779426e-002,-4.93602767673617e-003
4.46846846846846e+005	8.16496688441141e-002,2.51892170989186e-001	1.83670066231177e-002,-5.03784341978371e-003
4.56756756756756e+005	8.47266443247443e-002,2.56949052224665e-001	1.83054671135051e-002,-5.13898104449331e-003
4.66666666666666e+005	8.78664209028895e-002,2.61971298272711e-001	1.82426715819422e-002,-5.23942596545423e-003
4.76576576576576e+005	9.10686959817438e-002,2.66958181622204e-001	1.81786260803651e-002,-5.33916363244409e-003
4.86486486486486e+005	9.43331611045549e-002,2.71908976588798e-001	1.81133367779089e-002,-5.43817953177595e-003
4.96396396396396e+005	9.76595020610935e-002,2.76822959384318e-001	1.80468099587781e-002,-5.53645918768636e-003
5.06306306306306e+005	1.01047399006907e-001,2.81699408188311e-001	1.79790520198619e-002,-5.63398816376622e-003
5.16216216216216e+005	1.04496526596830e-001,2.86537603221837e-001	1.79100694680634e-002,-5.73075206443675e-003
5.26126126126125e+005	1.08006554134414e-001,2.91336826823646e-001	1.78398689173117e-002,-5.82673653647292e-003
5.36036036036035e+005	1.11577145739181e-001,2.96096363528862e-001	1.77684570852164e-002,-5.92192727057724e-003
5.45945945945945e+005	1.15207960533846e-001,3.00815500150342e-001	1.76958407893231e-002,-6.01631000300685e-003
5.55855855855855e+005	1.18898652853981e-001,3.05493525862891e-001	1.76220269429204e-002,-6.10987051725783e-003
5.65765765765765e+005	1.22648872482929e-001,3.10129732290524e-001	1.75470225503414e-002,-6.20259464581048e-003
5.75675675675675e+005	1.26458264915216e-001,3.14723413597022e-001	1.74708347016957e-002,-6.29446827194045e-003
5.85585585585585e+005	1.30326471652186e-001,3.19273866580051e-001	1.73934705669563e-002,-6.38547733160101e-003
5.95495495495495e+005	1.34253130534160e-001,3.23780390769135e-001	1.73149373893168e-002,-6.47560781538270e-003
6.05405405405405e+005	1.38237876114135e-001,3.28242288527866e-001	1.72352424777173e-002,-6.56484577055732e-003
6.15315315315315e+005	1.42280340078810e-001,3.32658865160729e-001	1.71543931984238e-002,-6.65317730321458e-003
6.25225225225225e+005	1.46380151723729e-001,3.37029429025043e-001	1.70723969655254e-002,-6.74058858050086e-003
6.35135135135135e+005	1.50536938490499e-001,3.41353291648550e-001	1.69892612301900e-002,-6.82706583297099e-003
6.45045045045045e+005	1.54750326575401e-001,3.45629767853296e-001	1.69049934684920e-002,-6.91259535706593e-003
6.54954954954955e+005	1.59019941620459e-001,3.49858175886551e-001	1.68196011675908e-002,-6.99716351773102e-003
6.64864864864865e+005	1.63345409500035e-001,3.54037837559621e-001	1.67330918099993e-002,-7.08075675119242e-003
6.74774774774775e+005	1.67726357218592e-001,3.58168078395589e-001	1.66454728556282e-002,-7.16336156791177e-003
6.84684684684685e+005	1.72162413938320e-001,3.62248227787159e-001	1.65567517212336e-002,-7.24496455574317e-003
6.94594594594594e+005	1.76653212159227e-001,3.66277619166031e-001	1.64669357568155e-002,-7.32555238332063e-003
7.04504504504504e+005	1.81198389079148e-001,3.70255590185472e-001	1.63760322184170e-002,-7.40511180370943e-003
7.14414414414414e+005	1.85797588167380e-001,3.74181482918083e-001	1.62840482366524e-002,-7.48362965836167e-003
7.24324324324324e+005	1.90450460993786e-001,3.78054644071179e-001	1.61909907801243e-002,-7.56109288142357e-003
7.34234234234234e+005	1.95156669366273e-001,3.81874425222639e-001	1.60968666126745e-002,-7.63748850445279e-003
7.44144144144144e+005	1.99915887845205e-001,3.85640183080660e-001	1.60016822430959e-002,-7.71280366161319e-003
7.54054054054054e+005	2.04727806727329e-001,3.89351279771015e-001	1.59054438654534e-002,-7.78702559542031e-003
7.63963963963964e+005	2.09592135633344e-001,3.93007083154005e-001	1.58081572873331e-002,-7.86014166308009e-003
7.73873873873874e+005	2.14508607918819e-001,3.96606967162472e-001	1.57098278416236e-002,-7.93213934324944e-003
7.83783783783784e+005	2.19476986353623e-001,4.00150312087244e-001	1.56104602729275e-002,-8.00300624174488e-003
7.93693693693694e+005	2.24497071313850e-001,4.03636504251541e-001	1.55100585737230e-002,-8.07273008503081e-003
8.03603603603604e+005	2.29568716020299e-001,4.07064928886549e-001	1.54086256795940e-002,-8.14129857773097e-003
8.13513513513514e+005	2.34691785417433e-001,4.10434890890551e-001	1.53061642916513e-002,-8.20869781781102e-003
8.23423423423424e+005	2.39866124760949e-001,4.13746058334406e-001	1.52026775047810e-002,-8.27492116668813e-003
8.33333333333334e+005	2.45092134805304e-001,4.16997662016082e-001	1.50981573038939e-002,-8.33995324032165e-003
8.43243243243244e+005	2.50370123160470e-001,4.20188814507879e-001	1.49925975367906e-002,-8.40377629015758e-003
8.53153153153153e+005	2.55699380487457e-001,4.23316264577807e-001	1.48860123902509e-002,-8.46632529155615e-003
8.63063063063063e+005	2.61076010735348e-001,4.26386851162461e-001	1.47784797852930e-002,-8.52773702324921e-003
8.72972972972973e+005	2.66509279818503e-001,4.29396041891150e-001	1.46698144036299e-002,-8.58792083782300e-003
8.82882882882883e+005	2.71995785377984e-001,4.32342008283155e-001	1.45600842924403e-002,-8.64684016566310e-003
8.92792792792793e+005	2.77536281222120e-001,4.35224928983344e-001	1.44492743755576e-002,-8.70449857966688e-003
9.02702702702703e+005	2.83132064017959e-001,4.38044450821337e-001	1.43373587196408e-002,-8.76088901642674e-003
9.12612612612613e+005	2.88784823977801e-001,4.40800123636946e-001	1.42243035204440e-002,-8.81600247273893e-003
9.22522522522523e+005	2.94496770774575e-001,4.43491473934580e-001	1.41100645845085e-002,-8.86982947869160e-003
9.32432432432433e+005	3.00270808224415e-001,4.46118015605828e-001	1.39945838355117e-002,-8.92236031211656e-003
9.42342342342343e+005	3.06110775031637e-001,4.48679240904952e-001	1.38777844993673e-002,-8.97358481809904e-003
9.52252252252253e+005	3.12021788709230e-001,4.51174595030151e-001	1.37595642258154e-002,-9.02349190060302e-003
9.62162162162163e+005	3.18010752275692e-001,4.53603425237006e-001	1.36397849544862e-002,-9.07206850474012e-003
9.72072072072073e+005	3.24087125432547e-001,4.55964880365074e-001	1.35182574913491e-002,-9.11929760730147e-003
9.81981981981983e+005	3.30264144787121e-001,4.58257691011970e-001	1.33947171042576e-002,-9.16515382023940e-003
9.91891891891893e+005	3.36560731587548e-001,4.60479472410791e-001	1.32687853682490e-002,-9.20958944821583e-003
1.00180180180180e+006	3.43002470786629e-001,4.62626944914691e-001	1.31399505842674e-002,-9.25253889829383e-003
1.01171171171171e+006	3.49635000292882e-001,4.64696149290046e-001	1.30072999941424e-002,-9.29392298580092e-003
1.02162162162162e+006	3.56526191053565e-001,4.66670815085260e-001	1.28694761789287e-002,-9.33341630170520e-003
1.03153153153153e+006	3.63792427856580e-001,4.68521432058017e-001	1.27241514428684e-002,-9.37042864116033e-003
1.04144144144144e+006	3.71650166110012e-001,4.70172724522990e-001	1.25669966777998e-002,-9.40345449045980e-003
1.05135135135135e+006	3.80542038606803e-001,4.71404856474797e-001	1.23891592278639e-002,-9.42809712949594e-003
1.06126126126126e+006	3.91481446583958e-001,4.71417939991995e-001	1.21703710683208e-002,-9.42835879983990e-003
1.07117117117117e+006	4.06653544906343e-001,4.66173126817557e-001	1.18669291018731e-002,-9.32346253635113e-003
1.08108108108108e+006	4.12981390644720e-001,4.35479475750206e-001	1.17403721871056e-002,-8.70958951500413e-003
1.09099099099099e+006	3.77228309006700e-001,4.46114162068481e-001	1.24554338198660e-002,-8.92228324136962e-003
1.10090090090090e+006	3.86210973710499e-001,4.62982286587084e-001	1.22757805257900e-002,-9.25964573174169e-003
1.11081081081081e+006	3.93009409645251e-001,4.71030763934301e-001	1.21398118070950e-002,-9.42061527868601e-003
