Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	6.12703063664997e-002,6.51301141440160e-002	1.87745938726700e-002,-1.30260228288032e-003
1.09909909909910e+005	6.22382742994979e-002,7.15288346899560e-002	1.87552345140100e-002,-1.43057669379912e-003
1.19819819819820e+005	6.32965526611328e-002,7.79118595106006e-002	1.87340689467773e-002,-1.55823719021201e-003
1.29729729729730e+005	6.44448495904158e-002,8.42777994143321e-002	1.87111030081917e-002,-1.68555598828664e-003
1.39639639639640e+005	6.56828488216691e-002,9.06252718730678e-002	1.86863430235666e-002,-1.81250543746136e-003
1.49549549549550e+005	6.70102098743863e-002,9.69529015466904e-002	1.86597958025123e-002,-1.93905803093381e-003
1.59459459459459e+005	6.84265682571720e-002,1.03259320801233e-001	1.86314686348566e-002,-2.06518641602466e-003
1.69369369369369e+005	6.99315356855336e-002,1.09543170220382e-001	1.86013692862893e-002,-2.19086340440763e-003
1.79279279279279e+005	7.15247003132889e-002,1.15803099109870e-001	1.85695059937342e-002,-2.31606198219740e-003
1.89189189189189e+005	7.32056269773379e-002,1.22037765994351e-001	1.85358874604532e-002,-2.44075531988703e-003
1.99099099099099e+005	7.49738574555306e-002,1.28245839106341e-001	1.85005228508894e-002,-2.56491678212682e-003
2.09009009009009e+005	7.68289107373551e-002,1.34425996866832e-001	1.84634217852529e-002,-2.68851993733663e-003
2.18918918918919e+005	7.87702833071516e-002,1.40576928357198e-001	1.84245943338570e-002,-2.81153856714396e-003
2.28828828828829e+005	8.07974494395517e-002,1.46697333782021e-001	1.83840510112090e-002,-2.93394667564041e-003
2.38738738738739e+005	8.29098615068254e-002,1.52785924922460e-001	1.83418027698635e-002,-3.05571849844921e-003
2.48648648648649e+005	8.51069502978132e-002,1.58841425579842e-001	1.82978609940437e-002,-3.17682851159685e-003
2.58558558558559e+005	8.73881253481020e-002,1.64862572009108e-001	1.82522374930380e-002,-3.29725144018216e-003
2.68468468468468e+005	8.97527752811048e-002,1.70848113341809e-001	1.82049444943779e-002,-3.41696226683619e-003
2.78378378378378e+005	9.22002681596823e-002,1.76796811998344e-001	1.81559946368064e-002,-3.53593623996689e-003
2.88288288288288e+005	9.47299518479485e-002,1.82707444089125e-001	1.81054009630410e-002,-3.65414888178250e-003
2.98198198198198e+005	9.73411543828824e-002,1.88578799804403e-001	1.80531769123424e-002,-3.77157599608806e-003
3.08108108108108e+005	1.00033184355370e-001,1.94409683792481e-001	1.79993363128926e-002,-3.88819367584963e-003
3.18018018018018e+005	1.02805331300290e-001,2.00198915526055e-001	1.79438933739942e-002,-4.00397831052110e-003
3.27927927927928e+005	1.05656866095246e-001,2.05945329656443e-001	1.78868626780951e-002,-4.11890659312887e-003
3.37837837837838e+005	1.08587041367558e-001,2.11647776355486e-001	1.78282591726488e-002,-4.23295552710972e-003
3.47747747747748e+005	1.11595091909093e-001,2.17305121644889e-001	1.77680981618181e-002,-4.34610243289777e-003
3.57657657657657e+005	1.14680235098544e-001,2.22916247712826e-001	1.77063952980291e-002,-4.45832495425653e-003
3.67567567567567e+005	1.17841671330743e-001,2.28480053217617e-001	1.76431665733851e-002,-4.56960106435235e-003
3.77477477477477e+005	1.21078584452581e-001,2.33995453578300e-001	1.75784283109484e-002,-4.67990907156601e-003
3.87387387387387e+005	1.24390142205139e-001,2.39461381251965e-001	1.75121971558972e-002,-4.78922762503930e-003
3.97297297297297e+005	1.27775496671598e-001,2.44876785997691e-001	1.74444900665680e-002,-4.89753571995381e-003
4.07207207207207e+005	1.31233784730515e-001,2.50240635126976e-001	1.73753243053897e-002,-5.00481270253951e-003
4.17117117117117e+005	1.34764128514043e-001,2.55551913740541e-001	1.73047174297191e-002,-5.11103827481083e-003
4.27027027027027e+005	1.38365635870685e-001,2.60809624951419e-001	1.72326872825863e-002,-5.21619249902839e-003
4.36936936936936e+005	1.42037400832149e-001,2.66012790094235e-001	1.71592519833570e-002,-5.32025580188470e-003
4.46846846846846e+005	1.45778504083900e-001,2.71160448920626e-001	1.70844299183220e-002,-5.42320897841252e-003
4.56756756756756e+005	1.49588013438991e-001,2.76251659780730e-001	1.70082397312202e-002,-5.52503319561460e-003
