Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.56982320229625e-002,1.42074563136949e-001	1.90860353595408e-002,-2.84149126273898e-003
1.09909909909910e+005	5.00212443267518e-002,1.55506119290375e-001	1.89995751134650e-002,-3.11012238580750e-003
1.19819819819820e+005	5.47154461797816e-002,1.68760155768720e-001	1.89056910764044e-002,-3.37520311537441e-003
1.29729729729730e+005	5.97713646679777e-002,1.81823279410471e-001	1.88045727066405e-002,-3.63646558820941e-003
1.39639639639640e+005	6.51789280388837e-002,1.94682718958884e-001	1.86964214392223e-002,-3.89365437917769e-003
1.49549549549550e+005	7.09275136611827e-002,2.07326355516670e-001	1.85814497267763e-002,-4.14652711033341e-003
1.59459459459459e+005	7.70059975288864e-002,2.19742748806153e-001	1.84598800494223e-002,-4.39485497612305e-003
1.69369369369369e+005	8.34028049056393e-002,2.31921159181287e-001	1.83319439018872e-002,-4.63842318362574e-003
1.79279279279279e+005	9.01059617083482e-002,2.43851565380912e-001	1.81978807658330e-002,-4.87703130761823e-003
1.89189189189189e+005	9.71031462382612e-002,2.55524678053661e-001	1.80579370752348e-002,-5.11049356107322e-003
1.99099099099099e+005	1.04381740881070e-001,2.66931949123641e-001	1.79123651823786e-002,-5.33863898247282e-003
2.09009009009009e+005	1.11928883415037e-001,2.78065577101772e-001	1.77614223316993e-002,-5.56131154203544e-003
2.18918918918919e+005	1.19731517587033e-001,2.88918508480367e-001	1.76053696482593e-002,-5.77837016960733e-003
2.28828828828829e+005	1.27776442640165e-001,2.99484435377723e-001	1.74444711471967e-002,-5.98968870755446e-003
2.38738738738739e+005	1.36050361502814e-001,3.09757789625051e-001	1.72789927699437e-002,-6.19515579250102e-003
2.48648648648649e+005	1.44539927376904e-001,3.19733733509820e-001	1.71092014524619e-002,-6.39467467019640e-003
2.58558558558559e+005	1.53231788492484e-001,3.29408147407532e-001	1.69353642301503e-002,-6.58816294815065e-003
2.68468468468468e+005	1.62112630825743e-001,3.38777614548040e-001	1.67577473834851e-002,-6.77555229096080e-003
2.78378378378378e+005	1.71169218607932e-001,3.47839403172853e-001	1.65766156278414e-002,-6.95678806345707e-003
2.88288288288288e+005	1.80388432482867e-001,3.56591446346655e-001	1.63922313503427e-002,-7.13182892693310e-003
2.98198198198198e+005	1.89757305200270e-001,3.65032319689548e-001	1.62048538959946e-002,-7.30064639379097e-003
3.08108108108108e+005	1.99263054760938e-001,3.73161217296697e-001	1.60147389047812e-002,-7.46322434593393e-003
3.18018018018018e+005	2.08893114957135e-001,3.80977926109222e-001	1.58221377008573e-002,-7.61955852218444e-003
3.27927927927928e+005	2.18635163277573e-001,3.88482798994783e-001	1.56272967344485e-002,-7.76965597989565e-003
3.37837837837838e+005	2.28477146170503e-001,3.95676726788452e-001	1.54304570765899e-002,-7.91353453576904e-003
3.47747747747748e+005	2.38407301680789e-001,4.02561109534728e-001	1.52318539663842e-002,-8.05122219069456e-003
3.57657657657657e+005	2.48414179497084e-001,4.09137827159943e-001	1.50317164100583e-002,-8.18275654319885e-003
3.67567567567567e+005	2.58486658463434e-001,4.15409209791412e-001	1.48302668307313e-002,-8.30818419582824e-003
3.77477477477477e+005	2.68613961625705e-001,4.21378007925613e-001	1.46277207674859e-002,-8.42756015851226e-003
3.87387387387387e+005	2.78785668897127e-001,4.27047362632792e-001	1.44242866220575e-002,-8.54094725265584e-003
3.97297297297297e+005	2.88991727439122e-001,4.32420775969996e-001	1.42201654512176e-002,-8.64841551939991e-003
4.07207207207207e+005	2.99222459863345e-001,4.37502081758752e-001	1.40155508027331e-002,-8.75004163517504e-003
4.17117117117117e+005	3.09468570368741e-001,4.42295416867835e-001	1.38106285926252e-002,-8.84590833735670e-003
4.27027027027027e+005	3.19721148933423e-001,4.46805193125826e-001	1.36055770213316e-002,-8.93610386251651e-003
4.36936936936936e+005	3.29971673685447e-001,4.51036069972773e-001	1.34005665262911e-002,-9.02072139945546e-003
4.46846846846846e+005	3.40212011579282e-001,4.54992927945311e-001	1.31957597684144e-002,-9.09985855890622e-003
4.56756756756756e+005	3.50434417505974e-001,4.58680843075173e-001	1.29913116498805e-002,-9.17361686150347e-003
