Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	6.12703063366861e-002,6.51301146368099e-002	1.87745938732663e-002,-1.30260229273620e-003
1.09909909909910e+005	6.22382742072457e-002,7.15288353542357e-002	1.87552345158551e-002,-1.43057670708471e-003
1.19819819819820e+005	6.32965524787799e-002,7.79118603853701e-002	1.87340689504244e-002,-1.55823720770740e-003
1.29729729729730e+005	6.44448492846531e-002,8.42778005440136e-002	1.87111030143069e-002,-1.68555601088027e-003
1.39639639639640e+005	6.56828483531563e-002,9.06252733079817e-002	1.86863430329369e-002,-1.81250546615963e-003
1.49549549549550e+005	6.70102091973929e-002,9.69529033435705e-002	1.86597958160521e-002,-1.93905806687141e-003
1.59459459459459e+005	6.84265673192440e-002,1.03259323023775e-001	1.86314686536151e-002,-2.06518646047550e-003
1.69369369369369e+005	6.99315344271892e-002,1.09543172939824e-001	1.86013693114562e-002,-2.19086345879647e-003
1.79279279279279e+005	7.15246986677441e-002,1.15803102405606e-001	1.85695060266451e-002,-2.31606204811212e-003
1.89189189189189e+005	7.32056248702633e-002,1.22037769954573e-001	1.85358875025947e-002,-2.44075539909146e-003
1.99099099099099e+005	7.49738548048416e-002,1.28245843828708e-001	1.85005229039032e-002,-2.56491687657417e-003
2.09009009009009e+005	7.68289074530361e-002,1.34426002459170e-001	1.84634218509393e-002,-2.68852004918341e-003
2.18918918918919e+005	7.87702792911165e-002,1.40576934938223e-001	1.84245944141777e-002,-2.81153869876446e-003
2.28828828828829e+005	8.07974445855411e-002,1.46697341482083e-001	1.83840511082892e-002,-2.93394682964166e-003
2.38738738738739e+005	8.29098557003428e-002,1.52785933884317e-001	1.83418028859931e-002,-3.05571867768634e-003
2.48648648648649e+005	8.51069434160992e-002,1.58841435959446e-001	1.82978611316780e-002,-3.17682871918892e-003
2.58558558558559e+005	8.73881172601514e-002,1.64862583976415e-001	1.82522376547970e-002,-3.29725167952831e-003
2.68468468468468e+005	8.97527658477230e-002,1.70848127081608e-001	1.82049446830455e-002,-3.41696254163216e-003
2.78378378378378e+005	9.22002572335861e-002,1.76796827711093e-001	1.81559948553283e-002,-3.53593655422186e-003
2.88288288288288e+005	9.47299392739085e-002,1.82707461991809e-001	1.81054012145218e-002,-3.65414923983618e-003
2.98198198198198e+005	9.73411399979110e-002,1.88578820131402e-001	1.80531772000418e-002,-3.77157640262803e-003
3.08108108108108e+005	1.00033167988954e-001,1.94409706796442e-001	1.79993366402209e-002,-3.88819413592885e-003
3.18018018018018e+005	1.02805312774666e-001,2.00198941478780e-001	1.79438937445067e-002,-4.00397882957560e-003
3.27927927927928e+005	1.05656845225728e-001,2.05945358849778e-001	1.78868630954854e-002,-4.11890717699557e-003
3.37837837837838e+005	1.08587017962902e-001,2.11647809102214e-001	1.78282596407420e-002,-4.23295618204428e-003
3.47747747747748e+005	1.11595065771918e-001,2.17305158279627e-001	1.77680986845617e-002,-4.34610316559254e-003
3.57657657657657e+005	1.14680206025794e-001,2.22916288592925e-001	1.77063958794841e-002,-4.45832577185849e-003
3.67567567567567e+005	1.17841639114198e-001,2.28480098724049e-001	1.76431672177161e-002,-4.56960197448099e-003
3.77477477477477e+005	1.21078548879413e-001,2.33995504116558e-001	1.75784290224117e-002,-4.67991008233116e-003
3.87387387387387e+005	1.24390103058521e-001,2.39461437252943e-001	1.75121979388296e-002,-4.78922874505886e-003
3.97297297297297e+005	1.27775453731353e-001,2.44876847918564e-001	1.74444909253729e-002,-4.89753695837129e-003
4.07207207207207e+005	1.31233737773818e-001,2.50240703452071e-001	1.73753252445236e-002,-5.00481406904141e-003
4.17117117117117e+005	1.34764077316168e-001,2.55551988982191e-001	1.73047184536766e-002,-5.11103977964381e-003
4.27027027027027e+005	1.38365580205797e-001,2.60809707650808e-001	1.72326883958841e-002,-5.21619415301617e-003
4.36936936936936e+005	1.42037340474143e-001,2.66012880822232e-001	1.71592531905171e-002,-5.32025761644463e-003
4.46846846846846e+005	1.45778438807288e-001,2.71160548278592e-001	1.70844312238542e-002,-5.42321096557184e-003
4.56756756756756e+005	1.49587943019835e-001,2.76251768401319e-001	1.70082411396033e-002,-5.52503536802638e-003
4.66666666666666e+005	1.53464908531648e-001,2.81285618338643e-001	1.69307018293670e-002,-5.62571236677286e-003
4.76576576576576e+005	1.57408378847056e-001,2.86261194159108e-001	1.68518324230589e-002,-5.72522388318217e-003
4.86486486486486e+005	1.61417386036113e-001,2.91177610991069e-001	1.67716522792777e-002,-5.82355221982138e-003
4.96396396396396e+005	1.65490951217505e-001,2.96034003148170e-001	1.66901809756499e-002,-5.92068006296340e-003
5.06306306306306e+005	1.69628085042725e-001,3.00829524240823e-001	1.66074382991455e-002,-6.01659048481645e-003
5.16216216216216e+005	1.73827788181115e-001,3.05563347273686e-001	1.65234442363777e-002,-6.11126694547373e-003
5.26126126126125e+005	1.78089051805402e-001,3.10234664729199e-001	1.64382189638920e-002,-6.20469329458397e-003
5.36036036036035e+005	1.82410858077336e-001,3.14842688637183e-001	1.63517828384533e-002,-6.29685377274367e-003
5.45945945945945e+005	1.86792180633084e-001,3.19386650630593e-001	1.62641563873383e-002,-6.38773301261187e-003
5.55855855855855e+005	1.91231985067995e-001,3.23865801987449e-001	1.61753602986401e-002,-6.47731603974899e-003
5.65765765765765e+005	1.95729229420400e-001,3.28279413659038e-001	1.60854154115920e-002,-6.56558827318076e-003
5.75675675675675e+005	2.00282864654098e-001,3.32626776284455e-001	1.59943427069180e-002,-6.65253552568909e-003
5.85585585585585e+005	2.04891835139184e-001,3.36907200191570e-001	1.59021632972163e-002,-6.73814400383140e-003
5.95495495495495e+005	2.09555079130910e-001,3.41120015384514e-001	1.58088984173818e-002,-6.82240030769028e-003
