Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.67173127207438e-002,7.15569723151394e-002	1.96656537455851e-002,-1.43113944630279e-003
1.09909909909910e+005	1.78037025722314e-002,7.85834060193087e-002	1.96439259485554e-002,-1.57166812038617e-003
1.19819819819820e+005	1.89913349712644e-002,8.55915606225788e-002	1.96201733005747e-002,-1.71183121245158e-003
1.29729729729730e+005	2.02798512856642e-002,9.25798219518910e-002	1.95944029742867e-002,-1.85159643903782e-003
1.39639639639640e+005	2.16688630071053e-002,9.95465845255597e-002	1.95666227398579e-002,-1.99093169051119e-003
1.49549549549550e+005	2.31579520113727e-002,1.06490252233664e-001	1.95368409597725e-002,-2.12980504467328e-003
1.59459459459459e+005	2.47466708377577e-002,1.13409239009462e-001	1.95050665832448e-002,-2.26818478018924e-003
1.69369369369369e+005	2.64345429872482e-002,1.20301969491215e-001	1.94713091402550e-002,-2.40603938982429e-003
1.79279279279279e+005	2.82210632391518e-002,1.27166879673810e-001	1.94355787352170e-002,-2.54333759347620e-003
1.89189189189189e+005	3.01056979857665e-002,1.34002417549609e-001	1.93978860402847e-002,-2.68004835099217e-003
1.99099099099099e+005	3.20878855846961e-002,1.40807043737937e-001	1.93582422883061e-002,-2.81614087475875e-003
2.09009009009009e+005	3.41670367283856e-002,1.47579232102676e-001	1.93166592654323e-002,-2.95158464205352e-003
2.18918918918919e+005	3.63425348304352e-002,1.54317470357403e-001	1.92731493033913e-002,-3.08634940714807e-003
2.28828828828829e+005	3.86137364282328e-002,1.61020260657587e-001	1.92277252714353e-002,-3.22040521315175e-003
2.38738738738739e+005	4.09799716014288e-002,1.67686120179318e-001	1.91804005679714e-002,-3.35372240358636e-003
2.48648648648649e+005	4.34405444057611e-002,1.74313581684109e-001	1.91311891118848e-002,-3.48627163368217e-003
2.58558558558559e+005	4.59947333217223e-002,1.80901194069304e-001	1.90801053335656e-002,-3.61802388138608e-003
2.68468468468468e+005	4.86417917175485e-002,1.87447522903663e-001	1.90271641656490e-002,-3.74895045807325e-003
2.78378378378378e+005	5.13809483259952e-002,1.93951150947691e-001	1.89723810334801e-002,-3.87902301895382e-003
2.88288288288288e+005	5.42114077343549e-002,2.00410678658345e-001	1.89157718453129e-002,-4.00821357316691e-003
2.98198198198198e+005	5.71323508871571e-002,2.06824724677717e-001	1.88573529822569e-002,-4.13649449355435e-003
3.08108108108108e+005	6.01429356009869e-002,2.13191926305361e-001	1.87971412879803e-002,-4.26383852610723e-003
3.18018018018018e+005	6.32422970908427e-002,2.19510939953936e-001	1.87351540581832e-002,-4.39021879907872e-003
3.27927927927928e+005	6.64295485074516e-002,2.25780441587847e-001	1.86714090298510e-002,-4.51560883175695e-003
3.37837837837838e+005	6.97037814849507e-002,2.31999127144624e-001	1.86059243703010e-002,-4.63998254289248e-003
3.47747747747748e+005	7.30640666983370e-002,2.38165712938752e-001	1.85387186660333e-002,-4.76331425877505e-003
3.57657657657657e+005	7.65094544300865e-002,2.44278936047747e-001	1.84698109113983e-002,-4.88557872095493e-003
3.67567567567567e+005	8.00389751453354e-002,2.50337554680234e-001	1.83992204970933e-002,-5.00675109360467e-003
3.77477477477477e+005	8.36516400750169e-002,2.56340348525866e-001	1.83269671984997e-002,-5.12680697051733e-003
3.87387387387387e+005	8.73464418063446e-002,2.62286119086896e-001	1.82530711638731e-002,-5.24572238173793e-003
3.97297297297297e+005	9.11223548800300e-002,2.68173689991263e-001	1.81775529023994e-002,-5.36347379982527e-003
4.07207207207207e+005	9.49783363936289e-002,2.74001907287076e-001	1.81004332721274e-002,-5.48003814574152e-003
4.17117117117117e+005	9.89133266104038e-002,2.79769639718388e-001	1.80217334677919e-002,-5.59539279436776e-003
4.27027027027027e+005	1.02926249573100e-001,2.85475778982193e-001	1.79414750085380e-002,-5.70951557964386e-003
4.36936936936936e+005	1.07016013722031e-001,2.91119239966572e-001	1.78596797255594e-002,-5.82238479933143e-003
4.46846846846846e+005	1.11181512516877e-001,2.96698960969971e-001	1.77763697496625e-002,-5.93397921939942e-003
4.56756756756756e+005	1.15421625061599e-001,3.02213903901591e-001	1.76915674987680e-002,-6.04427807803181e-003
4.66666666666666e+005	1.19735216731890e-001,3.07663054462887e-001	1.76052956653622e-002,-6.15326108925773e-003
4.76576576576576e+005	1.24121139804575e-001,3.13045422310216e-001	1.75175772039085e-002,-6.26090844620433e-003
4.86486486486486e+005	1.28578234088393e-001,3.18360041198675e-001	1.74284353182321e-002,-6.36720082397350e-003
4.96396396396396e+005	1.33105327555598e-001,3.23605969107178e-001	1.73378934488880e-002,-6.47211938214357e-003
5.06306306306306e+005	1.37701236973820e-001,3.28782288344886e-001	1.72459752605236e-002,-6.57564576689772e-003
5.16216216216216e+005	1.42364768537654e-001,3.33888105639050e-001	1.71527046292469e-002,-6.67776211278100e-003
5.26126126126125e+005	1.47094718499435e-001,3.38922552204422e-001	1.70581056300113e-002,-6.77845104408843e-003
5.36036036036035e+005	1.51889873798679e-001,3.43884783794331e-001	1.69622025240264e-002,-6.87769567588662e-003
5.45945945945945e+005	1.56749012689697e-001,3.48773980733601e-001	1.68650197462061e-002,-6.97547961467202e-003
5.55855855855855e+005	1.61670905366866e-001,3.53589347933449e-001	1.67665818926627e-002,-7.07178695866898e-003
5.65765765765765e+005	1.66654314587099e-001,3.58330114888556e-001	1.66669137082580e-002,-7.16660229777111e-003
5.75675675675675e+005	1.71697996289030e-001,3.62995535656486e-001	1.65660400742194e-002,-7.25991071312971e-003
5.85585585585585e+005	1.76800700208480e-001,3.67584888819662e-001	1.64639859958304e-002,-7.35169777639323e-003
5.95495495495495e+005	1.81961170489764e-001,3.72097477430106e-001	1.63607765902047e-002,-7.44194954860212e-003
6.05405405405405e+005	1.87178146292413e-001,3.76532628937161e-001	1.62564370741517e-002,-7.53065257874323e-003
6.15315315315315e+005	1.92450362392930e-001,3.80889695098430e-001	1.61509927521414e-002,-7.61779390196859e-003
6.25225225225225e+005	1.97776549781180e-001,3.85168051874162e-001	1.60444690043764e-002,-7.70336103748325e-003
6.35135135135135e+005	2.03155436251065e-001,3.89367099305346e-001	1.59368912749787e-002,-7.78734198610692e-003
6.45045045045045e+005	2.08585746985118e-001,3.93486261375733e-001	1.58282850602976e-002,-7.86972522751466e-003
6.54954954954955e+005	2.14066205132721e-001,3.97524985858079e-001	1.57186758973456e-002,-7.95049971716157e-003
6.64864864864865e+005	2.19595532381608e-001,4.01482744144833e-001	1.56080893523678e-002,-8.02965488289665e-003
6.74774774774775e+005	2.25172449522397e-001,4.05359031063552e-001	1.54965510095521e-002,-8.10718062127104e-003
6.84684684684685e+005	2.30795677005862e-001,4.09153364677301e-001	1.53840864598828e-002,-8.18306729354602e-003
6.94594594594594e+005	2.36463935492723e-001,4.12865286070289e-001	1.52707212901455e-002,-8.25730572140577e-003
7.04504504504504e+005	2.42175946395717e-001,4.16494359119016e-001	1.51564810720857e-002,-8.32988718238032e-003
7.14414414414414e+005	2.47930432413766e-001,4.20040170249181e-001	1.50413913517247e-002,-8.40080340498362e-003
7.24324324324324e+005	2.53726118058058e-001,4.23502328178599e-001	1.49254776388388e-002,-8.47004656357199e-003
7.34234234234234e+005	2.59561730169893e-001,4.26880463646389e-001	1.48087653966021e-002,-8.53760927292778e-003
7.44144144144144e+005	2.65435998430173e-001,4.30174229128648e-001	1.46912800313965e-002,-8.60348458257297e-003
7.54054054054054e+005	2.71347655860432e-001,4.33383298540876e-001	1.45730468827914e-002,-8.66766597081751e-003
7.63963963963964e+005	2.77295439315330e-001,4.36507366927330e-001	1.44540912136934e-002,-8.73014733854661e-003
7.73873873873874e+005	2.83278089966575e-001,4.39546150137556e-001	1.43344382006685e-002,-8.79092300275111e-003
7.83783783783784e+005	2.89294353778245e-001,4.42499384490250e-001	1.42141129244351e-002,-8.84998768980500e-003
7.93693693693694e+005	2.95342981973525e-001,4.45366826424661e-001	1.40931403605295e-002,-8.90733652849321e-003
8.03603603603604e+005	3.01422731492906e-001,4.48148252139659e-001	1.39715453701419e-002,-8.96296504279317e-003
8.13513513513514e+005	3.07532365443921e-001,4.50843457220625e-001	1.38493526911216e-002,-9.01686914441249e-003
8.23423423423424e+005	3.13670653542512e-001,4.53452256254258e-001	1.37265869291498e-002,-9.06904512508516e-003
8.33333333333334e+005	3.19836372546202e-001,4.55974482431390e-001	1.36032725490760e-002,-9.11948964862780e-003
8.43243243243244e+005	3.26028306679225e-001,4.58409987137852e-001	1.34794338664155e-002,-9.16819974275705e-003
8.53153153153153e+005	3.32245248049859e-001,4.60758639533416e-001	1.33550950390028e-002,-9.21517279066832e-003
8.63063063063063e+005	3.38485997060211e-001,4.63020326118785e-001	1.32302800587958e-002,-9.26040652237571e-003
8.72972972972973e+005	3.44749362808779e-001,4.65194950290578e-001	1.31050127438244e-002,-9.30389900581156e-003
