Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.55532257608405e-002,1.42118822656051e-001	1.90889354847832e-002,-2.84237645312103e-003
1.09909909909910e+005	4.98781198340690e-002,1.55554382370445e-001	1.90024376033186e-002,-3.11108764740891e-003
1.19819819819820e+005	5.45743535529291e-002,1.68812319472489e-001	1.89085129289414e-002,-3.37624638944977e-003
1.29729729729730e+005	5.96324471041638e-002,1.81879233866607e-001	1.88073510579167e-002,-3.63758467733214e-003
1.39639639639640e+005	6.50423214698315e-002,1.94742347902745e-001	1.86991535706034e-002,-3.89484695805491e-003
1.49549549549550e+005	7.07933464347612e-002,2.07389536850963e-001	1.85841330713048e-002,-4.14779073701927e-003
1.59459459459459e+005	7.68743901395806e-002,2.19809355176768e-001	1.84625121972084e-002,-4.39618710353537e-003
1.69369369369369e+005	8.32738697742253e-002,2.31991058563576e-001	1.83345226045155e-002,-4.63982117127153e-003
1.79279279279279e+005	8.99798030106365e-002,2.43924621671772e-001	1.82004039397873e-002,-4.87849243343543e-003
1.89189189189189e+005	9.69798597822976e-002,2.55600751664944e-001	1.80604028043540e-002,-5.11201503329888e-003
1.99099099099099e+005	1.04261414031745e-001,2.67010897572581e-001	1.79147717193651e-002,-5.34021795145163e-003
2.09009009009009e+005	1.11811595064653e-001,2.78147255594360e-001	1.77637680987069e-002,-5.56294511188721e-003
2.18918918918919e+005	1.19617338170021e-001,2.89002770483872e-001	1.76076532365996e-002,-5.78005540967743e-003
2.28828828828829e+005	1.27665434189818e-001,2.99571133178848e-001	1.74466913162036e-002,-5.99142266357697e-003
2.38738738738739e+005	1.35942577747639e-001,3.09846774870546e-001	1.72811484450472e-002,-6.19693549741092e-003
2.48648648648649e+005	1.44435413873957e-001,3.19824857726691e-001	1.71112917225209e-002,-6.39649715453382e-003
2.58558558558559e+005	1.53130582794874e-001,3.29501262500363e-001	1.69373883441025e-002,-6.59002525000725e-003
2.68468468468468e+005	1.62014762681352e-001,3.38872573271269e-001	1.67597047463730e-002,-6.77745146542539e-003
2.78378378378378e+005	1.71074710186304e-001,3.47936059576232e-001	1.65785057962739e-002,-6.95872119152464e-003
2.88288288288288e+005	1.80297298627155e-001,3.56689656192437e-001	1.63940540274569e-002,-7.13379312384874e-003
2.98198198198198e+005	1.89669553701135e-001,3.65131940840323e-001	1.62066089259773e-002,-7.30263881680646e-003
3.08108108108108e+005	1.99178686649285e-001,3.73262110073097e-001	1.60164262670143e-002,-7.46524220146194e-003
3.18018018018018e+005	2.08812124812657e-001,3.81079953617053e-001	1.58237575037469e-002,-7.62159907234106e-003
3.27927927927928e+005	2.18557539550125e-001,3.88585827421398e-001	1.56288492089975e-002,-7.77171654842796e-003
3.37837837837838e+005	2.28402871511460e-001,3.95780625668498e-001	1.54319425697708e-002,-7.91561251336996e-003
3.47747747747748e+005	2.38336353281655e-001,4.02665751985596e-001	1.52332729343669e-002,-8.05331503971193e-003
3.57657657657657e+005	2.48346529432770e-001,4.09243090087514e-001	1.50330694113446e-002,-8.18486180175028e-003
3.67567567567567e+005	2.58422274037792e-001,4.15514974066860e-001	1.48315545192442e-002,-8.31029948133720e-003
3.77477477477477e+005	2.68552805717061e-001,4.21484158534218e-001	1.46289438856588e-002,-8.42968317068435e-003
3.87387387387387e+005	2.78727700301759e-001,4.27153788795853e-001	1.44254459939648e-002,-8.54307577591706e-003
3.97297297297297e+005	2.88936901210786e-001,4.32527371241058e-001	1.42212619757843e-002,-8.65054742482115e-003
4.07207207207207e+005	2.99170727647162e-001,4.37608744095465e-001	1.40165854470568e-002,-8.75217488190930e-003
4.17117117117117e+005	3.09419880727931e-001,4.42402048680835e-001	1.38116023854414e-002,-8.84804097361670e-003
4.27027027027027e+005	3.19675447667560e-001,4.46911701306087e-001	1.36064910466488e-002,-8.93823402612175e-003
4.36936936936936e+005	3.29928904139087e-001,4.51142365898921e-001	1.34014219172183e-002,-9.02284731797842e-003
4.46846846846846e+005	3.40172114939980e-001,4.55098927472392e-001	1.31965577012004e-002,-9.10197854944785e-003
4.56756756756756e+005	3.50397333090882e-001,4.58786466506404e-001	1.29920533381824e-002,-9.17572933012809e-003
4.66666666666666e+005	3.60597197495356e-001,4.62210234310338e-001	1.27880560500929e-002,-9.24420468620676e-003
4.76576576576576e+005	3.70764729287471e-001,4.65375629420098e-001	1.25847054142506e-002,-9.30751258840197e-003
4.86486486486486e+005	3.80893326991840e-001,4.68288175070699e-001	1.23821334601632e-002,-9.36576350141398e-003
4.96396396396396e+005	3.90976760617537e-001,4.70953497774243e-001	1.21804647876493e-002,-9.41906995548487e-003
