Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	9.96253403237076e-002,1.26078168202781e-001	1.80074931935258e-002,-2.52156336405562e-003
1.09909909909910e+005	1.03286087331744e-001,1.38055246015783e-001	1.79342782533651e-002,-2.76110492031566e-003
1.19819819819820e+005	1.07264633431314e-001,1.49890106976544e-001	1.78547073313737e-002,-2.99780213953088e-003
1.29729729729730e+005	1.11553805873104e-001,1.61571786632172e-001	1.77689238825379e-002,-3.23143573264343e-003
1.39639639639640e+005	1.16145959709369e-001,1.73089766750139e-001	1.76770808058126e-002,-3.46179533500279e-003
1.49549549549550e+005	1.21033010576434e-001,1.84433998975317e-001	1.75793397884713e-002,-3.68867997950633e-003
1.59459459459459e+005	1.26206468704889e-001,1.95594925714190e-001	1.74758706259022e-002,-3.91189851428380e-003
1.69369369369369e+005	1.31657473900681e-001,2.06563498207043e-001	1.73668505219864e-002,-4.13126996414085e-003
1.79279279279279e+005	1.37376831243890e-001,2.17331191768818e-001	1.72524633751222e-002,-4.34662383537635e-003
1.89189189189189e+005	1.43355047256253e-001,2.27890018200640e-001	1.71328990548749e-002,-4.55780036401281e-003
1.99099099099099e+005	1.49582366294336e-001,2.38232535395533e-001	1.70083526741133e-002,-4.76465070791065e-003
2.09009009009009e+005	1.56048806933221e-001,2.48351854183048e-001	1.68790238613356e-002,-4.96703708366095e-003
2.18918918918919e+005	1.62744198115514e-001,2.58241642477742e-001	1.67451160376897e-002,-5.16483284955484e-003
2.28828828828829e+005	1.69658214852345e-001,2.67896126815242e-001	1.66068357029531e-002,-5.35792253630484e-003
2.38738738738739e+005	1.76780413276576e-001,2.77310091376804e-001	1.64643917344685e-002,-5.54620182753608e-003
2.48648648648649e+005	1.84100264863326e-001,2.86478874618567e-001	1.63179947027335e-002,-5.72957749237134e-003
2.58558558558559e+005	1.91607189648975e-001,2.95398363634985e-001	1.61678562070205e-002,-5.90796727269970e-003
2.68468468468468e+005	1.99290588296656e-001,3.04064986397157e-001	1.60141882340669e-002,-6.08129972794314e-003
2.78378378378378e+005	2.07139872873674e-001,3.12475702015916e-001	1.58572025425265e-002,-6.24951404031832e-003
2.88288288288288e+005	2.15144496223990e-001,3.20627989186597e-001	1.56971100755202e-002,-6.41255978373193e-003
2.98198198198198e+005	2.23293979836689e-001,3.28519832977450e-001	1.55341204032662e-002,-6.57039665954900e-003
3.08108108108108e+005	2.31577940128889e-001,3.36149710126780e-001	1.53684411974222e-002,-6.72299420253559e-003
3.18018018018018e+005	2.39986113078777e-001,3.43516573015128e-001	1.52002777384245e-002,-6.87033146030256e-003
3.27927927927928e+005	2.48508377161052e-001,3.50619832478391e-001	1.50298324567790e-002,-7.01239664956782e-003
3.37837837837838e+005	2.57134774552966e-001,3.57459339625713e-001	1.48573045089407e-002,-7.14918679251427e-003
3.47747747747748e+005	2.65855530594170e-001,3.64035366822568e-001	1.46828893881166e-002,-7.28070733645136e-003
3.57657657657657e+005	2.74661071497652e-001,3.70348587994681e-001	1.45067785700470e-002,-7.40697175989362e-003
3.67567567567567e+005	2.83542040322066e-001,3.76400058402658e-001	1.43291591935587e-002,-7.52800116805316e-003
3.77477477477477e+005	2.92489311227622e-001,3.82191194030390e-001	1.41502137754476e-002,-7.64382388060779e-003
3.87387387387387e+005	3.01494002048477e-001,3.87723750722754e-001	1.39701199590305e-002,-7.75447501445507e-003
3.97297297297297e+005	3.10547485224117e-001,3.92999803199957e-001	1.37890502955177e-002,-7.85999606399914e-003
4.07207207207207e+005	3.19641397140600e-001,3.98021724067213e-001	1.36071720571880e-002,-7.96043448134425e-003
4.17117117117117e+005	3.28767645939772e-001,4.02792162929442e-001	1.34246470812046e-002,-8.05584325858883e-003
4.27027027027027e+005	3.37918417860633e-001,4.07314025711502e-001	1.32416316427873e-002,-8.14628051423003e-003
4.36936936936936e+005	3.47086182182070e-001,4.11590454275158e-001	1.30582763563586e-002,-8.23180908550316e-003
4.46846846846846e+005	3.56263694840073e-001,4.15624806414766e-001	1.28747261031985e-002,-8.31249612829532e-003
4.56756756756756e+005	3.65444000795587e-001,4.19420636304483e-001	1.26911199840883e-002,-8.38841272608967e-003
4.66666666666666e+005	3.74620435231160e-001,4.22981675460917e-001	1.25075912953768e-002,-8.45963350921835e-003
4.76576576576576e+005	3.83786623655805e-001,4.26311814276451e-001	1.23242675268839e-002,-8.52623628552902e-003
4.86486486486486e+005	3.92936480997901e-001,4.29415084170190e-001	1.21412703800420e-002,-8.58830168340381e-003
4.96396396396396e+005	4.02064209765728e-001,4.32295640395548e-001	1.19587158046854e-002,-8.64591280791095e-003
5.06306306306306e+005	4.11164297354342e-001,4.34957745535998e-001	1.17767140529132e-002,-8.69915491071996e-003
5.16216216216216e+005	4.20231512576078e-001,4.37405753713508e-001	1.15953697484784e-002,-8.74811507427016e-003
