Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.68981672651872e-002,7.77421848017084e-002	1.96620366546963e-002,-1.55484369603417e-003
1.09909909909910e+005	1.81783622741913e-002,8.53608013629490e-002	1.96364327545162e-002,-1.70721602725898e-003
1.19819819819820e+005	1.95773986931896e-002,9.29553148386228e-002	1.96084520261362e-002,-1.85910629677246e-003
1.29729729729730e+005	2.10947309977691e-002,1.00523612003102e-001	1.95781053800446e-002,-2.01047224006204e-003
1.39639639639640e+005	2.27297687487553e-002,1.08063594943389e-001	1.95454046250249e-002,-2.16127189886779e-003
1.49549549549550e+005	2.44818771151178e-002,1.15573182236617e-001	1.95103624576976e-002,-2.31146364473235e-003
1.59459459459459e+005	2.63503774342723e-002,1.23050310106923e-001	1.94729924513146e-002,-2.46100620213846e-003
1.69369369369369e+005	2.83345478088680e-002,1.30492933560347e-001	1.94333090438226e-002,-2.60985867120694e-003
1.79279279279279e+005	3.04336237390924e-002,1.37899027496436e-001	1.93913275252182e-002,-2.75798054992873e-003
1.89189189189189e+005	3.26467987894755e-002,1.45266587795288e-001	1.93470640242105e-002,-2.90533175590576e-003
1.99099099099099e+005	3.49732252891248e-002,1.52593632378814e-001	1.93005354942175e-002,-3.05187264757628e-003
2.09009009009009e+005	3.74120150642759e-002,1.59878202245065e-001	1.92517596987145e-002,-3.19756404490130e-003
2.18918918918919e+005	3.99622402019991e-002,1.67118362474504e-001	1.92007551959600e-002,-3.34236724949007e-003
2.28828828828829e+005	4.26229338438641e-002,1.74312203207166e-001	1.91475413231227e-002,-3.48624406414332e-003
2.38738738738739e+005	4.53930910083215e-002,1.81457840589725e-001	1.90921381798336e-002,-3.62915681179449e-003
2.48648648648649e+005	4.82716694405318e-002,1.88553417691502e-001	1.90345666111894e-002,-3.77106835383003e-003
2.58558558558559e+005	5.12575904883340e-002,1.95597105388568e-001	1.89748481902333e-002,-3.91194210777136e-003
2.68468468468468e+005	5.43497400030232e-002,2.02587103215097e-001	1.89130051999395e-002,-4.05174206430193e-003
2.78378378378378e+005	5.75469692635751e-002,2.09521640181229e-001	1.88490606147285e-002,-4.19043280362458e-003
2.88288288288288e+005	6.08480959229403e-002,2.16398975556750e-001	1.87830380815412e-002,-4.32797951113501e-003
2.98198198198198e+005	6.42519049750041e-002,2.23217399619952e-001	1.87149619004999e-002,-4.46434799239904e-003
3.08108108108108e+005	6.77571497407989e-002,2.29975234371116e-001	1.86448570051840e-002,-4.59950468742232e-003
3.18018018018018e+005	7.13625528725398e-002,2.36670834210115e-001	1.85727489425492e-002,-4.73341668420229e-003
3.27927927927928e+005	7.50668073740442e-002,2.43302586577695e-001	1.84986638525191e-002,-4.86605173155389e-003
3.37837837837838e+005	7.88685776360945e-002,2.49868912560069e-001	1.84226284472781e-002,-4.99737825120139e-003
3.47747747747748e+005	8.27665004852924e-002,2.56368267456508e-001	1.83446699902942e-002,-5.12736534913015e-003
3.57657657657657e+005	8.67591862449633e-002,2.62799141309677e-001	1.82648162751007e-002,-5.25598282619353e-003
3.67567567567567e+005	9.08452198066614e-002,2.69160059398549e-001	1.81830956038668e-002,-5.38320118797098e-003
3.77477477477477e+005	9.50231617108420e-002,2.75449582693755e-001	1.80995367657832e-002,-5.50899165387510e-003
3.87387387387387e+005	9.92915492352698e-002,2.81666308275316e-001	1.80141690152946e-002,-5.63332616550632e-003
3.97297297297297e+005	1.03648897489747e-001,2.87808869712757e-001	1.79270220502050e-002,-5.75617739425513e-003
4.07207207207207e+005	1.08093700515761e-001,2.93875937407648e-001	1.78381259896848e-002,-5.87751874815295e-003
4.17117117117117e+005	1.12624432389660e-001,2.99866218898698e-001	1.77475113522068e-002,-5.99732437797395e-003
4.27027027027027e+005	1.17239548328000e-001,3.05778459129557e-001	1.76552090334400e-002,-6.11556918259114e-003
4.36936936936936e+005	1.21937485793714e-001,3.11611440679556e-001	1.75612502841257e-002,-6.23222881359112e-003
4.46846846846846e+005	1.26716665601787e-001,3.17363983957650e-001	1.74656666879643e-002,-6.34727967915301e-003
4.56756756756756e+005	1.31575493023147e-001,3.23034947359898e-001	1.73684901395371e-002,-6.46069894719797e-003
4.66666666666666e+005	1.36512358885501e-001,3.28623227390843e-001	1.72697528222900e-002,-6.57246454781685e-003
4.76576576576576e+005	1.41525640669900e-001,3.34127758749214e-001	1.71694871866020e-002,-6.68255517498428e-003
