Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.62021247541489e-002,1.43694265123152e-001	1.90759575049170e-002,-2.87388530246304e-003
1.09909909909910e+005	5.06233437708962e-002,1.57261877084158e-001	1.89875331245821e-002,-3.14523754168316e-003
1.19819819819820e+005	5.54230887602475e-002,1.70645529585905e-001	1.88915382247951e-002,-3.41291059171811e-003
1.29729729729730e+005	6.05914122166227e-002,1.83831417299431e-001	1.87881717556675e-002,-3.67662834598863e-003
1.39639639639640e+005	6.61177434816891e-002,1.96806397348332e-001	1.86776451303662e-002,-3.93612794696664e-003
1.49549549549550e+005	7.19909406558752e-002,2.09558020791471e-001	1.85601811868825e-002,-4.19116041582942e-003
1.59459459459459e+005	7.81993439869771e-002,2.22074559627950e-001	1.84360131202605e-002,-4.44149119255900e-003
1.69369369369369e+005	8.47308303409371e-002,2.34345029243492e-001	1.83053833931813e-002,-4.68690058486984e-003
1.79279279279279e+005	9.15728683420641e-002,2.46359206276757e-001	1.81685426331587e-002,-4.92718412553515e-003
1.89189189189189e+005	9.87125737691997e-002,2.58107641936600e-001	1.80257485246160e-002,-5.16215283873200e-003
1.99099099099099e+005	1.06136764804115e-001,2.69581670848180e-001	1.78772647039177e-002,-5.39163341696360e-003
2.09009009009009e+005	1.13832016745411e-001,2.80773415547778e-001	1.77233596650918e-002,-5.61546831095557e-003
2.18918918918919e+005	1.21784715823460e-001,2.91675786783404e-001	1.75643056835308e-002,-5.83351573566807e-003
2.28828828828829e+005	1.29981111778083e-001,3.02282479810907e-001	1.74003777644383e-002,-6.04564959621813e-003
2.38738738738739e+005	1.38407368889888e-001,3.12587966903383e-001	1.72318526222022e-002,-6.25175933806766e-003
2.48648648648649e+005	1.47049615187470e-001,3.22587486315107e-001	1.70590076962506e-002,-6.45174972630215e-003
2.58558558558559e+005	1.55893989585452e-001,3.32277027960230e-001	1.68821202082910e-002,-6.64554055920459e-003
2.68468468468468e+005	1.64926686741919e-001,3.41653316081006e-001	1.67014662651616e-002,-6.83306632162012e-003
2.78378378378378e+005	1.74133999457538e-001,3.50713789190625e-001	1.65173200108492e-002,-7.01427578381250e-003
2.88288288288288e+005	1.83502358472154e-001,3.59456577581903e-001	1.63299528305569e-002,-7.18913155163806e-003
2.98198198198198e+005	1.93018369547307e-001,3.67880478695532e-001	1.61396326090539e-002,-7.35760957391064e-003
3.08108108108108e+005	2.02668847754628e-001,3.75984930640426e-001	1.59466230449074e-002,-7.51969861280853e-003
3.18018018018018e+005	2.12440848920037e-001,3.83769984154379e-001	1.57511830215993e-002,-7.67539968308758e-003
3.27927927927928e+005	2.22321698201835e-001,3.91236273286038e-001	1.55535660359633e-002,-7.82472546572076e-003
3.37837837837838e+005	2.32299015806862e-001,3.98384985069493e-001	1.53540196838628e-002,-7.96769970138985e-003
3.47747747747748e+005	2.42360739872812e-001,4.05217828450892e-001	1.51527852025438e-002,-8.10435656901785e-003
3.57657657657657e+005	2.52495146566349e-001,4.11737002712875e-001	1.49500970686730e-002,-8.23474005425751e-003
3.67567567567567e+005	2.62690867465839e-001,4.17945165627490e-001	1.47461826506832e-002,-8.35890331254980e-003
3.77477477477477e+005	2.72936904314239e-001,4.23845401552109e-001	1.45412619137152e-002,-8.47690803104218e-003
3.87387387387387e+005	2.83222641242074e-001,4.29441189665870e-001	1.43355471751585e-002,-8.58882379331740e-003
3.97297297297297e+005	2.93537854572388e-001,4.34736372526732e-001	1.41292429085522e-002,-8.69472745053465e-003
4.07207207207207e+005	3.03872720329354e-001,4.39735125111584e-001	1.39225455934129e-002,-8.79470250223168e-003
4.17117117117117e+005	3.14217819579802e-001,4.44441924484203e-001	1.37156436084040e-002,-8.88883848968407e-003
4.27027027027027e+005	3.24564141742522e-001,4.48861520218519e-001	1.35087171651496e-002,-8.97723040437038e-003
4.36936936936936e+005	3.34903086003940e-001,4.52998905687661e-001	1.33019382799212e-002,-9.05997811375323e-003
4.46846846846846e+005	3.45226460980742e-001,4.56859290312962e-001	1.30954707803852e-002,-9.13718580625925e-003
4.56756756756756e+005	3.55526482770533e-001,4.60448072851440e-001	1.28894703445893e-002,-9.20896145702880e-003
4.66666666666666e+005	3.65795771530648e-001,4.63770815785510e-001	1.26840845693870e-002,-9.27541631571021e-003
4.76576576576576e+005	3.76027346723145e-001,4.66833220864802e-001	1.24794530655371e-002,-9.33666441729604e-003
4.86486486486486e+005	3.86214621160777e-001,4.69641105837015e-001	1.22757075767845e-002,-9.39282211674030e-003
4.96396396396396e+005	3.96351393984695e-001,4.72200382392883e-001	1.20729721203061e-002,-9.44400764785766e-003
5.06306306306306e+005	4.06431842699763e-001,4.74517035339379e-001	1.18713631460047e-002,-9.49034070678758e-003
5.16216216216216e+005	4.16450514387940e-001,4.76597103005470e-001	1.16709897122412e-002,-9.53194206010940e-003
