"Current Input (4,4,2,B)"				
Node	Amp V1 [mV]	Phase V1 [¡]	Amp V2 [mV]	Phase V2 [¡]
J1	175	-11	37.8	-16.5
J2	193	-6.8	45.6	43.3
J3	192	-2.1	62.6	-116.7
J4	180	-8.4	3.16	-95.6
J5	168	-5	54	104
J6	177	-9.8	26.4	158.9
J7	180	-7.4	25	69.9
J8	178	-8.5	6.81	-26.3
J9	179	-8	15.6	63.7
J10	178	-8.4	3.52	-80.8
J11	171	-4.5	50	-84.7
J12	172	-7.1	34.9	-72.5
J13	179	-8.3	9.83	-123.6
J14	178	-8.4	3.66	114.6
J15	174	-3.4	54.1	86.5
J16	173	-7.4	31.7	108.5
J17	178	-7.7	18.9	78.9
J18	178	-7.7	17.3	78.6
J19	178	-8.4	1.12	-7.4
J20	178	-8.3	3.01	-99
J21	178	-7.6	20.7	-103.9
J22	178	-7.9	14.7	-100.6
J23	178	-8.3	1.93	94.5
J24	178	-8.3	0.76	165.9
J25	178	-8.3	1.55	19
J26	178	-8.3	1.1	15.3
J27	175	-8	21.8	-61.4
J28	174	-8	23.8	-62.8
J29	178	-8	0.74	106.2
J30	177	-8.2	3.37	113.4
J31	175	-8	23.5	117.6
J32	174	-7.9	24.8	116.1
J33	171	-3.7	29.5	99.1
J34	173	-3.9	26	93.1
J35	174	-5.1	4.03	142.7
J36	174	-5	4.08	-74.3
J37	170	-3.3	34	-80.8
J38	171	-3.5	31.5	-82.4
J39	173	-5	0.19	102
J40	173	-5	2.72	116.1
J41	173	-5	0.72	-37
J42	173	-5	0.9	114.2
J43	173	-5	9.42	120.1
J44	173	-4.9	12	115
J45	173	-5	0.17	-17.4
J46	173	-5	0.77	-43.3
J47	173	-5	9.19	-56.9
J48	173	-4.9	11.1	-63.5
J49	174	-4.1	20.8	79.5
J50	174	-4.6	14.1	71.1
J51	173	-5	2.86	-83.1
J52	173	-5	0.64	-4.2
J53	173	-4.2	20.1	-98.8
J54	174	-3.9	23.1	-107.7
J55	173	-5	5.05	99.2
J56	175	-4.9	3.4	66
J57	173	-4.2	23.2	77.1
J58	172	-5.2	1.05	-88.8
J59	167	-4	34.3	111.1
J60	170	-2.7	35.8	90.3
J61	173	-5.2	9.33	28
J62	172	-5.2	2.85	-88.6
J63	168	-3.2	37.7	-79.7
J64	171	-5.1	12.7	-58.3
J65	168	-2.9	23.1	-77.3
J66	168	-0.5	41	-92.4
J67	170	-3.6	6.25	91.3
J68	170	-3.4	13.2	-109.1
J69	168	-2.9	22.4	100.8
J70	173	0.8	49	75.3
J71	170	-3.7	3.06	-156.7
J72	172	-2.4	27	-109.1
J73	170	-3.7	3.49	-105.3
J74	170	-3.7	3.84	83.1
J75	170	-3.5	10.4	-113.5
J76	171	-3	19.7	-110.3
J77	170	-3.7	0.69	66.7
J78	170	-3.7	4	58.4
J79	171	-2.8	20.7	68.8
J80	107	-3	19.5	79
J81	169	-3.5	13.5	-72.6
J82	169	-3.6	10.4	-69.8
J83	170	-3.7	0.68	-21
J84	10	-3.7	1.84	-100.9
J85	169	-3.6	11.4	104.9
J86	169	-3.6	10.7	108
J87	170	-3.7	1.59	135.8
J88	170	-3.7	1.21	-119
J89	170	-3.7	1.58	-161.1
J90	170	-3.7	5.49	116
J91	169	-2	31.3	-88
J92	168	-1.9	32.9	-86.4
J93	170	-3.7	1.81	21.7
J94	170	-3.7	5.51	-57.4
J95	168	-1.4	35.8	89.7
J96	168	-1.3	37.2	91.2
J97	167	1.3	25.3	99.9
J98	167	1	23.2	100.1
J99	168	0.2	5.07	-96.6
J100	168	0.2	2.58	160.4
J101	167	1.6	29.1	-83.1
J102	167	1.4	28.8	-82.4
J103	168	0.2	2.53	-87.6
J104	168	0.2	3.16	109.6
J105	168	0.2	2.69	110.2
J106	168	0.2	1.63	123
J107	171	0.8	23.8	-121.8
J108	170	0.4	16.1	-121
J109	169	0.2	3.81	27.7
J110	168	0.2	4.45	-93.3
J111	170	0.3	16.3	48.8
J112	170	0.6	20.2	56.2
J113	172	4.5	46.9	76.8
J114	167	2.2	34.2	95.1
J115	168	0.2	2.66	-151
J116	170	1.2	26.4	68.5
J117	168	2.2	31.4	-93.8
J118	172	4.4	49.4	-103.6
J119	168	0.2	2.67	-64.8
J120	1.69	0.2	5.55	-117.5
J121	168	0.2	2.65	166.3
J122	197	6.8	76.3	-126
J123	168	-0.5	18.7	172
J124	167	4.4	49.6	89.1
J125	168	0.2	2.7	3
J126	171	1.3	28	64.3
J127	165	0.5	26	-59.5
J128	178	8.2	71.3	-109.1
"Current Input (4,4,2,A)"				
Node	Amp V1 [mV]	Phase V1 [¡]	Amp V2 [mV]	Phase V2 [¡]
J1	225	-12.1	37.4	64.5
J2	216	-17.5	51	-22.7
J3	221	-14	2.17	-104.6
J4	220	-11.8	35	78.8
J5	223	-14.1	15.5	-155.1
J6	203	-16.2	64	134.4
J7	221	-14	4.05	120.1
J8	220	-13.7	18	-76.7
J9	221	-14	0.26	-124
J10	221	-13.9	9.04	-99.2
J11	217	-14.2	26.6	-49.4
J12	203	-13.6	59.6	-62.1
J13	221	-14	1.82	-80
J14	221	-14	5.18	89.3
J15	219	-14.2	21.3	130.9
J16	203	-13.2	59.2	115.3
J17	221	-13.9	10.6	89.4
J18	219	-13.6	23	104.6
J19	221	-14	0.63	69.8
J20	221	-14	0.5	-77
J21	221	-13.9	8.88	-94
J22	219	-13.5	23.3	-76.8
J23	222	-14	1.11	-116.8
J24	221	-14	2.05	-84.5
J25	221	-14	0.69	88
J26	221	-14	0.73	176.1
J27	219	-14.4	22.2	-39.5
J28	220	-14.3	18.9	-36.8
J29	221	-14	1.91	-12.3
J30	221	-14	1.03	113.9
J31	219	-14.4	23.7	140.1
J32	219	-14.3	19.9	140.3
J33	204	-13.8	31.4	121.2
J34	205	-13.6	26.3	114.4
J35	209	-14	4.58	150.6
J36	209	-14	1.45	-52.8
J37	202	-13.7	35.7	-59.5
J38	204	-13.7	29.9	-70
J39	209	-14	2.22	-66.9
J40	209	-14	0.64	-141.7
J41	209	-14	1.78	-46.1
J42	209	-14	0.96	-130.2
J43	208	-14.1	13.1	138.9
J44	209	-14.1	9.44	145.2
J45	209	-14	1.75	101.9
J46	209	-14	1.86	71.2
J47	208	-14.1	12.8	-39.3
J48	208	-14.1	9.36	-35.4
J49	209	-13.8	12.3	88
J50	207	-13.2	22.6	95.8
J51	209	-14	1.07	3.7
J52	209	-14	0.5	171.2
J53	208	-13.5	18.9	-92.3
J54	206	-13.1	26.2	-83.5
J55	209	-14	3.15	112.6
J56	209	-14	2.17	83.5
J57	209	-14	1.85	-174.4
J58	208	-13.7	14.2	-87.2
J59	204	-13.3	28.8	109.1
J60	196	-13.3	49.4	117.1
J61	209	-14	5.16	-57
J62	209	-13.9	10.2	-100.5
J63	207	-14.1	18.1	-47.2
J64	198	-13.1	43.8	-64.5
J65	194	-12.4	51.8	-67.8
J66	206	-13.8	19.1	-55.1
J67	206	-13.6	14.6	103.9
J68	208	-13.8	0.99	-106
J69	191	-11.3	58.7	106.1
J70	205	-13.8	21.7	121.3
J71	207	-13.7	9.19	86.3
J72	207	-13.8	8.61	-55.3
J73	207	-13.8	5.4	59.3
J74	208	-13.8	3.12	113.6
J75	206	-13.1	21.5	-88.7
J76	208	-13.7	9.32	-99.8
J77	208	-13.8	2.96	123.9
J78	208	-13.8	1.39	177.5
J79	205	-12.7	28.6	93.4
J80	207	-13.4	16	87.4
J81	207	-13.9	9.96	-38.7
J82	207	-13.9	14.1	-45.9
J83	208	-13.8	1.21	-25.1
J84	208	-13.8	1.49	-84.8
J85	207	-13.9	8.9	132.6
J86	207	-13.9	13.9	132.3
J87	207	-13.8	1.99	-171.3
J88	208	-13.8	2.38	-87.3
J89	208	-13.8	1.93	-80.6
J90	208	-13.8	3.35	126.9
J91	204	-13.3	28.9	-66.8
J92	202	-13.3	35.3	-63.9
J93	208	-13.8	2.74	96.2
J94	208	-13.8	2.73	-34.9
J95	202	-13.1	33.8	111.8
J96	200	-13	39.5	113.1
J97	194	-13.5	23.9	124.1
J98	193	-13.5	26.3	124.3
J99	197	-13.6	1.48	-31.9
J100	197	-13.6	5.12	122.9
J101	193	-13.4	28.7	-60
J102	192	-13.3	33.1	-60.4
J103	197	-13.6	3.32	-69.5
J104	197	-13.6	2.74	138.9
J105	197	-13.6	0.59	170.4
J106	197	-13.6	1.17	56.6
J107	196	-12.8	23.3	-93.4
J108	197	-13.1	18.4	-107.2
J109	197	-13.6	3.07	78.7
J110	197	-13.6	2.05	-79.1
J111	197	-12.7	24.5	81.5
J112	198	-13.4	13.5	61.5
J113	182	-11.1	56.1	107.2
J114	190	-11.5	42	99.9
J115	196	-13.1	16.5	-94.5
J116	197	-13.6	3.71	110.6
J117	182	-9.4	62.1	-80.6
J118	193	-12.8	28.2	-73.7
J119	197	-13.6	2.74	23.8
J120	197	-13.6	1.94	79.7
J121	194	-6.9	60	77.2
J122	197	-13.6	4.29	-55.1
J123	176	-12.6	65.4	118.9
J124	198	-13.9	16.3	-166.5
J125	196	-12.9	20.7	-91.6
J126	197	-13.6	2.16	161.8
J127	168	-7.8	84.7	-76.1
J128	194	-14.1	25.4	-38.3
