"Current Input (4,4,2,B)"					
Node	Amp V1 [mV]	Phase V1 [°]	Amp V2 [mV]	Phase V2 [°]	
J1	165	0.2	142	-0.7	J1
J2	172	7.6	204	69.6	J2
J3	184	6.1	235	-133.8	J3
J4	165	2.7	9.4	134.1	J4
J5	181	0.9	198	-151.4	J5
J6	163	2.3	74.5	-22.9	J6
J7	164	3.4	44.9	81.7	J7
J8	164	3.2	21.1	-173.6	J8
J9	166	3.2	59.8	59	J9
J10	164	3.4	8.5	47.3	J10
J11	177	4	183	42	J11
J12	168	2.8	85.2	-137	J12
J13	164	3.1	10.6	-90.5	J13
J14	164	3.3	2.9	-33.7	J14
J15	179	3.9	195	-138.9	J15
J16	167	3.4	83.2	41.6	J16
J17	165	4.4	90.4	-105.9	J17
J18	163	4	52	104.3	J18
J19	161	3.7	10.1	-102.7	J19
J20	161	3.8	2.6	29	J20
J21	163	4.4	91.4	71.5	J21
J22	163	3.1	40.8	-69.6	J22
J23	162	3.3	21.1	68.8	J23
J24	162	3.4	7.9	-120.9	J24
J25	162	3.6	4.38	90.6	J25
J26	161	3.9	8.28	47.1	J26
J27	164	3.3	87.6	27.9	J27
J28	166	3	119	-152.1	J28
J29	162	3.8	7.25	27.2	J29
J30	163	3.3	11.9	30.7	J30
J31	164	3.3	83.7	-152.7	J31
J32	166	3.1	113	25.9	J32
J33	171	3.3	146	-138.2	J1
J34	177	2.4	184	33.5	J2
J35	163	3.5	17.5	-126.8	J3
J36	163	3.6	5.3	163.8	J4
J37	170	3.6	136	42.2	J5
J38	176	2.6	177	-146.2	J6
J39	163	3.6	29	46.8	J7
J40	163	3.5	12.8	12.3	J8
J41	163	3.6	10.3	63.6	J9
J42	163	3.5	6.6	-132.7	J10
J43	167	3.2	107	-143.7	J11
J44	169	2.8	125	32.6	J12
J45	163	3.6	15.2	-130.1	J13
J46	163	3.6	2.9	113	J14
J47	168	3.2	112	35.3	J15
J48	169	2.8	127	-147.9	J16
J49	166	4.2	98.2	-121.8	J17
J50	164	4	54.6	69.8	J18
J51	163	3.6	5.7	-85.2	J19
J52	163.00	3.60	3.40	79.70	J20
J53	167.00	3.80	94.40	59.50	J21
J54	166.00	4.00	83.00	-113.00	J22
J55	163.00	3.50	12.00	69.10	J23
J56	163.00	3.60	8.60	74.40	J24
J57	165.00	3.40	63.90	58.80	J25
J58	164.00	3.10	9.80	-139.60	J26
J59	178.00	2.40	187.00	-145.10	J27
J60	176.00	3.50	170.00	40.00	J28
