Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.66664936894813e-002,6.84858818364170e-002	1.96666701262104e-002,-1.36971763672834e-003
1.09909909909910e+005	1.76648793129236e-002,7.52217355390090e-002	1.96467024137415e-002,-1.50443471078018e-003
1.19819819819820e+005	1.87567711840548e-002,8.19431585909971e-002	1.96248645763189e-002,-1.63886317181994e-003
1.29729729729730e+005	1.99419636784752e-002,8.86488614665219e-002	1.96011607264305e-002,-1.77297722933044e-003
1.39639639639640e+005	2.12202336344392e-002,9.53375576343915e-002	1.95755953273112e-002,-1.90675115268783e-003
1.49549549549550e+005	2.25913404033373e-002,1.02007963802725e-001	1.95481731919333e-002,-2.04015927605451e-003
1.59459459459459e+005	2.40550259042524e-002,1.08658800162857e-001	1.95188994819150e-002,-2.17317600325714e-003
1.69369369369369e+005	2.56110146826047e-002,1.15288790632434e-001	1.94877797063479e-002,-2.30577581264868e-003
1.79279279279279e+005	2.72590139728996e-002,1.21896663097650e-001	1.94548197205420e-002,-2.43793326195299e-003
1.89189189189189e+005	2.89987137655970e-002,1.28481149654538e-001	1.94200257246881e-002,-2.56962299309076e-003
1.99099099099099e+005	3.08297868781167e-002,1.35040986849269e-001	1.93834042624377e-002,-2.70081973698538e-003
2.09009009009009e+005	3.27518890300011e-002,1.41574915917373e-001	1.93449622194000e-002,-2.83149831834745e-003
2.18918918918919e+005	3.47646589222507e-002,1.48081683021814e-001	1.93047068215550e-002,-2.96163366043628e-003
2.28828828828829e+005	3.68677183208559e-002,1.54560039489859e-001	1.92626456335829e-002,-3.09120078979717e-003
2.38738738738739e+005	3.90606721445431e-002,1.61008742048641e-001	1.92187865571091e-002,-3.22017484097281e-003
2.48648648648649e+005	4.13431085567586e-002,1.67426553059362e-001	1.91731378288648e-002,-3.34853106118724e-003
2.58558558558559e+005	4.37145990619110e-002,1.73812240750042e-001	1.91257080187618e-002,-3.47624481500085e-003
2.68468468468468e+005	4.61746986058974e-002,1.80164579446735e-001	1.90765060278821e-002,-3.60329158893470e-003
2.78378378378378e+005	4.87229456809352e-002,1.86482349803128e-001	1.90255410863813e-002,-3.72964699606255e-003
2.88288288288288e+005	5.13588624347257e-002,1.92764339028435e-001	1.89728227513055e-002,-3.85528678056870e-003
2.98198198198198e+005	5.40819547839753e-002,1.99009341113498e-001	1.89183609043205e-002,-3.98018682226996e-003
3.08108108108108e+005	5.68917125322997e-002,2.05216157054996e-001	1.88621657493540e-002,-4.10432314109991e-003
3.18018018018018e+005	5.97876094925386e-002,2.11383595077669e-001	1.88042478101492e-002,-4.22767190155338e-003
3.27927927927928e+005	6.27691036135102e-002,2.17510470854466e-001	1.87446179277298e-002,-4.35020941708931e-003
3.37837837837838e+005	6.58356371112319e-002,2.23595607724492e-001	1.86832872577754e-002,-4.47191215448984e-003
3.47747747747748e+005	6.89866366046400e-002,2.29637836908681e-001	1.86202672679072e-002,-4.59275673817362e-003
3.57657657657657e+005	7.22215132558363e-002,2.35635997723050e-001	1.85555697348833e-002,-4.71271995446099e-003
3.67567567567567e+005	7.55396629148953e-002,2.41588937789451e-001	1.84892067417021e-002,-4.83177875578902e-003
3.77477477477477e+005	7.89404662692635e-002,2.47495513243687e-001	1.84211906746147e-002,-4.94991026487374e-003
3.87387387387387e+005	8.24232889977853e-002,2.53354588940873e-001	1.83515342200443e-002,-5.06709177881745e-003
3.97297297297297e+005	8.59874819293897e-002,2.59165038657924e-001	1.82802503614122e-002,-5.18330077315849e-003
4.07207207207207e+005	8.96323812064745e-002,2.64925745293036e-001	1.82073523758705e-002,-5.29851490586073e-003
4.17117117117117e+005	9.33573084530264e-002,2.70635601062024e-001	1.81328538309395e-002,-5.41271202124047e-003
4.27027027027027e+005	9.71615709475142e-002,2.76293507691378e-001	1.80567685810497e-002,-5.52587015382756e-003
4.36936936936936e+005	1.01044461800598e-001,2.81898376607907e-001	1.79791107639880e-002,-5.63796753215815e-003
4.46846846846846e+005	1.05005260137695e-001,2.87449129124801e-001	1.78998947972461e-002,-5.74898258249603e-003
4.56756756756756e+005	1.09043231286451e-001,2.92944696623968e-001	1.78191353742710e-002,-5.85889393247936e-003
4.66666666666666e+005	1.13157626969155e-001,2.98384020734488e-001	1.77368474606169e-002,-5.96768041468977e-003
4.76576576576576e+005	1.17347685500161e-001,3.03766053507015e-001	1.76530462899968e-002,-6.07532107014030e-003
4.86486486486486e+005	1.21612631988355e-001,3.09089757583948e-001	1.75677473602329e-002,-6.18179515167896e-003
4.96396396396396e+005	1.25951678544729e-001,3.14354106365203e-001	1.74809664291054e-002,-6.28708212730406e-003
5.06306306306306e+005	1.30364024495126e-001,3.19558084169391e-001	1.73927195100975e-002,-6.39116168338782e-003
5.16216216216216e+005	1.34848856598210e-001,3.24700686390209e-001	1.73030228680358e-002,-6.49401372780418e-003
5.26126126126125e+005	1.39405349268729e-001,3.29780919647844e-001	1.72118930146254e-002,-6.59561839295688e-003
5.36036036036035e+005	1.44032664806152e-001,3.34797801935176e-001	1.71193467038770e-002,-6.69595603870352e-003
5.45945945945945e+005	1.48729953628744e-001,3.39750362758561e-001	1.70254009274251e-002,-6.79500725517123e-003
5.55855855855855e+005	1.53496354513180e-001,3.44637643272967e-001	1.69300729097364e-002,-6.89275286545934e-003
5.65765765765765e+005	1.58330994839764e-001,3.49458696411209e-001	1.68333801032047e-002,-6.98917392822417e-003
5.75675675675675e+005	1.63232990843376e-001,3.54212587007050e-001	1.67353401831325e-002,-7.08425174014099e-003
5.85585585585585e+005	1.68201447870237e-001,3.58898391911888e-001	1.66359710425953e-002,-7.17796783823776e-003
5.95495495495495e+005	1.73235460640609e-001,3.63515200104758e-001	1.65352907871878e-002,-7.27030400209516e-003
6.05405405405405e+005	1.78334113517561e-001,3.68062112795353e-001	1.64333177296488e-002,-7.36124225590705e-003
6.15315315315315e+005	1.83496480781939e-001,3.72538243519758e-001	1.63300703843612e-002,-7.45076487039516e-003
6.25225225225225e+005	1.88721626913674e-001,3.76942718228581e-001	1.62255674617265e-002,-7.53885436457162e-003
6.35135135135135e+005	1.94008606879621e-001,3.81274675367117e-001	1.61198278624076e-002,-7.62549350734235e-003
6.45045045045045e+005	1.99356466428079e-001,3.85533265947209e-001	1.60128706714384e-002,-7.71066531894418e-003
6.54954954954955e+005	2.04764242390208e-001,3.89717653610397e-001	1.59047151521958e-002,-7.79435307220794e-003
6.64864864864865e+005	2.10230962988563e-001,3.93827014681970e-001	1.57953807402287e-002,-7.87654029363940e-003
6.74774774774775e+005	2.15755648152966e-001,3.97860538215470e-001	1.56848870369407e-002,-7.95721076430941e-003
6.84684684684685e+005	2.21337309844003e-001,4.01817426027193e-001	1.55732538031199e-002,-8.03634852054386e-003
6.94594594594594e+005	2.26974952384421e-001,4.05696892720195e-001	1.54605009523116e-002,-8.11393785440389e-003
7.04504504504504e+005	2.32667572798756e-001,4.09498165697278e-001	1.53466485440249e-002,-8.18996331394556e-003
7.14414414414414e+005	2.38414161161539e-001,4.13220485162381e-001	1.52317167767692e-002,-8.26440970324762e-003
7.24324324324324e+005	2.44213700954490e-001,4.16863104109785e-001	1.51157259809102e-002,-8.33726208219569e-003
7.34234234234234e+005	2.50065169433116e-001,4.20425288300461e-001	1.49986966113377e-002,-8.40850576600922e-003
7.44144144144144e+005	2.55967538003210e-001,4.23906316224882e-001	1.48806492399358e-002,-8.47812632449764e-003
7.54054054054054e+005	2.61919772607780e-001,4.27305479051514e-001	1.47616045478444e-002,-8.54610958103029e-003
7.63963963963964e+005	2.67920834125006e-001,4.30622080560184e-001	1.46415833174999e-002,-8.61244161120368e-003
7.73873873873874e+005	2.73969678777889e-001,4.33855437059423e-001	1.45206064244422e-002,-8.67710874118846e-003
7.83783783783784e+005	2.80065258556309e-001,4.37004877286820e-001	1.43986948288738e-002,-8.74009754573641e-003
7.93693693693694e+005	2.86206521652332e-001,4.40069742291332e-001	1.42758695669534e-002,-8.80139484582664e-003
8.03603603603604e+005	2.92392412909662e-001,4.43049385296390e-001	1.41521517418068e-002,-8.86098770592781e-003
8.13513513513514e+005	2.98621874288242e-001,4.45943171542560e-001	1.40275625142352e-002,-8.91886343085119e-003
