Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.55719294798119e-002,1.41660361915605e-001	1.90885614104038e-002,-2.83320723831210e-003
1.09909909909910e+005	4.98699984373413e-002,1.55056977527599e-001	1.90026000312532e-002,-3.10113955055197e-003
1.19819819819820e+005	5.45373824373036e-002,1.68277699564782e-001	1.89092523512539e-002,-3.36555399129563e-003
1.29729729729730e+005	5.95647276166449e-002,1.81309238728226e-001	1.88087054476671e-002,-3.62618477456452e-003
1.39639639639640e+005	6.49420872607758e-002,1.94138917750973e-001	1.87011582547845e-002,-3.88277835501947e-003
1.49549549549550e+005	7.06589688474027e-002,2.06754701533917e-001	1.85868206230519e-002,-4.13509403067835e-003
1.59459459459459e+005	7.67043826271299e-002,2.19145223174673e-001	1.84659123474574e-002,-4.38290446349345e-003
1.69369369369369e+005	8.30668913441126e-002,2.31299805836201e-001	1.83386621731177e-002,-4.62599611672402e-003
1.79279279279279e+005	8.97346607043657e-002,2.43208480443384e-001	1.82053067859127e-002,-4.86416960886768e-003
1.89189189189189e+005	9.66955102082192e-002,2.54861999235440e-001	1.80660897958356e-002,-5.09723998470880e-003
1.99099099099099e+005	1.03936963976484e-001,2.66251845239623e-001	1.79212607204703e-002,-5.32503690479246e-003
2.09009009009009e+005	1.11446301216742e-001,2.77370237766531e-001	1.77710739756652e-002,-5.54740475533061e-003
2.18918918918919e+005	1.19210605996346e-001,2.88210134059216e-001	1.76157878800731e-002,-5.76420268118432e-003
2.28828828828829e+005	1.27216816011666e-001,2.98765227256899e-001	1.74556636797667e-002,-5.97530454513799e-003
2.38738738738739e+005	1.35451770068456e-001,3.09029940859136e-001	1.72909645986309e-002,-6.18059881718272e-003
2.48648648648649e+005	1.43902254015255e-001,3.18999419897718e-001	1.71219549196949e-002,-6.37998839795436e-003
2.58558558558559e+005	1.52555044900136e-001,3.28669519041322e-001	1.69488991019973e-002,-6.57339038082643e-003
2.68468468468468e+005	1.61396953150262e-001,3.38036787871894e-001	1.67720609369948e-002,-6.76073575743788e-003
2.78378378378378e+005	1.70414862603208e-001,3.47098453582186e-001	1.65917027479358e-002,-6.94196907164371e-003
2.88288288288288e+005	1.79595768248356e-001,3.55852401350682e-001	1.64080846350329e-002,-7.11704802701364e-003
2.98198198198198e+005	1.88926811565545e-001,3.64297152653756e-001	1.62214637686891e-002,-7.28594305307512e-003
3.08108108108108e+005	1.98395313376140e-001,3.72431841775274e-001	1.60320937324772e-002,-7.44863683550549e-003
3.18018018018018e+005	2.07988804148502e-001,3.80256190771477e-001	1.58402239170300e-002,-7.60512381542954e-003
3.27927927927928e+005	2.17695051725194e-001,3.87770483143905e-001	1.56460989654961e-002,-7.75540966287810e-003
3.37837837837838e+005	2.27502086463010e-001,3.94975536465848e-001	1.54499582707398e-002,-7.89951072931696e-003
3.47747747747748e+005	2.37398223798772e-001,4.01872674198446e-001	1.52520355240246e-002,-8.03745348396891e-003
3.57657657657657e+005	2.47372084273837e-001,4.08463696921548e-001	1.50525583145233e-002,-8.16927393843096e-003
3.67567567567567e+005	2.57412611068148e-001,4.14750853192036e-001	1.48517477786370e-002,-8.29501706384072e-003
3.77477477477477e+005	2.67509085110571e-001,4.20736810228745e-001	1.46498182977886e-002,-8.41473620457490e-003
3.87387387387387e+005	2.77651137846048e-001,4.26424624608794e-001	1.44469772430790e-002,-8.52849249217588e-003
3.97297297297297e+005	2.87828761751880e-001,4.31817713145162e-001	1.42434247649624e-002,-8.63635426290324e-003
4.07207207207207e+005	2.98032318705237e-001,4.36919824100113e-001	1.40393536258953e-002,-8.73839648200226e-003
4.17117117117117e+005	3.08252546311912e-001,4.41735008873673e-001	1.38349490737618e-002,-8.83470017747347e-003
4.27027027027027e+005	3.18480562312398e-001,4.46267594291090e-001	1.36303887537520e-002,-8.92535188582179e-003
4.36936936936936e+005	3.28707867185802e-001,4.50522155598159e-001	1.34258426562840e-002,-9.01044311196318e-003
4.46846846846846e+005	3.38926345074939e-001,4.54503490258715e-001	1.32214730985012e-002,-9.09006980517430e-003
4.56756756756756e+005	3.49128263157396e-001,4.58216592634464e-001	1.30174347368521e-002,-9.16433185268927e-003
4.66666666666666e+005	3.59306269587439e-001,4.61666629613926e-001	1.28138746082512e-002,-9.23333259227852e-003
4.76576576576576e+005	3.69453390132665e-001,4.64858917244540e-001	1.26109321973467e-002,-9.29717834489079e-003
4.86486486486486e+005	3.79563023627236e-001,4.67798898410029e-001	1.24087395274553e-002,-9.35597796820059e-003
