Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.54067697429092e-002,5.88354465415267e-002	1.96918646051418e-002,-1.17670893083053e-003
1.09909909909910e+005	1.61443294085678e-002,6.46361781693265e-002	1.96771134118286e-002,-1.29272356338653e-003
1.19819819819820e+005	1.69512486044018e-002,7.04284678875031e-002	1.96609750279120e-002,-1.40856935775006e-003
1.29729729729730e+005	1.78274511176317e-002,7.62115552674852e-002	1.96434509776474e-002,-1.52423110534970e-003
1.39639639639640e+005	1.87728541070426e-002,8.19846800746306e-002	1.96245429178591e-002,-1.63969360149261e-003
1.49549549549550e+005	1.97873680900258e-002,8.77470822866119e-002	1.96042526381995e-002,-1.75494164573224e-003
1.59459459459459e+005	2.08708969286894e-002,9.34980021123535e-002	1.95825820614262e-002,-1.86996004224707e-003
1.69369369369369e+005	2.20233378150600e-002,9.92366800115591e-002	1.95595332436988e-002,-1.98473360023118e-003
1.79279279279279e+005	2.32445812553982e-002,1.04962356714867e-001	1.95351083748920e-002,-2.09924713429734e-003
1.89189189189189e+005	2.45345110536561e-002,1.10674273244671e-001	1.95093097789269e-002,-2.21348546489342e-003
1.99099099099099e+005	2.58930042941010e-002,1.16371670936647e-001	1.94821399141180e-002,-2.32743341873295e-003
2.09009009009009e+005	2.73199313231369e-002,1.22053791462016e-001	1.94536013735373e-002,-2.44107582924032e-003
2.18918918918919e+005	2.88151557303529e-002,1.27719876850581e-001	1.94236968853929e-002,-2.55439753701161e-003
2.28828828828829e+005	3.03785343288308e-002,1.33369169514572e-001	1.93924293134234e-002,-2.66738339029144e-003
2.38738738738739e+005	3.20099171347464e-002,1.39000912273337e-001	1.93598016573051e-002,-2.78001824546674e-003
2.48648648648649e+005	3.37091473462991e-002,1.44614348378899e-001	1.93258170530740e-002,-2.89228696757799e-003
2.58558558558559e+005	3.54760613220078e-002,1.50208721542422e-001	1.92904787735598e-002,-3.00417443084845e-003
2.68468468468468e+005	3.73104885584118e-002,1.55783275961610e-001	1.92537902288318e-002,-3.11566551923221e-003
2.78378378378378e+005	3.92122516672150e-002,1.61337256349068e-001	1.92157549666557e-002,-3.22674512698135e-003
2.88288288288288e+005	4.11811663519199e-002,1.66869907961651e-001	1.91763766729616e-002,-3.33739815923303e-003
2.98198198198198e+005	4.32170413839895e-002,1.72380476630837e-001	1.91356591723202e-002,-3.44760953261675e-003
3.08108108108108e+005	4.53196785785877e-002,1.77868208794127e-001	1.90936064284282e-002,-3.55736417588254e-003
3.18018018018018e+005	4.74888727699411e-002,1.83332351527516e-001	1.90502225446012e-002,-3.66664703055032e-003
3.27927927927928e+005	4.97244117863731e-002,1.88772152579049e-001	1.90055117642725e-002,-3.77544305158098e-003
3.37837837837838e+005	5.20260764250604e-002,1.94186860403477e-001	1.89594784714988e-002,-3.88373720806953e-003
3.47747747747748e+005	5.43936404265622e-002,1.99575724198035e-001	1.89121271914688e-002,-3.99151448396070e-003
3.57657657657657e+005	5.68268704491785e-002,2.04937993939363e-001	1.88634625910164e-002,-4.09875987878727e-003
3.67567567567567e+005	5.93255260431893e-002,2.10272920421573e-001	1.88134894791362e-002,-4.20545840843145e-003
3.77477477477477e+005	6.18893596250356e-002,2.15579755295482e-001	1.87622128074993e-002,-4.31159510590964e-003
