"Current Input (4,4,2,B)"					
Node	Amp V1 [mV]	Phase V1 [°]	Amp V2 [mV]	Phase V2 [°]	
J1	129	-12	107	-22.5	J1
J2	127	4.4	291	82.9	J2
J3	138	3.5	282	-108.4	J3
J4	131	-10.2	17.6	119.8	J4
J5	140	-7.6	149	-125.3	J5
J6	129	-10.3	79.2	-49.9	J6
J7	130	-9.5	67.4	99.7	J7
J8	132	-10.2	11.2	179.8	J8
J9	131	-9.3	67.7	86.4	J9
J10	132	-10.2	5.7	84.6	J10
J11	135	-4.5	179	74	J11
J12	132	-9.1	74.6	-102.6	J12
J13	132	-10.1	16	-80.4	J13
J14	132	-10.1	4.19	-38.3	J14
J15	135	-3.7	195	-106.8	J15
J16	132	-9.2	69.3	77.6	J16
J17	128	-8.1	121	-81.7	J17
J18	129	-9.6	74.9	111.2	J18
J19	131	-10.1	15.6	-72.8	J19
J20	131	-10.1	2.94	107.9	J20
J21	129	-8.1	117	96.9	J21
J22	130	-9.9	58.5	-65.5	J22
J23	131	-10	26.9	100.3	J23
J24	131	-10	11.2	-74.4	J24
J25	131	-10	6.55	107	J25
J26	131	-10	7.32	90.8	J26
J27	132	-9.4	63.8	69	J27
J28	133	-8.8	86.4	-110.1	J28
J29	131	-10	4.64	62.3	J29
J30	131	-10	9.9	76.9	J30
J31	132	-9.5	60.4	-111.3	J31
J32	133	-9	77.8	68.1	J32
J33	131	-6.1	151	-97.5	J1
J34	134	-4.1	181	76	J2
J35	131	-9.9	20.5	-82.3	J3
J36	131	-10	4.9	163.6	J4
J37	131	-6.8	139	83.4	J5
J38	133	-4.7	171	-103.4	J6
J39	131	-9.9	25.7	67.8	J7
J40	131	-10	7.91	36.4	J8
J41	131	-9.9	13.4	99.5	J9
J42	131	-10	5.4	-100.4	J10
J43	132	-8.6	87.9	-103.8	J11
J44	133	-8.3	97.3	72.2	J12
J45	131	-9.9	15.4	-91.7	J13
J46	131	-10	4.1	125.5	J14
J47	132	-8.6	91.1	75.6	J15
J48	133	-8.3	97.3	-107.7	J16
J49	129	-7.3	126	-87.4	J17
J50	129	-8.9	80.3	100.2	J18
J51	131	-10	11.4	-59.6	J19
J52	131.00	-10.00	5.54	111.70	J20
J53	129.00	-7.50	124.00	92.90	J21
J54	128.00	-7.70	117.00	-83.40	J22
J55	131.00	-9.90	16.80	103.20	J23
J56	131.00	-9.90	13.30	106.70	J24
J57	131.00	-9.00	72.40	86.20	J25
J58	131.00	-9.90	7.40	-119.80	J26
J59	136.00	-5.20	171.00	-109.90	J27
J60	134.00	-4.60	169.00	75.70	J28
J61	131.00	-9.40	54.30	89.30	J29
J62	131.00	-9.90	15.20	-74.50	J30
J63	137.00	-2.90	206.00	71.20	J31
J64	132.00	-8.50	88.90	-106.00	J32
J65	132.00	-8.10	94.90	-104.90	J1
J66	137.00	-2.90	203.00	70.20	J2
J67	131.00	-9.70	14.10	87.50	J3
J68	131.00	-9.70	16.60	-87.10	J4
J69	132.00	-9.00	67.90	72.70	J5
J70	137.00	-2.90	206.00	-108.80	J6
J71	131.00	-9.80	4.50	22.90	J7
J72	131.00	-9.80	13.70	-56.70	J8
J73	131.00	-9.80	14.70	-58.00	J9
J74	131.00	-9.80	9.20	139.10	J10
J75	131.00	-9.10	57.50	-86.00	J11
J76	129.00	-7.40	121.00	92.10	J12
J77	131.00	-9.80	7.80	116.00	J13
J78	131.00	-9.80	4.80	68.80	J14
J79	130.00	-9.20	64.70	101.00	J15
J80	130.00	-7.80	112.00	-87.00	J16
J81	132.00	-8.00	97.40	-104.80	J17
J82	132.00	-8.50	86.20	76.50	J18
J83	131.00	-9.70	15.30	92.40	J19
J84	131.00	-9.80	3.50	39.80	J20
J85	132.00	-8.40	87.30	74.00	J21
J86	132.00	-8.70	80.60	-103.80	J22
J87	131.00	-9.80	10.20	-62.60	J23
J88	131.00	-9.80	4.50	64.10	J24
J89	131.00	-9.60	27.70	-86.60	J25
J90	131.00	-9.80	3.90	-162.50	J26
J91	134.00	-4.60	172.00	-104.00	J27
J92	131.00	-6.20	147.00	82.50	J28
J93	131.00	-9.60	33.90	89.20	J29
J94	131.00	-9.80	9.20	67.50	J30
J95	133.00	-5.20	163.00	76.80	J31
J96	131.00	-7.00	130.00	-96.30	J32
J97	133.00	-8.60	83.90	67.80	J1
J98	132.00	-9.10	63.40	-110.80	J2
J99	131.00	-9.80	10.90	-108.10	J3
J100	131.00	-9.70	10.30	-93.20	J4
J101	133.00	-8.80	79.10	-112.30	J5
J102	132.00	-9.20	60.80	69.40	J6
J103	131.00	-9.70	16.60	-96.80	J7
J104	131.00	-9.70	18.30	-100.00	J8
J105	131.00	-9.80	8.96	-60.40	J9
J106	131.00	-9.80	9.40	115.00	J10
J107	128.00	-8.30	105.00	-77.80	J11
J108	129.00	-8.00	114.00	98.70	J12
J109	131.00	-9.70	23.80	108.20	J13
J110	131.00	-9.80	5.30	38.10	J14
J111	130.00	-9.30	65.30	109.30	J15
J112	129.00	-8.20	106.00	-82.70	J16
J113	132.00	-6.30	134.00	78.30	J17
J114	134.00	-7.10	129.00	-108.30	J18
J115	131.00	-9.70	5.70	-95.90	J19
J116	131.00	-9.10	61.40	89.40	J20
J117	131.00	-9.20	57.10	-101.20	J21
J118	135.00	-4.90	170.00	73.50	J22
J119	131.00	-9.70	8.30	-93.00	J23
J120	131.00	-9.20	58.40	-93.80	J24
J121	131.00	-9.80	16.20	-44.60	J25
J122	140.00	3.20	275.00	-110.20	J26
J123	130.00	-9.80	62.90	-49.70	J27
J124	140.00	-6.70	159.00	-123.10	J28
J125	131.00	-9.70	14.50	119.00	J29
J126	131.00	-8.80	72.00	85.90	J30
J127	131.00	-10.00	39.70	166.60	J31
J128	140.00	-4.60	190.00	62.50	J32
"Current Input (4,4,2,A)"					
Node	Amp V1 [mV]	Phase V1 [°]	Amp V2 [mV]	Phase V2 [°]	
J1	127.00	-11.10	295.00	97.70	J1
J2	145.00	-22.40	135.00	-33.80	J2
J3	150.00	-20.10	6.60	-39.60	J3
J4	135.00	-5.30	305.00	81.60	J4
J5	150.00	-20.60	53.70	-20.30	J5
J6	150.00	-17.20	133.00	-104.30	J6
J7	150.00	-20.20	4.90	59.90	J7
J8	149.00	-20.20	46.80	-57.50	J8
J9	150.00	-20.10	8.50	-70.00	J9
J10	148.00	-19.50	80.20	-75.60	J10
J11	149.00	-19.60	64.20	-87.30	J11
J12	147.00	-17.40	132.00	89.70	J12
J13	150.00	-20.20	3.02	-92.30	J13
J14	150.00	-20.20	27.00	115.70	J14
J15	149.00	-19.50	70.80	91.70	J15
J16	145.00	-16.70	154.00	-87.90	J16
J17	148.00	-20.10	70.10	121.10	J17
J18	148.00	-19.80	77.90	-66.70	J18
J19	150.00	-20.20	300.00	104.60	J19
J20	150.00	-20.20	3.60	121.20	J20
J21	149.00	-20.20	57.60	-57.00	J21
J22	148.00	-19.80	78.20	112.70	J22
J23	150.00	-20.20	6.40	-59.80	J23
J24	150.00	-20.20	9.40	-67.90	J24
J25	150.00	-20.20	2.40	-81.00	J25
J26	150.00	-20.20	6.30	-61.50	J26
J27	150.00	-19.60	63.30	-95.80	J27
J28	150.00	-19.60	60.10	86.00	J28
J29	150.00	-20.20	1.30	-103.00	J29
J30	150.00	-20.20	11.00	-90.20	J30
J31	150.00	-19.70	57.30	82.90	J31
J32	150.00	-19.80	55.00	-95.90	J32
J33	146.00	-18.10	126.00	95.70	J1
J34	145.00	-17.10	145.00	-87.70	J2
J35	150.00	-20.20	4.20	105.20	J3
J36	150.00	-20.20	13.60	95.80	J4
J37	147.00	-18.40	118.00	-83.80	J5
J38	146.00	-17.60	134.00	92.60	J6
J39	150.00	-20.20	12.50	-82.10	J7
J40	150.00	-20.20	17.90	-86.10	J8
J41	150.00	-20.20	2.20	91.80	J9
J42	150.00	-20.20	8.80	-69.10	J10
J43	149.00	-19.40	75.00	88.40	J11
J44	149.00	-19.50	67.70	-92.20	J12
J45	150.00	-20.20	1.20	-8.30	J13
J46	150.00	-20.20	10.40	99.40	J14
J47	149.00	-19.30	76.40	-92.10	J15
J48	149.00	-19.50	66.60	86.60	J16
J49	147.00	-19.80	81.50	111.90	J17
J50	147.00	-19.40	80.00	-75.90	J18
J51	150.00	-20.20	4.40	131.10	J19
J52	150.00	-20.20	1.40	161.80	J20
J53	146.00	-19.30	107.00	-71.40	J21
J54	147.00	-19.40	88.10	105.80	J22
J55	150.00	-20.20	1.90	-63.60	J23
J56	150.00	-20.20	15.00	-76.30	J24
J57	150.00	-20.20	4.64	81.00	J25
J58	148.00	-19.80	70.20	-73.80	J26
