DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	-0.000295426748746	-0.000280741021180	0.000407544457511	-136.460074836
4253.00000000	-0.000295420777388	-0.000280734310216	0.000407535505993	-136.460180464
4253.00000000	-0.000295418915249	-0.000280729491654	0.000407530836834	-136.460491202
4253.00000000	-0.000295425946006	-0.000280726390683	0.000407533797371	-136.461488145
4253.00000000	-0.000295439837491	-0.000280726345148	0.000407543836215	-136.462838078
4253.00000000	-0.000295453445846	-0.000280726188574	0.000407553593548	-136.464171843
4253.00000000	-0.000295465604457	-0.000280722697410	0.000407560003262	-136.465705014
4253.00000000	-0.000295476882687	-0.000280713878166	0.000407562105203	-136.467695923
4253.00000000	-0.000295485973407	-0.000280697317097	0.000407557289600	-136.470264086
4253.00000000	-0.000295489094722	-0.000280672785967	0.000407542657745	-136.473066749
4253.00000000	-0.000295485931551	-0.000280649990643	0.000407524665502	-136.475084184
4253.00000000	-0.000295479054367	-0.000280639666630	0.000407512569200	-136.475470771
4253.00000000	-0.000295471359254	-0.000280643590924	0.000407509692236	-136.474325616
4253.00000000	-0.000295463665710	-0.000280651270623	0.000407509402906	-136.472797763
4253.00000000	-0.000295460627473	-0.000280651543242	0.000407507387799	-136.472475775
4253.00000000	-0.000295463825589	-0.000280643815674	0.000407504384649	-136.473573223
4253.00000000	-0.000295470020805	-0.000280634066423	0.000407502162487	-136.475166999
4253.00000000	-0.000295476750741	-0.000280627294289	0.000407502378555	-136.476509050
4253.00000000	-0.000295484999104	-0.000280630222177	0.000407510375690	-136.477009199
4253.00000000	-0.000295493563754	-0.000280642209588	0.000407524840988	-136.476616372
4253.00000000	-0.000295499183116	-0.000280654349551	0.000407537275772	-136.475922864
4253.00000000	-0.000295496129972	-0.000280662726083	0.000407540830643	-136.474773370
4253.00000000	-0.000295486464454	-0.000280668594395	0.000407537863953	-136.473239344
4253.00000000	-0.000295475628542	-0.000280669645612	0.000407530731394	-136.472082998
4253.00000000	-0.000295468407706	-0.000280662871361	0.000407520830527	-136.472074358
4253.00000000	-0.000295464722878	-0.000280650003207	0.000407509296539	-136.473029332
4253.00000000	-0.000295467335527	-0.000280637722551	0.000407502733343	-136.474534256
4253.00000000	-0.000295478615023	-0.000280627529698	0.000407503892448	-136.476665560
4253.00000000	-0.000295494145739	-0.000280617497002	0.000407508245057	-136.479192130
