DevNumber	X [V]	Y [V]	R [V]	Theta [°]
5260.00000000	0.0309542532280	0.0156202416210	0.0346721464752	26.7765817083
5260.00000000	0.0309549497579	0.0156207126388	0.0346729805159	26.7767580507
5260.00000000	0.0309557840899	0.0156212934206	0.0346739870329	26.7769937252
5260.00000000	0.0309566843104	0.0156219434865	0.0346750835874	26.7772825427
5260.00000000	0.0309576727251	0.0156226749431	0.0346762955480	26.7776257499
5260.00000000	0.0309588375900	0.0156235363588	0.0346777235885	26.7780292816
5260.00000000	0.0309602225095	0.0156245427063	0.0346794133835	26.7784827493
5260.00000000	0.0309618036223	0.0156256692202	0.0346813324733	26.7789673705
5260.00000000	0.0309635010885	0.0156268767892	0.0346833919599	26.7794848745
5260.00000000	0.0309651815079	0.0156280998401	0.0346854432065	26.7800378358
5260.00000000	0.0309667037988	0.0156292361437	0.0346873142028	26.7805805006
5260.00000000	0.0309680020506	0.0156302110318	0.0346889124635	26.7810518313
5260.00000000	0.0309691007582	0.0156310336593	0.0346902639804	26.7814471181
5260.00000000	0.0309700719338	0.0156317626433	0.0346914594522	26.7817992132
5260.00000000	0.0309709943060	0.0156324400785	0.0346925881293	26.7821116008
5260.00000000	0.0309719003630	0.0156330585755	0.0346936756848	26.7823492160
5260.00000000	0.0309727479308	0.0156335801653	0.0346946673593	26.7824874735
5260.00000000	0.0309734386267	0.0156339757675	0.0346954622201	26.7825567205
5260.00000000	0.0309738486290	0.0156342265506	0.0346959412429	26.7826213393
5260.00000000	0.0309738905825	0.0156343076738	0.0346960152504	26.7827097137
5260.00000000	0.0309735749289	0.0156342007650	0.0346956852855	26.7827869922
5260.00000000	0.0309730115463	0.0156339221932	0.0346950568149	26.7827955441
5260.00000000	0.0309723513743	0.0156335329783	0.0346942920815	26.7827130038
5260.00000000	0.0309717161108	0.0156331184563	0.0346935381810	26.7825746130
5260.00000000	0.0309711833747	0.0156327549452	0.0346928987951	26.7824351252
5260.00000000	0.0309708339463	0.0156325065117	0.0346924749070	26.7823288841
5260.00000000	0.0309707464582	0.0156324284808	0.0346923616433	26.7822789453
5260.00000000	0.0309709290910	0.0156325394730	0.0346925746974	26.7823066760
5260.00000000	0.0309712800861	0.0156327791748	0.0346929960496	26.7823988776
5260.00000000	0.0309716207479	0.0156330144909	0.0346934062009	26.7824923007
5260.00000000	0.0309718094319	0.0156331367237	0.0346936297223	26.7825320984
5260.00000000	0.0309718153082	0.0156331307039	0.0346936322557	26.7825188504
5260.00000000	0.0309716786277	0.0156330378304	0.0346934683885	26.7824836385
5260.00000000	0.0309714519128	0.0156329009683	0.0346932043240	26.7824505733
5260.00000000	0.0309711905779	0.0156327383306	0.0346928977389	26.7824052691
5260.00000000	0.0309709293734	0.0156325312150	0.0346925712284	26.7822942905
5260.00000000	0.0309706435058	0.0156322489481	0.0346921888375	26.7820908624
5260.00000000	0.0309702940756	0.0156319046740	0.0346917217628	26.7818433088
5260.00000000	0.0309698972774	0.0156315537610	0.0346912094104	26.7816212108
5260.00000000	0.0309694921932	0.0156312317275	0.0346907026742	26.7814478541
5260.00000000	0.0309690885584	0.0156309378548	0.0346902099209	26.7813149361
5260.00000000	0.0309686886440	0.0156306622612	0.0346897287256	26.7812061982
5260.00000000	0.0309682935091	0.0156303762077	0.0346892470841	26.7810784767
5260.00000000	0.0309678876821	0.0156300444684	0.0346887353124	26.7808913435
5260.00000000	0.0309674546943	0.0156296701186	0.0346881800944	26.7806615868
5260.00000000	0.0309669797071	0.0156292786018	0.0346875796473	26.7804377659
5260.00000000	0.0309664624114	0.0156288932972	0.0346869442294	26.7802545859
5260.00000000	0.0309659465373	0.0156285455239	0.0346863269913	26.7801256871
5260.00000000	0.0309655038475	0.0156282651782	0.0346858054686	26.7800417489
5260.00000000	0.0309651798791	0.0156280628396	0.0346854250812	26.7799844836
5260.00000000	0.0309649632840	0.0156279353031	0.0346851742538	26.7799576124
5260.00000000	0.0309648019164	0.0156278695048	0.0346850005475	26.7799806821
5260.00000000	0.0309646358294	0.0156278248977	0.0346848321761	26.7800385157
5260.00000000	0.0309644382072	0.0156277443595	0.0346846194624	26.7800668328
5260.00000000	0.0309642362372	0.0156276188489	0.0346843826043	26.7800320637
5260.00000000	0.0309640793119	0.0156275051979	0.0346841913030	26.7799812574
5260.00000000	0.0309639835593	0.0156274490801	0.0346840805357	26.7799697666
5260.00000000	0.0309639206820	0.0156274340781	0.0346840176431	26.7799944421
5260.00000000	0.0309638734059	0.0156274230367	0.0346839704628	26.7800133467
5260.00000000	0.0309638510292	0.0156273971604	0.0346839388272	26.7799918406
5260.00000000	0.0309638435753	0.0156273405976	0.0346839066875	26.7799139721
5260.00000000	0.0309637918977	0.0156272196878	0.0346838060751	26.7797741226
5260.00000000	0.0309636091778	0.0156269931245	0.0346835408721	26.7795759924
5260.00000000	0.0309632261913	0.0156266256495	0.0346830333933	26.7793191028
5260.00000000	0.0309626115180	0.0156260892239	0.0346822429558	26.7789854791
5260.00000000	0.0309617981758	0.0156253951935	0.0346812041491	26.7785672659
