% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/12 15:39:43
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0130148421635, 117.995100827
1008016.032064128, 0.0127744395827, 117.537819609
1016032.064128257, 0.012536209844, 117.115886031
1024048.096192385, 0.0123039490971, 116.67539441
1032064.128256513, 0.0120665793883, 116.243468203
1040080.160320641, 0.0118264692289, 115.829994965
1048096.19238477, 0.0115869323214, 115.399230695
1056112.224448898, 0.0113483348512, 114.975208285
1064128.256513026, 0.0111082745307, 114.568157603
1072144.288577154, 0.0108667504079, 114.15154335
1080160.320641282, 0.0106252946292, 113.7534445
1088176.352705411, 0.0103789641679, 113.344460841
1096192.384769539, 0.0101337139579, 112.915486294
1104208.416833667, 0.00988677724559, 112.528311786
1112224.448897796, 0.00963821614384, 112.115240085
1120240.480961924, 0.00938889201328, 111.750070417
1128256.513026052, 0.00913755305484, 111.375874074
1136272.54509018, 0.00888346830808, 110.96871366
1144288.577154309, 0.00863028434021, 110.60725077
1152304.609218437, 0.00837337797414, 110.229381953
1160320.641282565, 0.00811547500381, 109.865799269
1168336.673346693, 0.00785812060151, 109.524911044
1176352.705410822, 0.00759826653774, 109.197534778
1184368.73747495, 0.00733389023461, 108.875980332
1192384.769539078, 0.00706873096676, 108.566042295
1200400.801603206, 0.00680448708483, 108.24232167
1208416.833667335, 0.00653114240722, 107.984370544
1216432.865731463, 0.00626123479864, 107.754786432
1224448.897795591, 0.00598546073795, 107.472902595
1232464.929859719, 0.00570900605901, 107.300099708
1240480.961923848, 0.00542812096738, 107.132728079
1248496.993987976, 0.00514861466112, 107.020969665
1256513.026052104, 0.00486409583423, 106.957546647
1264529.058116233, 0.00457383204361, 106.982988598
1272545.090180361, 0.00428037385674, 107.05207319
1280561.122244489, 0.00398781670133, 107.256498999
1288577.154308617, 0.0036858603048, 107.633812892
1296593.186372746, 0.00338605063565, 108.170185893
1304609.218436874, 0.00307591438249, 108.948946869
1312625.250501002, 0.00276527177532, 110.165623853
1320641.28256513, 0.00245330477182, 111.747712419
1328657.314629259, 0.002142608708, 114.179719152
1336673.346693387, 0.00182813534042, 117.754015961
1344689.378757515, 0.00152214600297, 123.350590958
1352705.410821643, 0.00123901080731, 132.204994129
1360721.442885772, 0.00100515690341, 146.768944912
1368737.4749499, 0.000878669740477, 168.544038894
1376753.507014028, 0.000921164406315, -166.51153033
1384769.539078156, 0.0011389405094, -146.640586267
1392785.571142285, 0.00147166717847, -134.478267198
1400801.603206413, 0.00187498172965, -127.227229877
1408817.635270541, 0.00233425233081, -123.09442642
1416833.667334669, 0.00284568021523, -120.919162028
1424849.699398798, 0.00341030700479, -120.175603833
1432865.731462926, 0.00402470402427, -120.639923579
1440881.763527054, 0.00468819115154, -122.387848335
1448897.795591182, 0.00533113934018, -125.527717743
1456913.827655311, 0.00584052038986, -129.228433836
1464929.859719439, 0.00627034259958, -131.76975375
1472945.891783567, 0.00683191893075, -134.289720855
1480961.923847695, 0.00734827994018, -139.034863732
1488977.955911824, 0.00738967544461, -144.696143913
1496993.987975952, 0.0069780961462, -146.373285095
1505010.02004008, 0.00687499023727, -142.688046858
1513026.052104208, 0.00740322634257, -139.091541205
1521042.084168337, 0.0082356826165, -138.696618327
1529058.116232465, 0.00901855741005, -140.280516056
1537074.148296593, 0.0097753415311, -142.094872512
1545090.180360721, 0.0106734759418, -144.484799887
1553106.21242485, 0.0116336783486, -147.87604069
1561122.244488978, 0.0127017852461, -152.19533712
1569138.276553106, 0.0138685907715, -158.265805299
1577154.308617234, 0.0148349934016, -166.495219386
1585170.340681363, 0.0152678883886, -176.18631012
1593186.372745491, 0.0149675369959, 173.578820684
1601202.404809619, 0.0140427377394, 164.018619879
1609218.436873748, 0.0127139041875, 155.682697033
1617234.468937876, 0.011206013174, 148.830388758
1625250.501002004, 0.00968088697208, 143.510245511
1633266.533066132, 0.00824249566526, 139.693298749
1641282.565130261, 0.00691929782544, 137.376125357
1649298.597194389, 0.00571377625682, 136.624688688
1657314.629258517, 0.00464337496736, 137.897818396
1665330.661322645, 0.0037170524627, 141.849901901
1673346.693386774, 0.00294830680114, 149.737055364
1681362.725450902, 0.00239340969871, 163.16401523
1689378.75751503, 0.0021461808709, -177.729547524
1697394.789579158, 0.00225887957319, -158.131924177
1705410.821643287, 0.00266410095902, -143.628339067
1713426.853707415, 0.00323791638388, -135.082160572
1721442.885771543, 0.00390296671467, -130.924163896
1729458.917835671, 0.0045635862792, -129.762779102
1737474.9498998, 0.00514403081578, -129.98378631
1745490.981963928, 0.00569589159531, -130.369795612
1753507.014028056, 0.00624749505781, -131.817219547
1761523.046092184, 0.00664069472475, -133.908813469
1769539.078156313, 0.00690838844413, -134.583882581
1777555.110220441, 0.00734648609105, -134.508418408
1785571.142284569, 0.00792605526753, -135.626380976
1793587.174348698, 0.00852820382313, -138.006173173
1801603.206412826, 0.00909032133802, -141.808478691
1809619.238476954, 0.00949827743193, -147.042116751
1817635.270541082, 0.00956511757535, -153.975102288
1825651.30260521, 0.00892382062811, -161.44724269
1833667.334669339, 0.0076258016847, -165.474422518
1841683.366733467, 0.00637175192166, -162.36615943
1849699.398797595, 0.0057760443249, -153.236129155
1857715.430861724, 0.00587290965997, -143.665511943
1865731.462925852, 0.00639206797956, -137.09971204
1873747.49498998, 0.00711029021952, -133.773521747
1881763.527054108, 0.00790390497494, -133.06217654
1889779.559118236, 0.00865991076513, -134.520086532
1897795.591182365, 0.00922829753047, -137.959339875
1905811.623246493, 0.00932127787564, -142.179828218
1913827.655310621, 0.00891604534786, -144.388527952
1921843.68737475, 0.00852399760198, -142.467366709
1929859.719438878, 0.00864806101413, -138.637942355
1937875.751503006, 0.00922868303295, -136.262639933
1945891.783567134, 0.00998927185515, -136.405507248
1953907.815631262, 0.0106453413701, -138.84828153
1961923.847695391, 0.0108913113816, -142.777643079
1969939.879759519, 0.0105029730713, -145.750826246
1977955.911823647, 0.00998964598293, -145.052142639
1985971.943887776, 0.0100201485, -142.286584423
