% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/06 16:33:52
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0130278424847, 118.328288933
1008016.032084168, 0.0128023812672, 117.89342597
1016032.064168337, 0.0125805551686, 117.491395402
1024048.096252505, 0.0123618377884, 117.088624923
1032064.128336673, 0.012137188067, 116.677738349
1040080.160420842, 0.0119182676662, 116.26845081
1048096.19250501, 0.0116942968916, 115.856810262
1056112.224589178, 0.0114688091623, 115.471217039
1064128.256673347, 0.0112466633498, 115.091795796
1072144.288757515, 0.0110207171754, 114.673286468
1080160.320841683, 0.0107952536506, 114.281015402
1088176.352925852, 0.0105702066774, 113.887640535
1096192.38501002, 0.0103396604755, 113.513218844
1104208.417094188, 0.0101111499209, 113.130168656
1112224.449178357, 0.00988345477676, 112.751508455
1120240.481262525, 0.00965180096591, 112.359228502
1128256.513346693, 0.00942693306999, 111.984603138
1136272.545430862, 0.00919113887687, 111.615648349
1144288.57751503, 0.00895572869598, 111.26463487
1152304.609599198, 0.00872247364689, 110.913287636
1160320.641683367, 0.00848651119543, 110.54464189
1168336.673767535, 0.00824977710384, 110.180386118
1176352.705851703, 0.00801338012375, 109.866884782
1184368.737935872, 0.00777372770357, 109.513851824
1192384.77002004, 0.00753608704394, 109.175024576
1200400.802104208, 0.00729631839673, 108.874137543
1208416.834188377, 0.00705119559463, 108.567274193
1216432.866272545, 0.00680384389654, 108.278433938
1224448.898356713, 0.00655824665706, 107.98109112
1232464.930440882, 0.00631495196808, 107.736087992
1240480.96252505, 0.00606106178318, 107.499745872
1248496.994609218, 0.00580675296284, 107.236410401
1256513.026693387, 0.00555236433518, 107.057336318
1264529.058777555, 0.00529960066004, 106.907519661
1272545.090861723, 0.00503632829419, 106.787887115
1280561.122945892, 0.00477394959542, 106.694631521
1288577.15503006, 0.00450850759484, 106.679922971
