% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/06 17:13:36
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0130401603473, 118.426589005
1008016.032084168, 0.012817991785, 118.004030272
1016032.064168337, 0.0126004025914, 117.590110734
1024048.096252505, 0.0123759547097, 117.17330895
1032064.128336673, 0.012153535223, 116.774592344
1040080.160420842, 0.0119283891854, 116.372905062
1048096.19250501, 0.0117092012203, 115.96620536
1056112.224589178, 0.0114817803978, 115.559031681
1064128.256673347, 0.0112586203063, 115.155843243
1072144.288757515, 0.0110334414965, 114.762423278
1080160.320841683, 0.0108092903156, 114.37401469
1088176.352925852, 0.0105779000833, 113.965298683
1096192.38501002, 0.0103512274523, 113.581926616
1104208.417094188, 0.010123142179, 113.189271995
1112224.449178357, 0.00989552539602, 112.798423925
1120240.481262525, 0.009663364899, 112.439239251
1128256.513346693, 0.00943274457207, 112.053567492
1136272.545430862, 0.00920281693286, 111.68650558
1144288.57751503, 0.00896789656084, 111.338687207
1152304.609599198, 0.00873135654843, 110.942464041
1160320.641683367, 0.00849799261254, 110.601866756
1168336.673767535, 0.00826367013361, 110.262216834
1176352.705851703, 0.00802675791504, 109.876850909
1184368.737935872, 0.00778641463403, 109.578955307
1192384.77002004, 0.00754386618297, 109.227180402
1200400.802104208, 0.00730375687912, 108.905271141
1208416.834188377, 0.00706199467567, 108.615329056
1216432.866272545, 0.00681424228431, 108.274106751
1224448.898356713, 0.00656896438835, 108.016027712
1232464.930440882, 0.00632145047915, 107.742939455
1240480.96252505, 0.00607205265909, 107.487230358
1248496.994609218, 0.00581788047464, 107.254544821
1256513.026693387, 0.00556348721318, 107.082801941
1264529.058777555, 0.00530984259006, 106.898147448
1272545.090861723, 0.00505187750747, 106.787802547
1280561.122945892, 0.00479263903568, 106.634976185
1288577.15503006, 0.00452537417758, 106.595425312
1296593.187114228, 0.00425941647517, 106.597981532
1304609.219198397, 0.00398883302323, 106.737677718
1312625.251282565, 0.00371552755145, 107.032277455
1320641.283366733, 0.00344030199672, 107.350961278
1328657.315450902, 0.00315883193329, 107.896305288
1336673.34753507, 0.00287343259709, 108.679182326
1344689.379619238, 0.00258545967755, 109.892848734
1352705.411703407, 0.00229497146059, 111.53914389
1360721.443787575, 0.00200489810092, 114.097770871
1368737.475871743, 0.00171142957536, 117.973845168
1376753.507955912, 0.00142350529049, 123.932949808
1384769.54004008, 0.00116331261052, 133.678535963
1392785.572124248, 0.000965700982095, 149.416395089
1400801.604208417, 0.000888307165181, 171.630774429
1408817.636292585, 0.000981200499634, -165.391656157
1416833.668376754, 0.00124591272147, -148.486977389
1424849.700460922, 0.00163146261249, -139.200569324
1432865.73254509, 0.00210281199233, -135.654285513
1440881.764629259, 0.0026058989308, -136.503403312
1448897.796713427, 0.00304046186254, -140.538159836
1456913.828797595, 0.00327093069471, -146.081628063
1464929.860881764, 0.00318572485595, -149.828102288
1472945.892965932, 0.00297958589549, -147.545133562
1480961.9250501, 0.00296883258666, -140.544749601
1488977.957134268, 0.00321032702579, -133.487788555
1496993.989218437, 0.00360425318156, -129.360756864
1505010.021302605, 0.00400698694695, -127.133626824
1513026.053386773, 0.0044201441988, -124.968816778
1521042.085470942, 0.00493082759972, -123.003536658
1529058.11755511, 0.00556994810907, -122.005329623
1537074.149639279, 0.00631876316618, -122.052033542
1545090.181723447, 0.00715778892394, -123.226651978
1553106.213807615, 0.00808836080548, -125.319594384
1561122.245891783, 0.00911016688058, -128.325916054
1569138.277975952, 0.0102303005887, -132.34438459
1577154.31006012, 0.0114306762022, -137.564771147
1585170.342144289, 0.0126529706105, -144.165805135
1593186.374228457, 0.013780869952, -152.371340108
1601202.406312625, 0.0145871581694, -162.116950153
1609218.438396794, 0.014827713485, -172.945409545
1617234.470480962, 0.014351473974, 176.029503209
1625250.50256513, 0.0132698786797, 165.812348704
1633266.534649299, 0.0118140410443, 157.096376134
1641282.566733467, 0.0102245034632, 150.104737787
1649298.598817635, 0.00866566172921, 144.940765539
1657314.630901804, 0.00721441071096, 141.588961194
1665330.662985972, 0.00591654879828, 140.287412196
1673346.69507014, 0.00477925293274, 141.284118383
1681362.727154308, 0.00381139365406, 145.521483526
1689378.759238477, 0.00305550236127, 154.375198774
1697394.791322645, 0.0026026129415, 168.313987659
1705410.823406814, 0.00250805289605, -175.197542783
1713426.855490982, 0.00269202159337, -162.133897952
1721442.88757515, 0.00294782408172, -152.763905173
1729458.919659319, 0.00326887233697, -144.561465643
1737474.951743487, 0.00376768738341, -138.421729609
1745490.983827655, 0.00438608024615, -135.226034908
1753507.015911824, 0.00510440396678, -134.426682007
1761523.047995992, 0.0059093516803, -136.277909289
1769539.08008016, 0.00670758994453, -141.288175184
1777555.112164329, 0.00724422528431, -149.228324952
1785571.144248497, 0.00718446853627, -158.957934489
1793587.176332665, 0.00642353375634, -167.050937139
1801603.208416834, 0.00534455387356, -169.837299944
1809619.240501002, 0.00446751115556, -165.893114563
1817635.27258517, 0.00399925378287, -157.312040483
1825651.304669339, 0.00389873320371, -147.562539354
1833667.336753507, 0.00408465797679, -138.869147086
1841683.368837675, 0.00447211339991, -132.910988035
1849699.400921843, 0.00494081304925, -130.132629549
1857715.433006012, 0.00533065764923, -129.624022627
1865731.46509018, 0.00557942556149, -129.466809436
1873747.497174349, 0.00575997483499, -128.725043627
1881763.529258517, 0.00594333031744, -127.75465729
1889779.561342685, 0.00611172371507, -126.550335068
1897795.593426854, 0.0063073917322, -124.810101479
1905811.625511022, 0.00658431489855, -123.020677008
1913827.65759519, 0.00692001696701, -121.569199364
1921843.689679359, 0.00730597735449, -120.405917468
1929859.721763527, 0.00774749755298, -119.557271673
1937875.753847695, 0.00826708076608, -119.1549232
1945891.785931864, 0.0088357318825, -119.443976144
1953907.818016032, 0.00943369896319, -120.42208182
1961923.8501002, 0.0100224605345, -122.129595598
1969939.882184369, 0.0105472856155, -124.538805443
1977955.914268537, 0.0109110844347, -127.559402668
1985971.946352705, 0.0109970851303, -130.526043141
1993987.978436874, 0.0108684433609, -132.020156221
2002004.010521042, 0.0109767301418, -132.096850843
2010020.04260521, 0.0113433393636, -133.325462954
2018036.074689379, 0.0115150845473, -135.940701257
2026052.106773547, 0.011339203792, -137.80503628
2034068.138857715, 0.011155684506, -138.053240618
2042084.170941884, 0.0111842232341, -137.583922889
2050100.203026052, 0.0113733175627, -137.90324584
2058116.23511022, 0.0114121028191, -138.982099827
2066132.267194389, 0.0112758347402, -139.373029804
2074148.299278557, 0.0111983448141, -138.846891949
2082164.331362725, 0.0111657456471, -138.2653579
2090180.363446894, 0.011086603972, -137.03483001
2098196.395531062, 0.0111990713159, -134.755877813
2106212.42761523, 0.0116525894971, -132.667687869
2114228.459699399, 0.0123245939719, -131.563552454
2122244.491783567, 0.0131283399816, -131.623283525
2130260.523867736, 0.0139279017582, -132.789677327
2138276.555951904, 0.0145882257536, -134.556221848
2146292.588036072, 0.0151679441039, -136.201157891
2154308.62012024, 0.0158425824153, -137.957361967
2162324.652204409, 0.0165304736762, -140.456391166
2170340.684288577, 0.0170562359448, -143.488052429
2178356.716372745, 0.0174535277036, -146.399408957
2186372.748456914, 0.0179221572158, -149.53967559
2194388.780541082, 0.0182937322096, -153.633162863
2202404.81262525, 0.0183025249965, -158.511337992
2210420.844709419, 0.017833477398, -163.750868362
2218436.876793587, 0.0167698551543, -168.991049207
2226452.908877756, 0.015070909851, -172.979111958
2234468.940961923, 0.013060194189, -173.719401642
2242484.973046092, 0.0113646734595, -169.860743635
2250501.00513026, 0.010528248797, -161.975632727
2258517.037214429, 0.010718184117, -153.570728565
2266533.069298597, 0.0116552431489, -147.715375293
2274549.101382765, 0.0129753262056, -145.063591368
2282565.133466934, 0.0144196536968, -144.925762167
2290581.165551102, 0.0158442686622, -146.600240209
2298597.197635271, 0.0171542542294, -149.483498571
2306613.229719439, 0.0182927919547, -153.229887766
2314629.261803607, 0.0192085250535, -157.655264462
2322645.293887775, 0.0198725055969, -162.574556733
2330661.325971944, 0.0202211797753, -167.86343776
2338677.358056112, 0.020216166355, -173.412178872
2346693.39014028, 0.0198344496355, -179.053789831
2354709.422224449, 0.0190701593247, 175.440485663
2362725.454308617, 0.0179313167447, 170.276487201
2370741.486392786, 0.0164858353795, 165.828439012
2378757.518476954, 0.0148106016116, 162.515431121
2386773.550561122, 0.0130394789894, 160.966662017
2394789.582645291, 0.0113528026926, 162.054033219
2402805.614729458, 0.0100218726882, 166.472089771
2410821.646813627, 0.00935771468734, 173.803643768
2418837.678897795, 0.00949521951881, -178.90904073
2426853.710981964, 0.0101440896914, -174.476481975
2434869.743066132, 0.0109431497597, -172.716669925
2442885.7751503, 0.011879958446, -172.806242257
2450901.807234469, 0.0129180212711, -175.367282484
2458917.839318637, 0.013692376293, 179.589798386
2466933.871402806, 0.0139148737231, 173.32030845
2474949.903486974, 0.0135594311977, 167.052448031
2482965.935571142, 0.0127777490882, 161.586610954
2490981.96765531, 0.0117684403628, 157.186684815
2498997.999739479, 0.0106784671906, 153.81942986
2507014.031823647, 0.00955416941343, 151.487686747
2515030.063907816, 0.0084329575788, 150.456758604
2523046.095991984, 0.00736169450801, 151.15026387
2531062.128076152, 0.00641768195251, 154.014005391
2539078.160160321, 0.00568550664075, 159.304306647
2547094.192244489, 0.00524127898012, 166.555340502
2555110.224328657, 0.00511417215152, 173.990409475
2563126.256412826, 0.0051905633614, 179.268769399
2571142.288496994, 0.00525765698838, -178.230337456
2579158.320581162, 0.00511770890513, -177.159408498
2587174.35266533, 0.00477403543115, -174.876776671
2595190.384749499, 0.00440400347303, -169.507697623
2603206.416833667, 0.00420206613427, -160.989451083
2611222.448917835, 0.00426949245597, -151.32392091
2619238.481002004, 0.00460230029009, -142.918271561
2627254.513086172, 0.00511976920507, -136.80964863
2635270.545170341, 0.00574643449566, -132.951468298
2643286.577254509, 0.00642124847005, -130.881213303
2651302.609338677, 0.00710423960674, -130.060043473
2659318.641422845, 0.00775078724891, -129.925971687
2667334.673507014, 0.00837776946127, -130.047938104
2675350.705591182, 0.00903130026799, -130.225255296
2683366.737675351, 0.00975759477928, -130.72041926
2691382.769759519, 0.0105510799597, -131.784893299
2699398.801843687, 0.0113899857254, -133.458844429
2707414.833927856, 0.0122484013422, -135.757327432
2715430.866012024, 0.0131045688116, -138.585275511
2723446.898096192, 0.013941827999, -141.969510548
2731462.930180361, 0.0147304805802, -145.932805317
2739478.962264529, 0.0154326740639, -150.449113661
2747494.994348697, 0.016001162253, -155.514052289
2755511.026432865, 0.016382762261, -161.080360536
2763527.058517034, 0.0165230227746, -167.056684215
2771543.090601202, 0.0163713784255, -173.314930466
2779559.122685371, 0.0159173297328, -179.65249515
2787575.154769539, 0.0151786234471, 174.173483214
2795591.186853707, 0.0142182616636, 168.378944004
2803607.218937876, 0.0130842742852, 163.106067008
2811623.251022044, 0.0118613813412, 158.502561153
2819639.283106213, 0.0106080635867, 154.690054448
2827655.31519038, 0.00937581911847, 151.738193278
2835671.347274549, 0.00819370286655, 149.73034594
2843687.379358717, 0.00708406223992, 148.765583031
2851703.411442886, 0.00607076064885, 149.076673305
2859719.443527054, 0.00515307228085, 150.845952661
2867735.475611222, 0.00436195890754, 154.59155882
2875751.507695391, 0.00369944123912, 160.690060219
2883767.539779559, 0.00320057487931, 169.425593011
2891783.571863728, 0.0028880614901, -179.468059168
2899799.603947896, 0.00276541049773, -167.115669721
2907815.636032064, 0.00281991980816, -155.125966254
2915831.668116232, 0.0030240828158, -144.775331388
2923847.7002004, 0.00334570236537, -136.760275267
2931863.732284569, 0.00374337001048, -131.081352033
2939879.764368737, 0.00418041621441, -127.268300354
2947895.796452906, 0.00464394321853, -124.919380785
2955911.828537074, 0.00510847110577, -123.675258333
2963927.860621242, 0.00557348934632, -123.197119915
2971943.892705411, 0.00602693731306, -123.361830938
2979959.924789579, 0.00647585412217, -124.103586721
2987975.956873748, 0.00689342169645, -125.447205747
2995991.988957915, 0.00726323564305, -127.430078259
3004008.021042084, 0.00753679244522, -129.807856465
3012024.053126252, 0.00769266471059, -132.373980595
3020040.085210421, 0.00773974635072, -134.71587156
3028056.117294589, 0.00768076580268, -136.840864487
3036072.149378757, 0.00752985664836, -138.568810976
3044088.181462926, 0.00729112480698, -139.644053211
3052104.213547094, 0.00699554585652, -139.69696477
