% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/12 15:38:32
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0240315850207, 142.406926789
1008016.032064128, 0.0238899773102, 142.037845539
1016032.064128257, 0.0237581003936, 141.680856856
1024048.096192385, 0.02362487796, 141.326504877
1032064.128256513, 0.0234900730947, 140.970493005
1040080.160320641, 0.0233606550115, 140.616448647
1048096.19238477, 0.0232229528962, 140.258372578
1056112.224448898, 0.0230845279261, 139.901417313
1064128.256513026, 0.0229486746555, 139.547772644
1072144.288577154, 0.0228066711191, 139.192554693
1080160.320641282, 0.0226693728852, 138.827998517
1088176.352705411, 0.022530209658, 138.464643613
1096192.384769539, 0.022385788038, 138.103896197
1104208.416833667, 0.0222411364519, 137.741739532
1112224.448897796, 0.0220967041895, 137.372847794
1120240.480961924, 0.0219461053364, 137.018182657
1128256.513026052, 0.0218008051336, 136.64317801
1136272.54509018, 0.0216479520436, 136.266241697
1144288.577154309, 0.0214955451728, 135.899252176
1152304.609218437, 0.0213380864048, 135.537191337
1160320.641282565, 0.0211800910525, 135.150266426
1168336.673346693, 0.0210256518035, 134.780720817
1176352.705410822, 0.0208620643141, 134.399434065
1184368.73747495, 0.0206996271315, 134.032183015
1192384.769539078, 0.0205353603967, 133.650425298
1200400.801603206, 0.02037184327, 133.271489787
1208416.833667335, 0.0202047130721, 132.882514722
1216432.865731463, 0.0200333684717, 132.498647369
1224448.897795591, 0.0198624374001, 132.108642847
1232464.929859719, 0.0196815713435, 131.722427628
1240480.961923848, 0.0195086118261, 131.338702213
1248496.993987976, 0.0193302639569, 130.939934341
1256513.026052104, 0.0191461517518, 130.545155579
1264529.058116233, 0.0189614737795, 130.153131788
1272545.090180361, 0.0187760981683, 129.750974104
1280561.122244489, 0.0185810007658, 129.348208128
1288577.154308617, 0.0183889395991, 128.950837228
1296593.186372746, 0.0181868643889, 128.537978311
1304609.218436874, 0.0179811448067, 128.13649658
1312625.250501002, 0.0177782754611, 127.729103211
